p-value=0 means <3.586916362818826e-07, FDR=0 means <0.00030213792162812886
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Control-target	1000	10;13;20;30;51;57;68;71;108;124;185;216;233;265;281;286;306;316;334;341;347;352;363;364;370;375;376;383;394;431;432;446;464;481;494;509;518;524;534;542;544;560;606;610;635;640;658;691;694;696;700;719;746;758;760;763;774;782;785;818;826;834;849;862;874;878;891;907;918;947;948;999;1002;1011;1021;1024;1026;1031;1045;1047;1064;1068;1069;1073;1074;1083;1086;1123;1129;1139;1151;1152;1159;1163;1165;1170;1171;1191;1214;1216;1227;1248;1256;1262;1267;1270;1290;1299;1300;1315;1342;1348;1357;1398;1404;1412;1430;1440;1445;1449;1452;1460;1469;1474;1475;1493;1508;1521;1531;1554;1582;1585;1601;1603;1604;1607;1614;1617;1618;1623;1624;1657;1658;1684;1703;1724;1727;1729;1733;1735;1737;1746;1749;1751;1753;1781;1785;1814;1815;1816;1833;1851;1857;1913;1917;1919;1955;1966;1985;1997;2006;2020;2030;2065;2071;2073;2104;2107;2109;2113;2116;2132;2183;2193;2205;2216;2239;2247;2287;2350;2368;2376;2381;2399;2416;2431;2437;2441;2443;2446;2462;2478;2527;2543;2547;2556;2566;2571;2600;2628;2651;2677;2679;2698;2699;2713;2723;2745;2746;2753;2780;2809;2821;2824;2835;2860;2872;2890;2894;2902;2920;2940;2946;2948;2950;2952;2961;2982;3004;3010;3021;3029;3046;3052;3105;3108;3158;3197;3223;3232;3234;3245;3258;3271;3297;3301;3321;3367;3389;3396;3409;3418;3434;3444;3464;3486;3493;3508;3534;3537;3557;3559;3564;3569;3575;3577;3625;3654;3660;3661;3664;3699;3754;3851;3864;3875;3879;3887;3898;3949;3969;3986;4002;4024;4026;4064;4082;4105;4111;4114;4118;4149;4153;4160;4175;4179;4186;4197;4205;4211;4257;4304;4308;4316;4323;4334;4342;4354;4357;4403;4417;4423;4426;4449;4495;4498;4523;4525;4530;4538;4551;4588;4634;4665;4669;4691;4701;4711;4731;4732;4759;4779;4800;4819;4852;4861;4866;4897;4898;4902;4927;4950;4952;4959;4960;4966;4967;5003;5022;5023;5035;5043;5068;5078;5095;5104;5106;5159;5187;5191;5192;5216;5218;5221;5232;5241;5246;5254;5285;5289;5304;5327;5365;5373;5380;5424;5464;5467;5469;5497;5519;5523;5538;5558;5568;5572;5575;5584;5591;5600;5616;5619;5627;5633;5637;5646;5672;5679;5680;5684;5724;5736;5750;5764;5782;5786;5796;5798;5824;5846;5872;5882;5909;5912;5940;5950;5953;5975;6066;6102;6110;6119;6124;6133;6134;6174;6182;6200;6213;6248;6256;6275;6322;6330;6340;6367;6377;6381;6416;6426;6440;6458;6461;6498;6516;6525;6538;6552;6568;6573;6593;6599;6613;6619;6624;6657;6697;6717;6732;6756;6771;6773;6784;6808;6812;6849;6867;6880;6887;6909;6980;6984;6995;7033;7034;7051;7056;7073;7102;7113;7124;7135;7141;7151;7163;7169;7192;7193;7210;7231;7234;7261;7268;7296;7345;7347;7349;7362;7408;7419;7451;7512;7519;7548;7565;7574;7606;7637;7658;7660;7690;7743;7773;7805;7808;7809;7833;7850;7859;7891;7914;7940;7963;8022;8054;8098;8107;8114;8170;8200;8235;8250;8255;8321;8354;8366;8369;8385;8405;8411;8472;8476;8479;8515;8520;8528;8552;8556;8582;8592;8607;8629;8646;8669;8673;8717;8722;8742;8755;8820;8856;8861;8880;8903;8924;8944;8998;9011;9046;9058;9089;9090;9114;9142;9152;9154;9164;9219;9222;9248;9258;9289;9341;9432;9489;9490;9497;9527;9532;9587;9593;9606;9613;9730;9746;9757;9764;9808;9821;9843;9875;9879;9887;9889;9924;9936;9942;10004;10072;10092;10118;10172;10180;10220;10221;10229;10235;10244;10245;10255;10277;10302;10405;10429;10435;10447;10475;10480;10492;10499;10510;10546;10582;10630;10641;10645;10647;10663;10683;10692;10710;10721;10782;10794;10796;10822;10878;10901;10979;10982;10998;11011;11013;11016;11043;11052;11077;11083;11112;11119;11180;11182;11197;11202;11224;11255;11306;11316;11347;11365;11383;11386;11462;11470;11500;11553;11562;11595;11608;11645;11670;11678;11686;11706;11735;11741;11749;11792;11815;11888;11897;11898;11932;11949;11958;11977;11987;12028;12051;12096;12108;12115;12151;12163;12270;12338;12339;12380;12391;12395;12398;12402;12403;12440;12535;12540;12543;12558;12566;12572;12584;12595;12610;12650;12658;12731;12753;12781;12799;12805;12835;12844;12888;12900;12901;12929;12950;12955;12961;12962;12975;12994;13008;13070;13113;13120;13133;13135;13179;13195;13243;13257;13263;13289;13300;13319;13350;13355;13420;13430;13435;13460;13470;13543;13560;13576;13596;13616;13625;13712;13722;13731;13806;13813;13821;13844;13846;13892;13901;13914;13916;13930;13931;13933;13948;13953;13955;14006;14032;14035;14047;14070;14100;14115;14200;14203;14207;14216;14247;14253;14258;14285;14293;14396;14466;14474;14483;14486;14489;14490;14494;14515;14533;14537;14539;14563;14574;14629;14638;14680;14682;14690;14738;14751;14894;14899;14908;14909;14915;14930;14938;14953;15006;15028;15048;15053;15058;15064;15082;15088;15108;15159;15187;15192;15224;15225;15250;15254;15257;15271;15308;15329;15333;15346;15358;15384;15385;15417;15446;15455;15459;15461;15470;15485;15487;15489;15490;15497;15558;15620;15628;15647;15656;15666;15667;15671;15698;15763;15778;15793;15806;15834;15856;15868;15907;15913;15927;15932;15937;15940;15949;15961;15964;15967;16015;16017;16052;16067;16107;16116;16165;16221;16224;16230;16238;16267;16288;16303;16308;16311;16336;16351;16371;16375;16383;16391;16393;16432;16434;16437;16447;16473;16476;16494;16498;16503;16515;16526;16531;16550;16551;16563;16608;16625;16627;16643;16648;16673;16698;16713;16715;16729;16756;16765;16845;16858;16875;16877;16901;16902;16939;16952;16986;17007;17013;17028;17058;17062;17082;17125;17168;17173;17183;17207;17265;17268;17294;17337;17386;17402;17407;17427;17502;17520;17521;17533;17579;17588;17595;17632;17673;17702;17716;17720;17728;17730;17740;17875;18097;18285	BRDN0003511578;BRDN0003511675;BRDN0003511612;BRDN0003510925;BRDN0003511631;BRDN0003511520;BRDN0003511529;BRDN0003510855;BRDN0003511421;BRDN0003511193;BRDN0003511527;BRDN0003511074;BRDN0003511763;BRDN0003511498;BRDN0003511696;BRDN0003511778;BRDN0003511777;BRDN0003511590;BRDN0003510852;BRDN0003511568;BRDN0003511744;BRDN0003511303;BRDN0003511170;BRDN0003511345;BRDN0003511221;BRDN0003511811;BRDN0003511444;BRDN0003511432;BRDN0003511649;BRDN0003511623;BRDN0003511346;BRDN0003511554;BRDN0003511357;BRDN0003511723;BRDN0003511451;BRDN0003511504;BRDN0003511665;BRDN0003511490;BRDN0003511608;BRDN0003511670;BRDN0003511646;BRDN0003511652;BRDN0003511657;BRDN0003511532;BRDN0003511628;BRDN0003511017;BRDN0003510997;BRDN0003511510;BRDN0003511361;BRDN0003511709;BRDN0003511707;BRDN0003511494;BRDN0003511758;BRDN0003511547;BRDN0003511055;BRDN0003511735;BRDN0003511575;BRDN0003510854;BRDN0003511399;BRDN0003511168;BRDN0003511460;BRDN0003511512;BRDN0003511747;BRDN0003510934;BRDN0003511538;BRDN0003511328;BRDN0003511754;BRDN0003510923;BRDN0003511507;BRDN0003511131;BRDN0003511218;BRDN0003511134;BRDN0003510962;BRDN0003511367;BRDN0003511518;BRDN0003511784;BRDN0003511370;BRDN0003511545;BRDN0003511757;BRDN0003510893;BRDN0003511165;BRDN0003511694;BRDN0003511053;BRDN0003511260;BRDN0003511243;BRDN0003511567;BRDN0003511569;BRDN0003510824;BRDN0003511426;BRDN0003511719;BRDN0003511737;BRDN0003510945;BRDN0003511609;BRDN0003511070;BRDN0003511704;BRDN0003511585;BRDN0003511075;BRDN0003511204;BRDN0003511332;BRDN0003510929;BRDN0003511597;BRDN0003511443;BRDN0003510987;BRDN0003511708;BRDN0003511002;BRDN0003511779;BRDN0003511263;BRDN0003511698;BRDN0003511388;BRDN0003511618;BRDN0003511279;BRDN0003511337;BRDN0003511356;BRDN0003511672;BRDN0003511034;BRDN0003510979;BRDN0003511064;BRDN0003511290;BRDN0003511435;BRDN0003511505;BRDN0003511142;BRDN0003511268;BRDN0003511095;BRDN0003511044;BRDN0003511773;BRDN0003511397;BRDN0003510875;BRDN0003511060;BRDN0003511368;BRDN0003511508;BRDN0003510948;BRDN0003511687;BRDN0003511714;BRDN0003511418;BRDN0003511656;BRDN0003511733;BRDN0003511788;BRDN0003511196;BRDN0003511322;BRDN0003511739;BRDN0003511544;BRDN0003511014;BRDN0003510887;BRDN0003510935;BRDN0003511365;BRDN0003511543;BRDN0003511445;BRDN0003511387;BRDN0003511130;BRDN0003511378;BRDN0003511295;BRDN0003511386;BRDN0003511497;BRDN0003510950;BRDN0003511721;BRDN0003511015;BRDN0003510832;BRDN0003511740;BRDN0003511573;BRDN0003511475;BRDN0003510834;BRDN0003510878;BRDN0003511225;BRDN0003511681;BRDN0003511175;BRDN0003511213;BRDN0003510963;BRDN0003511525;BRDN0003511548;BRDN0003511336;BRDN0003510879;BRDN0003511493;BRDN0003511392;BRDN0003511355;BRDN0003511045;BRDN0003511654;BRDN0003511071;BRDN0003511764;BRDN0003511718;BRDN0003511766;BRDN0003511157;BRDN0003511132;BRDN0003511576;BRDN0003511749;BRDN0003511629;BRDN0003511358;BRDN0003511467;BRDN0003511651;BRDN0003511476;BRDN0003510895;BRDN0003511093;BRDN0003510871;BRDN0003511499;BRDN0003511364;BRDN0003511348;BRDN0003510912;BRDN0003511725;BRDN0003511541;BRDN0003511257;BRDN0003511001;BRDN0003511785;BRDN0003511588;BRDN0003510967;BRDN0003510903;BRDN0003511313;BRDN0003511088;BRDN0003511369;BRDN0003511700;BRDN0003511372;BRDN0003511396;BRDN0003511425;BRDN0003511522;BRDN0003511658;BRDN0003511052;BRDN0003511009;BRDN0003511347;BRDN0003510936;BRDN0003511393;BRDN0003511424;BRDN0003511072;BRDN0003511208;BRDN0003511760;BRDN0003511577;BRDN0003511182;BRDN0003511371;BRDN0003511720;BRDN0003511775;BRDN0003511027;BRDN0003511159;BRDN0003511271;BRDN0003511323;BRDN0003511360;BRDN0003511483;BRDN0003511565;BRDN0003511373;BRDN0003510862;BRDN0003510988;BRDN0003511748;BRDN0003511782;BRDN0003511503;BRDN0003511154;BRDN0003511792;BRDN0003511559;BRDN0003511624;BRDN0003511816;BRDN0003511586;BRDN0003511557;BRDN0003511398;BRDN0003510913;BRDN0003511354;BRDN0003511288;BRDN0003511344;BRDN0003511728;BRDN0003510885;BRDN0003510978;BRDN0003511152;BRDN0003511436;BRDN0003510833;BRDN0003511702;BRDN0003511550;BRDN0003511341;BRDN0003511724;BRDN0003511684;BRDN0003510905;BRDN0003511265;BRDN0003511442;BRDN0003511419;BRDN0003511240;BRDN0003511363;BRDN0003511795;BRDN0003511589;BRDN0003511465;BRDN0003511727;BRDN0003511619;BRDN0003511482;BRDN0003511713;BRDN0003511478;BRDN0003511229;BRDN0003511173;BRDN0003511542;BRDN0003511617;BRDN0003511302;BRDN0003511673;BRDN0003510888;BRDN0003511768;BRDN0003510872;BRDN0003511035;BRDN0003511264;BRDN0003511477;BRDN0003511262;BRDN0003511668;BRDN0003511037;BRDN0003511611;BRDN0003511746;BRDN0003511031;BRDN0003511570;BRDN0003511259;BRDN0003511706;BRDN0003510844;BRDN0003510977;BRDN0003510921;BRDN0003511793;BRDN0003511688;BRDN0003511462;BRDN0003511403;BRDN0003511745;BRDN0003511712;BRDN0003510993;BRDN0003511701;BRDN0003511216;BRDN0003511551;BRDN0003511406;BRDN0003511198;BRDN0003511127;BRDN0003511278;BRDN0003511500;BRDN0003511331;BRDN0003511620;BRDN0003510835;BRDN0003511710;BRDN0003510982;BRDN0003511734;BRDN0003510996;BRDN0003511645;BRDN0003511796;BRDN0003511496;BRDN0003511086;BRDN0003511415;BRDN0003510953;BRDN0003511821;BRDN0003511799;BRDN0003511349;BRDN0003511471;BRDN0003510960;BRDN0003511553;BRDN0003511653;BRDN0003511452;BRDN0003511252;BRDN0003511305;BRDN0003511563;BRDN0003511487;BRDN0003511626;BRDN0003511094;BRDN0003511135;BRDN0003510857;BRDN0003511251;BRDN0003511756;BRDN0003511783;BRDN0003511431;BRDN0003511596;BRDN0003511641;BRDN0003511004;BRDN0003511666;BRDN0003510867;BRDN0003511519;BRDN0003511286;BRDN0003511188;BRDN0003511506;BRDN0003510876;BRDN0003511389;BRDN0003511258;BRDN0003511280;BRDN0003511806;BRDN0003511524;BRDN0003511809;BRDN0003511680;BRDN0003511769;BRDN0003511176;BRDN0003511526;BRDN0003511667;BRDN0003511689;BRDN0003511080;BRDN0003511420;BRDN0003510956;BRDN0003511353;BRDN0003511459;BRDN0003511375;BRDN0003511808;BRDN0003511125;BRDN0003510981;BRDN0003511473;BRDN0003510924;BRDN0003511703;BRDN0003511558;BRDN0003511752;BRDN0003510856;BRDN0003511819;BRDN0003511474;BRDN0003511540;BRDN0003511555;BRDN0003511463;BRDN0003511300;BRDN0003511539;BRDN0003511137;BRDN0003511048;BRDN0003511489;BRDN0003511006;BRDN0003511277;BRDN0003511359;BRDN0003511439;BRDN0003511440;BRDN0003511593;BRDN0003511604;BRDN0003511374;BRDN0003511133;BRDN0003511815;BRDN0003510918;BRDN0003511200;BRDN0003511741;BRDN0003511244;BRDN0003511335;BRDN0003511085;BRDN0003511428;BRDN0003511690;BRDN0003511591;BRDN0003511472;BRDN0003511384;BRDN0003511028;BRDN0003511101;BRDN0003511750;BRDN0003511287;BRDN0003511390;BRDN0003511621;BRDN0003511100;BRDN0003511517;BRDN0003511340;BRDN0003511549;BRDN0003511678;BRDN0003510999;BRDN0003510995;BRDN0003511219;BRDN0003510869;BRDN0003511692;BRDN0003510943;BRDN0003510874;BRDN0003510864;BRDN0003510826;BRDN0003511772;BRDN0003511598;BRDN0003511695;BRDN0003511201;BRDN0003511622;BRDN0003511607;BRDN0003511228;BRDN0003511513;BRDN0003511556;BRDN0003511308;BRDN0003511807;BRDN0003510847;BRDN0003511051;BRDN0003511013;BRDN0003511789;BRDN0003511166;BRDN0003511136;BRDN0003510984;BRDN0003511765;BRDN0003511050;BRDN0003511187;BRDN0003511515;BRDN0003511458;BRDN0003511242;BRDN0003511079;BRDN0003511732;BRDN0003511040;BRDN0003511128;BRDN0003511324;BRDN0003511453;BRDN0003511536;BRDN0003511199;BRDN0003511247;BRDN0003510920;BRDN0003511209;BRDN0003511032;BRDN0003511056;BRDN0003511751;BRDN0003511572;BRDN0003511683;BRDN0003511730;BRDN0003510866;BRDN0003510901;BRDN0003511082;BRDN0003511194;BRDN0003510911;BRDN0003511189;BRDN0003511103;BRDN0003510944;BRDN0003511376;BRDN0003511560;BRDN0003511078;BRDN0003511124;BRDN0003511630;BRDN0003511413;BRDN0003510902;BRDN0003510955;BRDN0003511434;BRDN0003511112;BRDN0003511104;BRDN0003511003;BRDN0003511141;BRDN0003511486;BRDN0003511464;BRDN0003511691;BRDN0003511092;BRDN0003511402;BRDN0003511197;BRDN0003511309;BRDN0003511016;BRDN0003511149;BRDN0003511753;BRDN0003511126;BRDN0003511069;BRDN0003511139;BRDN0003510972;BRDN0003510899;BRDN0003511804;BRDN0003511802;BRDN0003511566;BRDN0003511108;BRDN0003511065;BRDN0003511023;BRDN0003511677;BRDN0003511655;BRDN0003511454;BRDN0003511660;BRDN0003511362;BRDN0003511144;BRDN0003511501;BRDN0003511625;BRDN0003510865;BRDN0003511616;BRDN0003511284;BRDN0003510985;BRDN0003511020;BRDN0003510894;BRDN0003511102;BRDN0003511446;BRDN0003511046;BRDN0003511156;BRDN0003511155;BRDN0003511726;BRDN0003511685;BRDN0003511429;BRDN0003511351;BRDN0003511818;BRDN0003511697;BRDN0003511801;BRDN0003510937;BRDN0003510930;BRDN0003511776;BRDN0003511466;BRDN0003511030;BRDN0003511338;BRDN0003511774;BRDN0003511437;BRDN0003511267;BRDN0003511516;BRDN0003511571;BRDN0003511495;BRDN0003511614;BRDN0003510917;BRDN0003511061;BRDN0003511107;BRDN0003511118;BRDN0003511587;BRDN0003511736;BRDN0003511282;BRDN0003511217;BRDN0003511674;BRDN0003511234;BRDN0003511334;BRDN0003511761;BRDN0003511455;BRDN0003511317;BRDN0003511438;BRDN0003511269;BRDN0003510880;BRDN0003511239;BRDN0003510861;BRDN0003511320;BRDN0003511110;BRDN0003510940;BRDN0003511602;BRDN0003511627;BRDN0003511232;BRDN0003511781;BRDN0003511488;BRDN0003511786;BRDN0003511325;BRDN0003511615;BRDN0003510831;BRDN0003511311;BRDN0003511140;BRDN0003511705;BRDN0003511606;BRDN0003510974;BRDN0003511412;BRDN0003511647;BRDN0003511379;BRDN0003511190;BRDN0003511780;BRDN0003510964;BRDN0003511583;BRDN0003511592;BRDN0003511407;BRDN0003511676;BRDN0003511333;BRDN0003511528;BRDN0003510898;BRDN0003511531;BRDN0003511076;BRDN0003511029;BRDN0003511192;BRDN0003511202;BRDN0003511447;BRDN0003511405;BRDN0003510836;BRDN0003511146;BRDN0003511639;BRDN0003511599;BRDN0003511479;BRDN0003511461;BRDN0003511636;BRDN0003511523;BRDN0003511762;BRDN0003511148;BRDN0003510886;BRDN0003511245;BRDN0003511296;BRDN0003510877;BRDN0003511151;BRDN0003511441;BRDN0003511342;BRDN0003511383;BRDN0003511715;BRDN0003511292;BRDN0003510882;BRDN0003511679;BRDN0003511319;BRDN0003510830;BRDN0003511289;BRDN0003511327;BRDN0003511380;BRDN0003510951;BRDN0003511693;BRDN0003511491;BRDN0003511450;BRDN0003511755;BRDN0003510858;BRDN0003511143;BRDN0003511241;BRDN0003511433;BRDN0003511738;BRDN0003510859;BRDN0003511329;BRDN0003511256;BRDN0003511579;BRDN0003511794;BRDN0003510961;BRDN0003511521;BRDN0003511759;BRDN0003511814;BRDN0003511644;BRDN0003511220;BRDN0003511326;BRDN0003511164;BRDN0003511484;BRDN0003511584;BRDN0003511255;BRDN0003510848;BRDN0003511601;BRDN0003511648;BRDN0003511613;BRDN0003510841;BRDN0003511293;BRDN0003511423;BRDN0003511066;BRDN0003511430;BRDN0003511068;BRDN0003510860;BRDN0003511511;BRDN0003511422;BRDN0003511414;BRDN0003511091;BRDN0003511650;BRDN0003511682;BRDN0003511212;BRDN0003511162;BRDN0003511174;BRDN0003510829;BRDN0003511087;BRDN0003510900;BRDN0003511350;BRDN0003511810;BRDN0003511180;BRDN0003511722;BRDN0003511564;BRDN0003511248;BRDN0003511449;BRDN0003511238;BRDN0003511469;BRDN0003511408;BRDN0003511276;BRDN0003511798;BRDN0003511395;BRDN0003511717;BRDN0003511123;BRDN0003511119;BRDN0003511377;BRDN0003511643;BRDN0003511502;BRDN0003510980;BRDN0003511805;BRDN0003510949;BRDN0003510910;BRDN0003511729;BRDN0003511580;BRDN0003511366;BRDN0003511416;BRDN0003511659;BRDN0003510908;BRDN0003511634;BRDN0003511595;BRDN0003510904;BRDN0003511509;BRDN0003511385;BRDN0003511534;BRDN0003511391;BRDN0003511661;BRDN0003511005;BRDN0003511468;BRDN0003511343;BRDN0003510842;BRDN0003511610;BRDN0003511492;BRDN0003511312;BRDN0003510932;BRDN0003511581;BRDN0003511582;BRDN0003511574;BRDN0003510851;BRDN0003511000;BRDN0003511791;BRDN0003510845;BRDN0003511036;BRDN0003511310;BRDN0003510916;BRDN0003511321;BRDN0003510827;BRDN0003510928;BRDN0003511077;BRDN0003510892;BRDN0003511400;BRDN0003511771;BRDN0003511115;BRDN0003511010;BRDN0003511767;BRDN0003511456;BRDN0003510896;BRDN0003511226;BRDN0003511062;BRDN0003511299;BRDN0003510952;BRDN0003511246;BRDN0003511307;BRDN0003511145;BRDN0003510973;BRDN0003511470;BRDN0003511022;BRDN0003511552;BRDN0003511067;BRDN0003510926;BRDN0003510889;BRDN0003511183;BRDN0003511603;BRDN0003511301;BRDN0003511059;BRDN0003511099;BRDN0003511381;BRDN0003511007;BRDN0003511105;BRDN0003510989;BRDN0003511195;BRDN0003511235;BRDN0003511401;BRDN0003511662;BRDN0003511316;BRDN0003510849;BRDN0003510992;BRDN0003511742;BRDN0003511633;BRDN0003511669;BRDN0003510890;BRDN0003511605;BRDN0003511711;BRDN0003511427;BRDN0003511215;BRDN0003510965;BRDN0003511191;BRDN0003510840;BRDN0003511812;BRDN0003510957;BRDN0003511181;BRDN0003511233;BRDN0003511171;BRDN0003511129;BRDN0003511274;BRDN0003511297;BRDN0003510986;BRDN0003511411;BRDN0003510971;BRDN0003511223;BRDN0003511122;BRDN0003510907;BRDN0003511530;BRDN0003510946;BRDN0003511038;BRDN0003511083;BRDN0003511800;BRDN0003511699;BRDN0003511417;BRDN0003511111;BRDN0003511600;BRDN0003511315;BRDN0003511184;BRDN0003511042;BRDN0003511043;BRDN0003511117;BRDN0003511206;BRDN0003511671;BRDN0003511253;BRDN0003511664;BRDN0003511330;BRDN0003511637;BRDN0003510991;BRDN0003511147;BRDN0003511410;BRDN0003510915;BRDN0003511054;BRDN0003511790;BRDN0003510942;BRDN0003511813;BRDN0003511448;BRDN0003510838;BRDN0003510939;BRDN0003511294;BRDN0003511205;BRDN0003510839;BRDN0003511285;BRDN0003511236;BRDN0003511185;BRDN0003511635;BRDN0003511026;BRDN0003511382;BRDN0003510990;BRDN0003510870;BRDN0003510846;BRDN0003511018;BRDN0003511594;BRDN0003511024;BRDN0003510958;BRDN0003511562;BRDN0003511481;BRDN0003511535;BRDN0003511121;BRDN0003511089;BRDN0003511485;BRDN0003511237;BRDN0003510954;BRDN0003511011;BRDN0003511214;BRDN0003511318;BRDN0003510959;BRDN0003511025;BRDN0003511283;BRDN0003511211;BRDN0003511272;BRDN0003511352;BRDN0003511049;BRDN0003511160;BRDN0003511298;BRDN0003511716;BRDN0003511640;BRDN0003511138;BRDN0003511113;BRDN0003511169;BRDN0003511106;BRDN0003511161;BRDN0003511266;BRDN0003511537;BRDN0003511797;BRDN0003511039;BRDN0003510968;BRDN0003511114;BRDN0003510823;BRDN0003511546;BRDN0003511057;BRDN0003511073;BRDN0003511250;BRDN0003511096;BRDN0003510891;BRDN0003510976;BRDN0003510933;BRDN0003511731;BRDN0003511116;BRDN0003510914;BRDN0003510828;BRDN0003511533;BRDN0003511457;BRDN0003511291;BRDN0003510850;BRDN0003511817;BRDN0003511394;BRDN0003510970;BRDN0003510868;BRDN0003511203;BRDN0003511273;BRDN0003511663;BRDN0003511304;BRDN0003510883;BRDN0003510931;BRDN0003511404;BRDN0003511084;BRDN0003511770;BRDN0003511820;BRDN0003511172;BRDN0003511178;BRDN0003511480;BRDN0003511081;BRDN0003511109;BRDN0003510884;BRDN0003511021;BRDN0003511409;BRDN0003511224;BRDN0003510897;BRDN0003510927;BRDN0003510822;BRDN0003511150;BRDN0003510843;BRDN0003511231;BRDN0003510922;BRDN0003511210;BRDN0003510994;BRDN0003510975;BRDN0003511686;BRDN0003510919;BRDN0003511230;BRDN0003511090;BRDN0003511632;BRDN0003511098;BRDN0003511063;BRDN0003511207;BRDN0003511222;BRDN0003511306;BRDN0003511314;BRDN0003511249;BRDN0003511787;BRDN0003511186;BRDN0003511227;BRDN0003511167;BRDN0003510881;BRDN0003510837;BRDN0003511638;BRDN0003510983;BRDN0003511179;BRDN0003511047;BRDN0003510941;BRDN0003511120;BRDN0003511177;BRDN0003511743;BRDN0003510998;BRDN0003511033;BRDN0003511270;BRDN0003510938;BRDN0003511058;BRDN0003511803;BRDN0003511163;BRDN0003511041;BRDN0003511514;BRDN0003510947;BRDN0003511281;BRDN0003511642;BRDN0003511158;BRDN0003510909;BRDN0003510969;BRDN0003510853;BRDN0003511153;BRDN0003511339;BRDN0003510906;BRDN0003511012;BRDN0003511019;BRDN0003511561;BRDN0003511261;BRDN0003510873;BRDN0003511097;BRDN0003511008;BRDN0003510966;BRDN0003510825;BRDN0003510863;BRDN0003511275;BRDN0003511254	503	11.711621388881598	7.833821814712688	0.0	0.0	0.0
Pten	6	1;2;4;17;4274;13137	BRDN0003505887;BRDN0003505882;BRDN0003505886;BRDN0003505885;BRDN0003505883;BRDN0003505884	4	10.956705223463288	6.674917761531853	0.0	0.0	0.0
Nfkbia	6	8;9;76;135;259;1470	BRDN0003503729;BRDN0003503733;BRDN0003503730;BRDN0003503731;BRDN0003503732;BRDN0003503728	5	8.47875958156961	6.049485698722722	0.0	0.0	0.0
Slc25a53	6	311;846;1072;1276;1894;2503	BRDN0003507389;BRDN0003507391;BRDN0003507392;BRDN0003507388;BRDN0003507390;BRDN0003507393	6	5.1899150370090545	2.9985508190127805	2.8336639274484376e-05	0.017901671861656036	0.017901671861656036
Gcdh	6	470;577;710;1209;1305;10064	BRDN0003499659;BRDN0003499658;BRDN0003499654;BRDN0003499657;BRDN0003499656;BRDN0003499655	5	4.993083202500131	2.6508114036225776	4.519514618472886e-05	0.022841626881762	0.022841626881762
Cox8c	6	64;171;303;751;4578;12519	BRDN0003510403;BRDN0003510405;BRDN0003510404;BRDN0003510402;BRDN0003510400;BRDN0003510401	4	4.411448070372374	3.0852650226843656	0.00018687834255759483	0.07870692860717601	0.07870692860717601
Lox	6	14;34;260;2130;4209;6777	BRDN0003502419;BRDN0003502418;BRDN0003502416;BRDN0003502417;BRDN0003502414;BRDN0003502415	2	4.291067426497155	3.115355997275041	0.000249649378925354	0.09012342579205365	0.09012342579205365
Sirt1	6	104;1902;2585;3526;3565;3693	BRDN0003506532;BRDN0003506534;BRDN0003506535;BRDN0003506533;BRDN0003506531;BRDN0003506530	6	4.176404288752522	2.139344151866215	0.0003253333142030357	0.10276466062388694	0.10276466062388694
Mgat5	6	695;764;894;955;10458;17083	BRDN0003502906;BRDN0003502910;BRDN0003502908;BRDN0003502909;BRDN0003502911;BRDN0003502907	4	4.0041260810231725	1.9797559512509453	0.0004817228676677887	0.13525707628850211	0.11766898696676506
Dpysl3	6	173;659;1213;1289;2101;7885	BRDN0003498388;BRDN0003498393;BRDN0003498390;BRDN0003498392;BRDN0003498391;BRDN0003498389	5	3.9797858558920898	2.5084875083650955	0.0005050378240329945	0.1276230581331379	0.11766898696676506
Dhrs3	6	413;732;747;1035;2106;7746	BRDN0003498218;BRDN0003498219;BRDN0003498214;BRDN0003498217;BRDN0003498215;BRDN0003498216	5	3.974758007382165	2.604034230230782	0.0005122116567607415	0.11766898696676506	0.11766898696676506
Srd5a1	6	1260;1625;2402;2418;3202;4256	BRDN0003508761;BRDN0003508760;BRDN0003508758;BRDN0003508757;BRDN0003508759;BRDN0003508756	6	3.8066704189364446	2.088134307843256	0.0007607849607770278	0.16020863299029678	0.14092068125247345
B3gat1	6	335;392;1020;1075;2440;5491	BRDN0003495935;BRDN0003495934;BRDN0003495938;BRDN0003495936;BRDN0003495937;BRDN0003495939	4	3.804521240580213	2.7252520702748035	0.0007618610356862066	0.1480940643983908	0.14092068125247345
Slc6a7	6	107;399;866;1101;4607;16068	BRDN0003508378;BRDN0003508380;BRDN0003508382;BRDN0003508383;BRDN0003508381;BRDN0003508379	4	3.7643146960089857	2.501474666827244	0.0008332406713271734	0.15039994117455624	0.14092068125247345
Chst4	6	227;516;784;1112;11256;13682	BRDN0003496921;BRDN0003496918;BRDN0003496919;BRDN0003496922;BRDN0003496920;BRDN0003496923	4	3.7475991717225017	2.4355652968561188	0.0008676750684203371	0.14617432652654636	0.14092068125247345
Glul	6	895;1643;1936;2176;2378;10407	BRDN0003500024;BRDN0003500023;BRDN0003500020;BRDN0003500025;BRDN0003500022;BRDN0003500021	5	3.7183279137494014	1.8883971292576789	0.0009175332058781738	0.1449129007033858	0.14092068125247345
