p-value=0 means <3.586916362818826e-07, FDR=0 means <1.1337217789623782e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Control-target	1000	30;53;461;723;911;966;1003;1030;1093;1107;1200;1289;1294;1330;1357;1375;1378;1382;1412;1431;1473;1481;1533;1551;1552;1589;1656;1689;1709;1720;1731;1746;1756;1781;1784;1785;1796;1816;1855;1896;1897;1907;1916;1940;1968;2013;2020;2077;2079;2082;2085;2127;2159;2179;2205;2217;2252;2253;2263;2279;2320;2325;2357;2366;2382;2384;2395;2400;2404;2405;2410;2424;2468;2483;2507;2591;2600;2628;2652;2655;2683;2704;2710;2712;2744;2754;2855;2878;2881;2884;2885;2928;2991;2998;3057;3121;3139;3143;3147;3186;3196;3244;3250;3267;3284;3298;3306;3346;3365;3367;3380;3389;3410;3420;3422;3428;3440;3492;3493;3499;3502;3512;3545;3570;3602;3626;3635;3650;3685;3691;3704;3776;3779;3801;3815;3845;3854;3859;3860;3867;3874;3896;3903;3913;3939;3947;3965;3971;3981;4002;4052;4076;4079;4131;4151;4171;4175;4190;4197;4224;4245;4250;4263;4294;4301;4332;4333;4346;4353;4366;4382;4389;4403;4420;4469;4475;4476;4482;4506;4528;4580;4593;4641;4723;4756;4766;4774;4790;4811;4813;4847;4877;4888;4895;4927;4965;4972;4983;5002;5004;5014;5065;5089;5120;5122;5135;5156;5159;5160;5197;5216;5225;5280;5281;5357;5362;5424;5437;5469;5517;5518;5547;5592;5608;5617;5639;5646;5652;5663;5685;5691;5693;5749;5763;5855;5862;5877;5892;5900;5992;5994;6003;6011;6028;6032;6059;6083;6084;6091;6102;6124;6143;6144;6167;6173;6183;6190;6198;6213;6222;6233;6269;6287;6312;6355;6376;6385;6399;6402;6496;6521;6552;6556;6562;6583;6587;6619;6620;6650;6660;6704;6729;6789;6793;6803;6822;6828;6838;6842;6863;6864;6916;6942;6950;7034;7063;7064;7165;7190;7214;7225;7230;7236;7265;7281;7344;7366;7378;7391;7405;7468;7516;7542;7572;7582;7617;7640;7655;7659;7720;7795;7866;7875;7882;7905;7908;7984;7985;8066;8081;8108;8137;8170;8216;8219;8223;8241;8266;8272;8276;8304;8319;8320;8326;8331;8385;8400;8459;8469;8473;8488;8499;8618;8629;8646;8656;8685;8718;8734;8755;8787;8843;8857;8867;8868;8885;8897;8936;8941;8947;8959;8961;8979;8987;9041;9046;9136;9143;9175;9176;9203;9216;9236;9242;9243;9276;9303;9310;9313;9317;9326;9334;9353;9431;9438;9447;9537;9629;9646;9649;9654;9696;9735;9782;9788;9804;9809;9843;9881;9920;9948;9950;9963;9995;10048;10053;10068;10075;10087;10108;10109;10138;10140;10141;10150;10160;10168;10184;10192;10243;10253;10262;10267;10272;10318;10338;10340;10355;10359;10380;10485;10501;10535;10551;10602;10634;10641;10645;10674;10758;10759;10762;10778;10789;10825;10841;10844;10869;10896;10900;10923;10988;10991;11005;11051;11054;11091;11113;11123;11135;11177;11194;11223;11227;11295;11298;11301;11311;11342;11357;11376;11392;11403;11431;11446;11447;11486;11507;11510;11520;11530;11535;11558;11572;11579;11586;11622;11629;11652;11660;11668;11671;11688;11694;11711;11712;11720;11797;11803;11829;11831;11883;11944;11961;11974;11994;12001;12006;12008;12024;12033;12038;12054;12056;12063;12069;12071;12102;12108;12126;12130;12131;12164;12198;12213;12244;12245;12261;12272;12277;12346;12350;12351;12393;12436;12459;12463;12554;12580;12587;12592;12603;12615;12634;12639;12651;12660;12668;12677;12679;12695;12705;12712;12721;12736;12737;12782;12790;12793;12796;12817;12818;12845;12866;12902;12918;12929;12978;12988;13002;13011;13021;13100;13110;13112;13114;13162;13185;13192;13201;13208;13210;13227;13231;13245;13269;13274;13276;13290;13292;13300;13321;13330;13356;13362;13396;13403;13412;13453;13479;13485;13495;13497;13562;13568;13570;13598;13606;13622;13625;13627;13634;13643;13658;13688;13713;13717;13718;13723;13733;13768;13779;13793;13795;13841;13859;13885;13921;13939;13962;13979;13990;14002;14009;14015;14016;14023;14029;14030;14033;14050;14073;14079;14082;14093;14118;14120;14127;14144;14146;14172;14176;14203;14215;14229;14241;14253;14260;14263;14294;14296;14308;14318;14320;14341;14361;14386;14395;14399;14402;14417;14428;14437;14439;14474;14487;14506;14507;14523;14551;14562;14563;14580;14583;14602;14612;14643;14651;14655;14659;14669;14676;14678;14709;14710;14717;14728;14737;14741;14756;14759;14778;14807;14831;14843;14861;14862;14866;14914;14928;14933;14975;15006;15024;15031;15054;15079;15099;15109;15137;15144;15157;15162;15166;15179;15180;15216;15235;15256;15279;15284;15285;15337;15380;15397;15400;15405;15413;15428;15466;15468;15472;15483;15493;15498;15531;15559;15571;15573;15576;15583;15606;15623;15636;15697;15706;15753;15766;15782;15784;15789;15792;15797;15798;15802;15823;15824;15832;15861;15872;15895;15896;15917;15924;15929;15944;15946;15963;15964;15967;15970;16002;16024;16046;16059;16064;16081;16110;16117;16133;16134;16154;16181;16185;16206;16224;16226;16227;16253;16255;16262;16263;16271;16276;16286;16291;16305;16318;16330;16331;16339;16342;16350;16352;16362;16373;16379;16390;16392;16423;16427;16431;16439;16471;16490;16512;16539;16584;16585;16592;16600;16603;16619;16633;16636;16657;16671;16677;16706;16714;16719;16758;16766;16772;16787;16823;16827;16837;16854;16859;16871;16900;16905;16942;16950;16977;16981;16982;16992;16994;17006;17033;17042;17048;17049;17051;17062;17065;17112;17118;17125;17143;17179;17181;17195;17196;17197;17199;17212;17214;17218;17221;17232;17244;17258;17288;17289;17290;17305;17306;17311;17316;17330;17343;17344;17348;17353;17360;17362;17371;17375;17382;17385;17390;17399;17411;17414;17423;17431;17435;17460;17466;17472;17480;17481;17496;17503;17517;17524;17546;17551;17585;17586;17604;17609;17617;17626;17629;17639;17640;17648;17649;17657;17660;17683;17684;17686;17688;17693;17714;17715;17726;17730;17744;17755;17762;17798;17803;17805;17811;17815;17825;17826;17837;17860;17868;17870;17871;17875;17877;17901;17914;17942;17962;17968;17988;17992;17998;18038;18103;18104;18125;18136;18138;18163;18164;18166;18173;18175;18189;18190;18201;18202;18224;18236;18290;18296;18305;18308;18318	BRDN0003511254;BRDN0003511275;BRDN0003510863;BRDN0003510873;BRDN0003510966;BRDN0003511153;BRDN0003511281;BRDN0003510825;BRDN0003511012;BRDN0003510998;BRDN0003511261;BRDN0003511339;BRDN0003510983;BRDN0003511106;BRDN0003511561;BRDN0003511008;BRDN0003511057;BRDN0003510909;BRDN0003510969;BRDN0003511167;BRDN0003510947;BRDN0003511097;BRDN0003511041;BRDN0003511230;BRDN0003511642;BRDN0003510853;BRDN0003511291;BRDN0003511163;BRDN0003511120;BRDN0003511019;BRDN0003510994;BRDN0003510927;BRDN0003511803;BRDN0003510881;BRDN0003511058;BRDN0003511026;BRDN0003511033;BRDN0003511638;BRDN0003511632;BRDN0003511084;BRDN0003511063;BRDN0003510906;BRDN0003510942;BRDN0003511021;BRDN0003511227;BRDN0003511121;BRDN0003510941;BRDN0003511480;BRDN0003510843;BRDN0003511787;BRDN0003511514;BRDN0003511047;BRDN0003511686;BRDN0003511314;BRDN0003511090;BRDN0003511404;BRDN0003510938;BRDN0003511249;BRDN0003511098;BRDN0003511178;BRDN0003511186;BRDN0003511147;BRDN0003510822;BRDN0003511177;BRDN0003511025;BRDN0003511207;BRDN0003511081;BRDN0003511224;BRDN0003511179;BRDN0003511205;BRDN0003511273;BRDN0003511743;BRDN0003511109;BRDN0003511253;BRDN0003511185;BRDN0003511283;BRDN0003510976;BRDN0003511096;BRDN0003511306;BRDN0003511169;BRDN0003511161;BRDN0003510837;BRDN0003511231;BRDN0003511481;BRDN0003511138;BRDN0003511150;BRDN0003510850;BRDN0003511039;BRDN0003511160;BRDN0003510975;BRDN0003510884;BRDN0003511172;BRDN0003511817;BRDN0003511797;BRDN0003511663;BRDN0003510931;BRDN0003510914;BRDN0003511394;BRDN0003511731;BRDN0003510922;BRDN0003510840;BRDN0003511350;BRDN0003510828;BRDN0003511222;BRDN0003510959;BRDN0003511237;BRDN0003511537;BRDN0003510846;BRDN0003511770;BRDN0003511352;BRDN0003511236;BRDN0003511304;BRDN0003511285;BRDN0003510986;BRDN0003511530;BRDN0003511600;BRDN0003511318;BRDN0003510868;BRDN0003511457;BRDN0003511699;BRDN0003511790;BRDN0003511315;BRDN0003511274;BRDN0003511073;BRDN0003511210;BRDN0003511535;BRDN0003510968;BRDN0003510949;BRDN0003511409;BRDN0003511206;BRDN0003511089;BRDN0003510919;BRDN0003511270;BRDN0003510907;BRDN0003511298;BRDN0003511485;BRDN0003511235;BRDN0003511129;BRDN0003511174;BRDN0003510932;BRDN0003511184;BRDN0003511546;BRDN0003511297;BRDN0003511272;BRDN0003511040;BRDN0003511038;BRDN0003511266;BRDN0003511382;BRDN0003511564;BRDN0003510970;BRDN0003510889;BRDN0003511417;BRDN0003511067;BRDN0003511640;BRDN0003511158;BRDN0003510915;BRDN0003510883;BRDN0003511813;BRDN0003511366;BRDN0003511692;BRDN0003510971;BRDN0003510952;BRDN0003510823;BRDN0003511214;BRDN0003510897;BRDN0003510933;BRDN0003511116;BRDN0003510928;BRDN0003511223;BRDN0003511195;BRDN0003510990;BRDN0003511633;BRDN0003510980;BRDN0003511301;BRDN0003511011;BRDN0003511427;BRDN0003511410;BRDN0003510958;BRDN0003511562;BRDN0003511610;BRDN0003510870;BRDN0003511042;BRDN0003511043;BRDN0003511294;BRDN0003511049;BRDN0003510992;BRDN0003511162;BRDN0003511211;BRDN0003511111;BRDN0003511171;BRDN0003510827;BRDN0003510891;BRDN0003511805;BRDN0003511552;BRDN0003511533;BRDN0003511468;BRDN0003510904;BRDN0003510954;BRDN0003511181;BRDN0003510961;BRDN0003511122;BRDN0003511215;BRDN0003511191;BRDN0003510991;BRDN0003511113;BRDN0003510839;BRDN0003511024;BRDN0003510838;BRDN0003511316;BRDN0003511401;BRDN0003511203;BRDN0003511820;BRDN0003511579;BRDN0003511183;BRDN0003510849;BRDN0003511114;BRDN0003511671;BRDN0003510896;BRDN0003511613;BRDN0003511618;BRDN0003510845;BRDN0003511077;BRDN0003511635;BRDN0003510946;BRDN0003511456;BRDN0003511226;BRDN0003511669;BRDN0003511615;BRDN0003511395;BRDN0003511023;BRDN0003511800;BRDN0003511661;BRDN0003511716;BRDN0003511330;BRDN0003511571;BRDN0003511284;BRDN0003511105;BRDN0003511010;BRDN0003511059;BRDN0003511307;BRDN0003511250;BRDN0003511534;BRDN0003511595;BRDN0003511083;BRDN0003511685;BRDN0003511381;BRDN0003510965;BRDN0003511117;BRDN0003511018;BRDN0003510939;BRDN0003511220;BRDN0003510860;BRDN0003510848;BRDN0003510951;BRDN0003511416;BRDN0003511470;BRDN0003510892;BRDN0003511239;BRDN0003511118;BRDN0003511228;BRDN0003511123;BRDN0003511282;BRDN0003510841;BRDN0003511115;BRDN0003511605;BRDN0003511246;BRDN0003510926;BRDN0003511492;BRDN0003511643;BRDN0003510842;BRDN0003511711;BRDN0003511509;BRDN0003511683;BRDN0003511502;BRDN0003511767;BRDN0003511048;BRDN0003511000;BRDN0003511030;BRDN0003511054;BRDN0003511321;BRDN0003511233;BRDN0003511755;BRDN0003511334;BRDN0003511660;BRDN0003511329;BRDN0003511812;BRDN0003511411;BRDN0003510957;BRDN0003511007;BRDN0003511759;BRDN0003511677;BRDN0003511287;BRDN0003511342;BRDN0003511066;BRDN0003510831;BRDN0003511594;BRDN0003511648;BRDN0003511343;BRDN0003511137;BRDN0003511582;BRDN0003510895;BRDN0003511143;BRDN0003511765;BRDN0003511486;BRDN0003511422;BRDN0003511599;BRDN0003511140;BRDN0003511601;BRDN0003511637;BRDN0003511319;BRDN0003510910;BRDN0003511238;BRDN0003510900;BRDN0003511151;BRDN0003510916;BRDN0003511715;BRDN0003511296;BRDN0003511697;BRDN0003511717;BRDN0003511798;BRDN0003511729;BRDN0003510847;BRDN0003511659;BRDN0003511312;BRDN0003510911;BRDN0003510877;BRDN0003510829;BRDN0003511793;BRDN0003511324;BRDN0003511461;BRDN0003511511;BRDN0003510864;BRDN0003511333;BRDN0003511491;BRDN0003511664;BRDN0003511584;BRDN0003511338;BRDN0003511400;BRDN0003511380;BRDN0003511277;BRDN0003511256;BRDN0003510890;BRDN0003511742;BRDN0003511310;BRDN0003511408;BRDN0003511247;BRDN0003511810;BRDN0003511062;BRDN0003511326;BRDN0003511771;BRDN0003511619;BRDN0003511189;BRDN0003511300;BRDN0003510967;BRDN0003510886;BRDN0003511414;BRDN0003511627;BRDN0003511112;BRDN0003511385;BRDN0003511448;BRDN0003511808;BRDN0003511076;BRDN0003511327;BRDN0003511484;BRDN0003511201;BRDN0003511155;BRDN0003510898;BRDN0003510920;BRDN0003511391;BRDN0003511433;BRDN0003511446;BRDN0003511525;BRDN0003511320;BRDN0003510973;BRDN0003511523;BRDN0003511592;BRDN0003511726;BRDN0003511016;BRDN0003511528;BRDN0003511581;BRDN0003510851;BRDN0003510867;BRDN0003511317;BRDN0003511202;BRDN0003511212;BRDN0003511289;BRDN0003510937;BRDN0003511022;BRDN0003511194;BRDN0003510858;BRDN0003511208;BRDN0003511156;BRDN0003511453;BRDN0003511069;BRDN0003511730;BRDN0003511164;BRDN0003510844;BRDN0003510901;BRDN0003510859;BRDN0003511639;BRDN0003511080;BRDN0003511662;BRDN0003511009;BRDN0003511286;BRDN0003511216;BRDN0003511217;BRDN0003510836;BRDN0003511449;BRDN0003510917;BRDN0003511576;BRDN0003511180;BRDN0003511104;BRDN0003511119;BRDN0003511634;BRDN0003511197;BRDN0003511124;BRDN0003511377;BRDN0003511693;BRDN0003510880;BRDN0003511276;BRDN0003511745;BRDN0003511606;BRDN0003511786;BRDN0003511267;BRDN0003510899;BRDN0003511531;BRDN0003511580;BRDN0003511305;BRDN0003511479;BRDN0003510987;BRDN0003511738;BRDN0003511603;BRDN0003511762;BRDN0003511473;BRDN0003511614;BRDN0003511068;BRDN0003510972;BRDN0003510964;BRDN0003511085;BRDN0003511772;BRDN0003510876;BRDN0003511192;BRDN0003511107;BRDN0003511636;BRDN0003511241;BRDN0003511574;BRDN0003511091;BRDN0003511187;BRDN0003511299;BRDN0003511701;BRDN0003511506;BRDN0003510857;BRDN0003511658;BRDN0003511458;BRDN0003511785;BRDN0003511146;BRDN0003511255;BRDN0003511108;BRDN0003511099;BRDN0003511406;BRDN0003511293;BRDN0003510988;BRDN0003511144;BRDN0003511383;BRDN0003511353;BRDN0003511521;BRDN0003511430;BRDN0003511774;BRDN0003511499;BRDN0003511644;BRDN0003511209;BRDN0003511766;BRDN0003511465;BRDN0003511126;BRDN0003511439;BRDN0003510885;BRDN0003511769;BRDN0003511563;BRDN0003511549;BRDN0003511438;BRDN0003510956;BRDN0003511776;BRDN0003511265;BRDN0003511341;BRDN0003510866;BRDN0003510960;BRDN0003511818;BRDN0003511263;BRDN0003511402;BRDN0003511087;BRDN0003511455;BRDN0003510918;BRDN0003510908;BRDN0003511046;BRDN0003511650;BRDN0003511802;BRDN0003511311;BRDN0003511501;BRDN0003511378;BRDN0003511135;BRDN0003511750;BRDN0003511229;BRDN0003510985;BRDN0003510989;BRDN0003511429;BRDN0003511199;BRDN0003511630;BRDN0003511706;BRDN0003511437;BRDN0003510830;BRDN0003511133;BRDN0003510943;BRDN0003511278;BRDN0003511425;BRDN0003511781;BRDN0003511379;BRDN0003511679;BRDN0003511362;BRDN0003511454;BRDN0003511674;BRDN0003511065;BRDN0003511489;BRDN0003510953;BRDN0003511607;BRDN0003511364;BRDN0003511190;BRDN0003511591;BRDN0003511536;BRDN0003511050;BRDN0003511149;BRDN0003511013;BRDN0003511814;BRDN0003511724;BRDN0003511037;BRDN0003511157;BRDN0003511598;BRDN0003511487;BRDN0003511622;BRDN0003511259;BRDN0003511566;BRDN0003511806;BRDN0003511198;BRDN0003511676;BRDN0003511376;BRDN0003510940;BRDN0003511292;BRDN0003511351;BRDN0003511641;BRDN0003511029;BRDN0003511349;BRDN0003511176;BRDN0003511148;BRDN0003511200;BRDN0003511264;BRDN0003511570;BRDN0003511288;BRDN0003511621;BRDN0003511075;BRDN0003511450;BRDN0003511538;BRDN0003511056;BRDN0003510872;BRDN0003511691;BRDN0003511593;BRDN0003511372;BRDN0003511801;BRDN0003511655;BRDN0003511764;BRDN0003511004;BRDN0003511526;BRDN0003511678;BRDN0003511248;BRDN0003511034;BRDN0003511809;BRDN0003511482;BRDN0003510982;BRDN0003510995;BRDN0003511110;BRDN0003511751;BRDN0003511752;BRDN0003511472;BRDN0003511082;BRDN0003510865;BRDN0003511784;BRDN0003510835;BRDN0003511145;BRDN0003511625;BRDN0003511736;BRDN0003510979;BRDN0003511440;BRDN0003511756;BRDN0003511234;BRDN0003511101;BRDN0003511732;BRDN0003511583;BRDN0003511141;BRDN0003511072;BRDN0003510833;BRDN0003511667;BRDN0003510944;BRDN0003510936;BRDN0003511462;BRDN0003510984;BRDN0003511020;BRDN0003511577;BRDN0003511006;BRDN0003511271;BRDN0003511496;BRDN0003511368;BRDN0003511335;BRDN0003511325;BRDN0003510924;BRDN0003511452;BRDN0003511182;BRDN0003510921;BRDN0003511780;BRDN0003511629;BRDN0003511753;BRDN0003511165;BRDN0003511252;BRDN0003511459;BRDN0003510996;BRDN0003511722;BRDN0003511152;BRDN0003511702;BRDN0003511617;BRDN0003511086;BRDN0003511078;BRDN0003510826;BRDN0003511474;BRDN0003511517;BRDN0003511791;BRDN0003511360;BRDN0003511558;BRDN0003510974;BRDN0003510894;BRDN0003511819;BRDN0003511616;BRDN0003511734;BRDN0003510861;BRDN0003511469;BRDN0003511757;BRDN0003510935;BRDN0003511783;BRDN0003511488;BRDN0003511027;BRDN0003511568;BRDN0003511441;BRDN0003511550;BRDN0003511684;BRDN0003511139;BRDN0003511384;BRDN0003511645;BRDN0003511218;BRDN0003511061;BRDN0003511309;BRDN0003511166;BRDN0003511589;BRDN0003511412;BRDN0003511495;BRDN0003511761;BRDN0003510905;BRDN0003511398;BRDN0003511515;BRDN0003511768;BRDN0003510929;BRDN0003511442;BRDN0003510869;BRDN0003511760;BRDN0003510856;BRDN0003511290;BRDN0003510871;BRDN0003511477;BRDN0003511032;BRDN0003511396;BRDN0003511093;BRDN0003511572;BRDN0003510977;BRDN0003511044;BRDN0003511370;BRDN0003511695;BRDN0003511624;BRDN0003511698;BRDN0003511703;BRDN0003511389;BRDN0003511269;BRDN0003511331;BRDN0003510993;BRDN0003511142;BRDN0003511134;BRDN0003511585;BRDN0003511423;BRDN0003511540;BRDN0003511543;BRDN0003511794;BRDN0003511466;BRDN0003511816;BRDN0003511602;BRDN0003511125;BRDN0003511795;BRDN0003511415;BRDN0003511796;BRDN0003511418;BRDN0003511365;BRDN0003511045;BRDN0003511700;BRDN0003511647;BRDN0003511028;BRDN0003511240;BRDN0003511403;BRDN0003511136;BRDN0003511128;BRDN0003511407;BRDN0003511542;BRDN0003511279;BRDN0003510887;BRDN0003511620;BRDN0003510948;BRDN0003511369;BRDN0003511710;BRDN0003511405;BRDN0003511373;BRDN0003511748;BRDN0003511434;BRDN0003511103;BRDN0003511611;BRDN0003511447;BRDN0003511001;BRDN0003511551;BRDN0003511513;BRDN0003511775;BRDN0003511565;BRDN0003511052;BRDN0003511313;BRDN0003511516;BRDN0003511741;BRDN0003511358;BRDN0003511721;BRDN0003511596;BRDN0003511175;BRDN0003511079;BRDN0003511548;BRDN0003511587;BRDN0003511053;BRDN0003511242;BRDN0003511555;BRDN0003510955;BRDN0003511799;BRDN0003511559;BRDN0003510925;BRDN0003511789;BRDN0003511003;BRDN0003511560;BRDN0003511586;BRDN0003511232;BRDN0003511626;BRDN0003511435;BRDN0003510950;BRDN0003511718;BRDN0003510902;BRDN0003511070;BRDN0003511807;BRDN0003511257;BRDN0003511426;BRDN0003511308;BRDN0003511727;BRDN0003510903;BRDN0003511690;BRDN0003511493;BRDN0003511102;BRDN0003511673;BRDN0003511668;BRDN0003511196;BRDN0003510997;BRDN0003511036;BRDN0003511005;BRDN0003510981;BRDN0003510893;BRDN0003511413;BRDN0003511092;BRDN0003511505;BRDN0003510930;BRDN0003511719;BRDN0003511714;BRDN0003511173;BRDN0003511708;BRDN0003511055;BRDN0003511524;BRDN0003511017;BRDN0003511344;BRDN0003511464;BRDN0003511588;BRDN0003511213;BRDN0003511219;BRDN0003511159;BRDN0003511348;BRDN0003510999;BRDN0003511154;BRDN0003510824;BRDN0003511262;BRDN0003511682;BRDN0003511556;BRDN0003511251;BRDN0003511604;BRDN0003511002;BRDN0003511725;BRDN0003511689;BRDN0003510878;BRDN0003511132;BRDN0003511035;BRDN0003511280;BRDN0003510978;BRDN0003511428;BRDN0003511258;BRDN0003511424;BRDN0003511244;BRDN0003511739;BRDN0003510963;BRDN0003511483;BRDN0003511792;BRDN0003511498;BRDN0003511554;BRDN0003511436;BRDN0003511354;BRDN0003511476;BRDN0003511467;BRDN0003510874;BRDN0003511332;BRDN0003511340;BRDN0003511557;BRDN0003511651;BRDN0003511463;BRDN0003511355;BRDN0003511541;BRDN0003511500;BRDN0003511127;BRDN0003511821;BRDN0003511749;BRDN0003511656;BRDN0003511657;BRDN0003511746;BRDN0003511681;BRDN0003511374;BRDN0003511064;BRDN0003510834;BRDN0003510862;BRDN0003510832;BRDN0003511649;BRDN0003511419;BRDN0003511336;BRDN0003511503;BRDN0003511519;BRDN0003511188;BRDN0003511723;BRDN0003511497;BRDN0003511609;BRDN0003511782;BRDN0003511460;BRDN0003511295;BRDN0003511393;BRDN0003511709;BRDN0003511680;BRDN0003511777;BRDN0003511328;BRDN0003511390;BRDN0003511478;BRDN0003511088;BRDN0003511014;BRDN0003511130;BRDN0003511371;BRDN0003511815;BRDN0003511094;BRDN0003511031;BRDN0003510913;BRDN0003511713;BRDN0003511302;BRDN0003511520;BRDN0003511367;BRDN0003511071;BRDN0003511337;BRDN0003511375;BRDN0003511705;BRDN0003511510;BRDN0003511544;BRDN0003511323;BRDN0003511670;BRDN0003511015;BRDN0003510912;BRDN0003510882;BRDN0003511347;BRDN0003511646;BRDN0003511345;BRDN0003511788;BRDN0003511720;BRDN0003511518;BRDN0003511754;BRDN0003511204;BRDN0003511779;BRDN0003510945;BRDN0003511507;BRDN0003511512;BRDN0003511268;BRDN0003511804;BRDN0003511392;BRDN0003510854;BRDN0003511361;BRDN0003511444;BRDN0003511399;BRDN0003511245;BRDN0003511193;BRDN0003511733;BRDN0003511095;BRDN0003511737;BRDN0003510888;BRDN0003511553;BRDN0003511590;BRDN0003511672;BRDN0003511688;BRDN0003511654;BRDN0003511357;BRDN0003511443;BRDN0003511475;BRDN0003511388;BRDN0003511763;BRDN0003511778;BRDN0003511712;BRDN0003511322;BRDN0003511653;BRDN0003511051;BRDN0003511225;BRDN0003511260;BRDN0003511545;BRDN0003511303;BRDN0003511420;BRDN0003511490;BRDN0003511567;BRDN0003511758;BRDN0003511359;BRDN0003511532;BRDN0003511471;BRDN0003510875;BRDN0003511451;BRDN0003511508;BRDN0003511356;BRDN0003510852;BRDN0003511597;BRDN0003511666;BRDN0003511387;BRDN0003511074;BRDN0003511547;BRDN0003511243;BRDN0003511221;BRDN0003511445;BRDN0003510934;BRDN0003511504;BRDN0003511811;BRDN0003511569;BRDN0003511728;BRDN0003511631;BRDN0003511431;BRDN0003511623;BRDN0003511665;BRDN0003511131;BRDN0003511100;BRDN0003510879;BRDN0003511386;BRDN0003510962;BRDN0003511539;BRDN0003511363;BRDN0003511652;BRDN0003511170;BRDN0003511747;BRDN0003511494;BRDN0003511522;BRDN0003511694;BRDN0003511575;BRDN0003511628;BRDN0003511573;BRDN0003511735;BRDN0003511707;BRDN0003511168;BRDN0003510855;BRDN0003511740;BRDN0003511527;BRDN0003511696;BRDN0003511432;BRDN0003510923;BRDN0003511578;BRDN0003511744;BRDN0003511704;BRDN0003511060;BRDN0003511687;BRDN0003511397;BRDN0003511773;BRDN0003511612;BRDN0003511346;BRDN0003511608;BRDN0003511529;BRDN0003511421;BRDN0003511675	462	18.174930417103024	11.321651550126314	0.0	0.0	0.0
Rrm1	6	47;117;118;141;168;170	BRDN0003506149;BRDN0003506150;BRDN0003506146;BRDN0003506151;BRDN0003506148;BRDN0003506147	6	12.197986606388753	6.53807157370311	0.0	0.0	0.0
Aldoa	6	9;106;162;184;267;373	BRDN0003494813;BRDN0003494814;BRDN0003494817;BRDN0003494812;BRDN0003494815;BRDN0003494816	6	10.150427143806269	6.017533987938607	0.0	0.0	0.0
Atp5a1	6	43;54;122;151;185;409	BRDN0003495584;BRDN0003495580;BRDN0003495583;BRDN0003495581;BRDN0003495582;BRDN0003495585	6	9.910340286614344	6.212320008300028	0.0	0.0	0.0
Oxa1l	6	36;82;226;295;365;441	BRDN0003504269;BRDN0003504273;BRDN0003504272;BRDN0003504270;BRDN0003504271;BRDN0003504268	6	9.714048597851363	5.561706962230178	0.0	0.0	0.0
Dut	6	48;127;130;369;377;470	BRDN0003498459;BRDN0003498458;BRDN0003498455;BRDN0003498456;BRDN0003498457;BRDN0003498454	6	9.54809298704409	5.493914387132364	0.0	0.0	0.0
Atp6v1b2	6	3;37;128;213;387;475	BRDN0003495746;BRDN0003495744;BRDN0003495745;BRDN0003495742;BRDN0003495743;BRDN0003495747	6	9.520518476909196	6.017978332579426	0.0	0.0	0.0
Atp6v0c	6	132;166;211;212;435;512	BRDN0003495703;BRDN0003495700;BRDN0003495704;BRDN0003495701;BRDN0003495705;BRDN0003495702	6	9.32506036880341	5.350482020879993	0.0	0.0	0.0
Slc25a26	6	110;235;244;264;306;578	BRDN0003507235;BRDN0003507237;BRDN0003507236;BRDN0003507232;BRDN0003507233;BRDN0003507234	6	9.00911310413522	5.293897954112205	0.0	0.0	0.0
Alg2	6	19;83;97;161;307;594	BRDN0003494865;BRDN0003494862;BRDN0003494860;BRDN0003494863;BRDN0003494861;BRDN0003494864	6	8.937961464771234	5.895325434604253	0.0	0.0	0.0
Hsd17b10	6	133;150;209;393;598;607	BRDN0003500980;BRDN0003500982;BRDN0003500985;BRDN0003500981;BRDN0003500983;BRDN0003500984	6	8.881547988206849	5.000731868432717	0.0	0.0	0.0
Keap1	6	210;294;341;360;419;611	BRDN0003502203;BRDN0003502198;BRDN0003502199;BRDN0003502201;BRDN0003502202;BRDN0003502200	6	8.86443287320307	4.919656642201309	0.0	0.0	0.0
Fdxr	6	39;136;332;462;551;615	BRDN0003499008;BRDN0003499007;BRDN0003499011;BRDN0003499006;BRDN0003499010;BRDN0003499009	6	8.847429440005893	4.980081074699074	0.0	0.0	0.0
Kdsr	6	171;287;431;532;552;616	BRDN0003502193;BRDN0003502192;BRDN0003502194;BRDN0003502195;BRDN0003502196;BRDN0003502197	6	8.843195861671843	4.672900081102564	0.0	0.0	0.0
Dtymk	6	64;68;198;429;634;641	BRDN0003498420;BRDN0003498422;BRDN0003498419;BRDN0003498418;BRDN0003498421;BRDN0003498423	6	8.73953195754549	5.107377610660328	0.0	0.0	0.0
Atp6v0d1	6	28;229;251;449;635;650	BRDN0003495706;BRDN0003495709;BRDN0003495710;BRDN0003495711;BRDN0003495708;BRDN0003495707	6	8.703199994801261	4.922767478806336	0.0	0.0	0.0
Rplp2	4	10;78;103;124	BRDN0003510749;BRDN0003510746;BRDN0003510747;BRDN0003510748	4	8.680100015789991	5.3656664516382335	0.0	0.0	0.0
Abce1	6	23;42;55;352;624;660	BRDN0003493770;BRDN0003493769;BRDN0003493772;BRDN0003493773;BRDN0003493768;BRDN0003493771	6	8.663416521407182	5.576112750271816	0.0	0.0	0.0
Dohh	6	107;335;350;505;529;681	BRDN0003498311;BRDN0003498314;BRDN0003498313;BRDN0003498310;BRDN0003498312;BRDN0003498315	6	8.581797463181683	4.714774734687229	0.0	0.0	0.0
