p-value=0 means <3.586916362818826e-07, FDR=0 means <1.6660608071437857e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Control-target	1000	172;243;396;519;664;783;801;808;810;814;851;888;889;902;907;955;972;979;980;992;1014;1015;1041;1093;1095;1130;1134;1140;1143;1163;1167;1200;1221;1228;1233;1234;1276;1287;1288;1293;1294;1300;1330;1478;1512;1514;1527;1572;1616;1638;1671;1703;1729;1735;1751;1781;1804;1833;1843;1863;1865;1904;1924;1927;1949;1967;2003;2004;2010;2055;2058;2089;2114;2142;2146;2203;2236;2243;2260;2264;2266;2281;2298;2315;2334;2351;2355;2419;2449;2476;2518;2522;2548;2549;2553;2638;2648;2708;2733;2761;2779;2792;2800;2813;2816;2855;2894;2901;2912;2938;2940;2967;3009;3019;3024;3026;3049;3064;3088;3092;3102;3108;3122;3132;3141;3154;3155;3245;3366;3396;3398;3435;3485;3504;3537;3538;3578;3612;3647;3657;3667;3681;3741;3749;3758;3774;3780;3793;3796;3799;3842;3846;3847;3853;3886;3889;3892;3900;3918;3929;3957;3961;3962;3966;3971;4077;4100;4106;4108;4137;4153;4163;4181;4202;4290;4291;4344;4382;4387;4400;4443;4446;4476;4523;4556;4580;4582;4640;4647;4648;4665;4704;4742;4772;4775;4789;4845;4852;4886;4904;4923;4936;4952;4989;5022;5034;5080;5081;5096;5139;5163;5164;5172;5202;5219;5251;5284;5301;5307;5309;5313;5319;5333;5354;5385;5388;5418;5467;5479;5544;5589;5602;5628;5690;5693;5712;5744;5750;5768;5789;5799;5868;5880;5889;5913;5920;5939;5945;5993;5997;6007;6016;6019;6086;6105;6130;6131;6171;6175;6221;6224;6228;6235;6316;6330;6397;6455;6460;6472;6481;6501;6516;6550;6590;6599;6602;6619;6651;6694;6697;6718;6723;6727;6823;6825;6836;6837;6847;6851;6863;6876;6899;6976;7009;7011;7038;7092;7125;7150;7165;7171;7179;7210;7223;7232;7257;7271;7272;7274;7298;7310;7339;7354;7360;7412;7425;7497;7534;7546;7582;7600;7607;7655;7669;7679;7683;7695;7709;7737;7761;7797;7808;7831;7841;7846;7856;7895;7904;7915;7924;7934;7969;7980;7984;7988;8005;8012;8040;8057;8074;8084;8155;8173;8177;8179;8191;8195;8201;8221;8223;8273;8304;8328;8356;8357;8363;8399;8426;8435;8458;8465;8473;8513;8546;8553;8557;8610;8658;8673;8697;8709;8723;8761;8763;8766;8777;8788;8789;8791;8846;8853;8862;8935;8951;8961;8965;8971;9022;9039;9041;9050;9112;9161;9174;9234;9252;9276;9277;9285;9313;9336;9337;9355;9394;9438;9452;9458;9459;9460;9500;9510;9529;9532;9546;9549;9578;9581;9591;9599;9604;9622;9646;9665;9678;9679;9688;9710;9723;9726;9763;9786;9787;9835;9881;9899;9934;9939;9946;9975;10011;10024;10039;10053;10056;10065;10066;10153;10168;10197;10198;10199;10227;10234;10248;10267;10275;10329;10356;10373;10377;10382;10386;10396;10406;10407;10470;10486;10499;10511;10518;10568;10610;10611;10616;10625;10667;10670;10673;10681;10690;10697;10699;10716;10718;10729;10732;10745;10748;10764;10769;10792;10821;10856;10870;10886;10890;10892;10908;10975;11046;11082;11086;11114;11117;11126;11175;11195;11209;11225;11235;11259;11260;11319;11346;11347;11349;11358;11363;11458;11468;11469;11472;11544;11555;11557;11584;11601;11643;11664;11684;11689;11696;11698;11719;11765;11773;11778;11781;11796;11809;11838;11858;11860;11881;11887;11889;11894;11907;11908;11909;11948;11964;11967;12002;12039;12046;12053;12062;12068;12074;12097;12117;12129;12171;12172;12174;12186;12201;12248;12258;12267;12286;12339;12367;12373;12388;12419;12420;12476;12572;12574;12597;12635;12645;12663;12664;12669;12672;12689;12707;12739;12769;12775;12795;12807;12812;12813;12821;12857;12883;12901;12907;12989;13006;13026;13036;13068;13084;13104;13111;13128;13132;13137;13220;13241;13278;13284;13328;13356;13364;13374;13375;13383;13418;13425;13438;13442;13451;13464;13478;13485;13542;13552;13569;13597;13604;13605;13629;13640;13645;13646;13729;13758;13804;13808;13826;13828;13840;13851;13875;13893;13894;13903;13905;13949;13958;13959;13967;13970;13971;13979;14001;14024;14047;14051;14055;14102;14132;14136;14142;14187;14230;14231;14245;14257;14300;14314;14316;14329;14331;14353;14362;14367;14372;14377;14382;14396;14399;14416;14426;14437;14452;14476;14481;14537;14554;14567;14578;14586;14627;14632;14648;14659;14666;14685;14724;14732;14754;14763;14768;14777;14778;14788;14792;14814;14846;14870;14884;14885;14888;14896;14919;14926;14938;14947;14968;14969;14988;15000;15030;15071;15073;15093;15099;15119;15125;15126;15127;15130;15153;15162;15163;15164;15194;15206;15230;15265;15268;15288;15294;15300;15302;15338;15349;15353;15363;15384;15388;15423;15429;15434;15447;15448;15501;15523;15550;15555;15574;15591;15599;15603;15622;15627;15630;15652;15657;15675;15679;15681;15688;15695;15717;15764;15827;15845;15858;15860;15861;15878;15882;15900;15910;15921;15934;15937;15963;15969;15979;15990;16006;16022;16026;16069;16078;16089;16115;16119;16121;16158;16161;16188;16193;16203;16236;16249;16253;16265;16270;16277;16301;16306;16322;16336;16362;16363;16367;16372;16376;16378;16384;16401;16404;16416;16446;16449;16450;16459;16480;16484;16485;16505;16506;16515;16520;16523;16534;16535;16537;16549;16559;16568;16571;16606;16620;16623;16632;16643;16651;16659;16661;16676;16677;16678;16711;16724;16727;16744;16747;16749;16751;16767;16769;16804;16822;16827;16829;16841;16844;16851;16866;16872;16891;16916;16929;16967;16978;16984;17027;17042;17069;17098;17131;17162;17165;17166;17168;17175;17186;17189;17192;17193;17200;17206;17208;17244;17282;17299;17300;17315;17322;17327;17333;17347;17400;17404;17420;17424;17445;17457;17496;17502;17541;17542;17568;17577;17580;17583;17593;17623;17626;17634;17661;17672;17674;17676;17696;17719;17728;17735;17736;17743;17764;17786;17794;17804;17819;17823;17866;17878;17885;17886;17893;17899;17918;17931;17935;17952;17961;17993;18001;18006;18020;18028;18057;18061;18069;18071;18075;18110;18118;18119;18129;18132;18137;18145;18169;18182;18187;18200;18224;18226;18240;18257;18263;18270;18272;18275;18278;18286;18302	BRDN0003511254;BRDN0003510863;BRDN0003511275;BRDN0003510927;BRDN0003510873;BRDN0003511339;BRDN0003511021;BRDN0003511019;BRDN0003511057;BRDN0003510891;BRDN0003511097;BRDN0003510868;BRDN0003511291;BRDN0003510975;BRDN0003511207;BRDN0003511186;BRDN0003511138;BRDN0003510906;BRDN0003510946;BRDN0003510931;BRDN0003511058;BRDN0003511230;BRDN0003511172;BRDN0003511012;BRDN0003510853;BRDN0003511109;BRDN0003511167;BRDN0003511121;BRDN0003511632;BRDN0003511041;BRDN0003511210;BRDN0003510966;BRDN0003510938;BRDN0003510849;BRDN0003511073;BRDN0003511179;BRDN0003511184;BRDN0003510846;BRDN0003511306;BRDN0003511261;BRDN0003510837;BRDN0003511033;BRDN0003511224;BRDN0003511090;BRDN0003511514;BRDN0003511047;BRDN0003511008;BRDN0003511533;BRDN0003511117;BRDN0003511404;BRDN0003511026;BRDN0003511400;BRDN0003510883;BRDN0003511161;BRDN0003511457;BRDN0003511158;BRDN0003511114;BRDN0003511153;BRDN0003511530;BRDN0003511797;BRDN0003510900;BRDN0003511098;BRDN0003511164;BRDN0003511106;BRDN0003510897;BRDN0003511800;BRDN0003511481;BRDN0003510909;BRDN0003511236;BRDN0003511637;BRDN0003510919;BRDN0003511707;BRDN0003511081;BRDN0003511790;BRDN0003510994;BRDN0003511024;BRDN0003511018;BRDN0003511731;BRDN0003510998;BRDN0003510870;BRDN0003510928;BRDN0003510974;BRDN0003510825;BRDN0003511227;BRDN0003511318;BRDN0003511774;BRDN0003511780;BRDN0003511798;BRDN0003510958;BRDN0003511600;BRDN0003510828;BRDN0003511627;BRDN0003510850;BRDN0003511301;BRDN0003511084;BRDN0003511082;BRDN0003511181;BRDN0003510858;BRDN0003511025;BRDN0003511148;BRDN0003511270;BRDN0003511214;BRDN0003511281;BRDN0003511228;BRDN0003511785;BRDN0003511314;BRDN0003511016;BRDN0003511743;BRDN0003511285;BRDN0003511137;BRDN0003511203;BRDN0003511588;BRDN0003510990;BRDN0003510941;BRDN0003511168;BRDN0003511250;BRDN0003511122;BRDN0003510970;BRDN0003511448;BRDN0003511491;BRDN0003511187;BRDN0003511226;BRDN0003511686;BRDN0003511394;BRDN0003510932;BRDN0003511350;BRDN0003511185;BRDN0003511107;BRDN0003511478;BRDN0003510823;BRDN0003511319;BRDN0003511515;BRDN0003511298;BRDN0003511813;BRDN0003511163;BRDN0003511096;BRDN0003510939;BRDN0003510961;BRDN0003511352;BRDN0003511594;BRDN0003511366;BRDN0003510882;BRDN0003510978;BRDN0003511103;BRDN0003511470;BRDN0003511036;BRDN0003511022;BRDN0003511279;BRDN0003511223;BRDN0003511237;BRDN0003511638;BRDN0003511150;BRDN0003510976;BRDN0003511105;BRDN0003511266;BRDN0003510843;BRDN0003511770;BRDN0003510969;BRDN0003511561;BRDN0003511076;BRDN0003511297;BRDN0003511642;BRDN0003510942;BRDN0003511817;BRDN0003511169;BRDN0003511006;BRDN0003511020;BRDN0003510884;BRDN0003511272;BRDN0003511416;BRDN0003510922;BRDN0003510991;BRDN0003510926;BRDN0003511147;BRDN0003511805;BRDN0003511546;BRDN0003511663;BRDN0003511763;BRDN0003511407;BRDN0003510996;BRDN0003511611;BRDN0003511273;BRDN0003511231;BRDN0003511049;BRDN0003511521;BRDN0003511351;BRDN0003511787;BRDN0003511042;BRDN0003511410;BRDN0003511113;BRDN0003511239;BRDN0003511401;BRDN0003511294;BRDN0003511799;BRDN0003511820;BRDN0003511043;BRDN0003511643;BRDN0003511537;BRDN0003511178;BRDN0003510924;BRDN0003511205;BRDN0003511080;BRDN0003511427;BRDN0003510983;BRDN0003510838;BRDN0003511564;BRDN0003510895;BRDN0003511716;BRDN0003511625;BRDN0003511222;BRDN0003511238;BRDN0003511195;BRDN0003511636;BRDN0003510952;BRDN0003511601;BRDN0003511621;BRDN0003511528;BRDN0003510992;BRDN0003511723;BRDN0003510911;BRDN0003511571;BRDN0003511284;BRDN0003510827;BRDN0003510892;BRDN0003511524;BRDN0003511005;BRDN0003511292;BRDN0003511330;BRDN0003511382;BRDN0003511177;BRDN0003510839;BRDN0003511310;BRDN0003511274;BRDN0003511249;BRDN0003511516;BRDN0003511671;BRDN0003511064;BRDN0003511570;BRDN0003511160;BRDN0003511409;BRDN0003511552;BRDN0003511563;BRDN0003511385;BRDN0003511386;BRDN0003511063;BRDN0003511276;BRDN0003511535;BRDN0003511562;BRDN0003511229;BRDN0003511618;BRDN0003510878;BRDN0003511124;BRDN0003511469;BRDN0003510887;BRDN0003511083;BRDN0003510986;BRDN0003511246;BRDN0003510848;BRDN0003511595;BRDN0003511747;BRDN0003511746;BRDN0003511474;BRDN0003510954;BRDN0003510947;BRDN0003510886;BRDN0003511613;BRDN0003511308;BRDN0003511315;BRDN0003511803;BRDN0003510971;BRDN0003511699;BRDN0003511079;BRDN0003511500;BRDN0003511252;BRDN0003511492;BRDN0003511430;BRDN0003511174;BRDN0003511677;BRDN0003511089;BRDN0003511408;BRDN0003511191;BRDN0003510889;BRDN0003511447;BRDN0003511598;BRDN0003511479;BRDN0003510829;BRDN0003511086;BRDN0003511449;BRDN0003511053;BRDN0003511039;BRDN0003511488;BRDN0003511730;BRDN0003511206;BRDN0003511633;BRDN0003510851;BRDN0003511436;BRDN0003511233;BRDN0003510930;BRDN0003511683;BRDN0003511804;BRDN0003510847;BRDN0003510904;BRDN0003511674;BRDN0003511111;BRDN0003511248;BRDN0003511040;BRDN0003511125;BRDN0003510902;BRDN0003511380;BRDN0003511225;BRDN0003510968;BRDN0003511115;BRDN0003511056;BRDN0003511708;BRDN0003511669;BRDN0003511660;BRDN0003511253;BRDN0003511786;BRDN0003511714;BRDN0003510925;BRDN0003511412;BRDN0003511622;BRDN0003511583;BRDN0003510955;BRDN0003510841;BRDN0003510877;BRDN0003511685;BRDN0003511100;BRDN0003511269;BRDN0003511099;BRDN0003511795;BRDN0003511126;BRDN0003511696;BRDN0003511576;BRDN0003510995;BRDN0003510899;BRDN0003511498;BRDN0003511044;BRDN0003510912;BRDN0003510915;BRDN0003511471;BRDN0003510921;BRDN0003511502;BRDN0003510859;BRDN0003511402;BRDN0003511192;BRDN0003510989;BRDN0003511617;BRDN0003510876;BRDN0003511050;BRDN0003511002;BRDN0003510890;BRDN0003511091;BRDN0003511324;BRDN0003511635;BRDN0003511647;BRDN0003510957;BRDN0003511762;BRDN0003511777;BRDN0003511536;BRDN0003511710;BRDN0003511023;BRDN0003511031;BRDN0003511359;BRDN0003511335;BRDN0003511010;BRDN0003511666;BRDN0003510866;BRDN0003511526;BRDN0003511374;BRDN0003511737;BRDN0003511517;BRDN0003511190;BRDN0003510860;BRDN0003511264;BRDN0003510856;BRDN0003511077;BRDN0003511434;BRDN0003511202;BRDN0003511486;BRDN0003510973;BRDN0003511703;BRDN0003511357;BRDN0003511283;BRDN0003511508;BRDN0003511656;BRDN0003511760;BRDN0003511821;BRDN0003511312;BRDN0003510840;BRDN0003511661;BRDN0003510981;BRDN0003510916;BRDN0003510896;BRDN0003511320;BRDN0003511604;BRDN0003511450;BRDN0003511054;BRDN0003511591;BRDN0003510977;BRDN0003511376;BRDN0003511265;BRDN0003511765;BRDN0003511745;BRDN0003511180;BRDN0003511029;BRDN0003511307;BRDN0003511333;BRDN0003511480;BRDN0003511529;BRDN0003511321;BRDN0003511384;BRDN0003511069;BRDN0003511358;BRDN0003510855;BRDN0003511512;BRDN0003511579;BRDN0003511582;BRDN0003511565;BRDN0003511477;BRDN0003510864;BRDN0003511066;BRDN0003511143;BRDN0003511183;BRDN0003511213;BRDN0003511693;BRDN0003511435;BRDN0003511773;BRDN0003511309;BRDN0003511754;BRDN0003510871;BRDN0003510865;BRDN0003511215;BRDN0003511088;BRDN0003511597;BRDN0003510964;BRDN0003511377;BRDN0003511212;BRDN0003510920;BRDN0003511139;BRDN0003511664;BRDN0003511456;BRDN0003511011;BRDN0003511257;BRDN0003511030;BRDN0003511220;BRDN0003511403;BRDN0003511655;BRDN0003511072;BRDN0003511711;BRDN0003510953;BRDN0003511650;BRDN0003511303;BRDN0003511557;BRDN0003511156;BRDN0003510832;BRDN0003510948;BRDN0003510933;BRDN0003511204;BRDN0003511280;BRDN0003510940;BRDN0003511217;BRDN0003511793;BRDN0003511466;BRDN0003510894;BRDN0003511232;BRDN0003511051;BRDN0003511568;BRDN0003511173;BRDN0003511606;BRDN0003511027;BRDN0003510907;BRDN0003511439;BRDN0003511540;BRDN0003511639;BRDN0003511691;BRDN0003510993;BRDN0003510972;BRDN0003511644;BRDN0003511789;BRDN0003510960;BRDN0003511791;BRDN0003511752;BRDN0003511405;BRDN0003511353;BRDN0003511144;BRDN0003511000;BRDN0003511567;BRDN0003510910;BRDN0003511171;BRDN0003511209;BRDN0003511340;BRDN0003511135;BRDN0003511520;BRDN0003510879;BRDN0003511788;BRDN0003510893;BRDN0003510982;BRDN0003510845;BRDN0003511815;BRDN0003511118;BRDN0003511108;BRDN0003511329;BRDN0003511615;BRDN0003511188;BRDN0003511794;BRDN0003511692;BRDN0003511634;BRDN0003511258;BRDN0003511468;BRDN0003510888;BRDN0003511326;BRDN0003511129;BRDN0003511782;BRDN0003511055;BRDN0003511610;BRDN0003511323;BRDN0003511176;BRDN0003511211;BRDN0003511506;BRDN0003510913;BRDN0003511812;BRDN0003510984;BRDN0003511068;BRDN0003510959;BRDN0003511510;BRDN0003511346;BRDN0003511304;BRDN0003511381;BRDN0003511198;BRDN0003511345;BRDN0003511505;BRDN0003510949;BRDN0003511130;BRDN0003511560;BRDN0003511497;BRDN0003511406;BRDN0003511732;BRDN0003511244;BRDN0003511724;BRDN0003511322;BRDN0003511756;BRDN0003511293;BRDN0003511347;BRDN0003511001;BRDN0003511154;BRDN0003511460;BRDN0003510867;BRDN0003511767;BRDN0003511653;BRDN0003511733;BRDN0003511573;BRDN0003511585;BRDN0003511523;BRDN0003511287;BRDN0003511739;BRDN0003510901;BRDN0003511316;BRDN0003511761;BRDN0003511556;BRDN0003511440;BRDN0003511371;BRDN0003511451;BRDN0003511151;BRDN0003511672;BRDN0003511482;BRDN0003511241;BRDN0003511519;BRDN0003511338;BRDN0003511396;BRDN0003511277;BRDN0003511764;BRDN0003511742;BRDN0003511110;BRDN0003511807;BRDN0003511367;BRDN0003511189;BRDN0003510944;BRDN0003511101;BRDN0003511527;BRDN0003511603;BRDN0003510999;BRDN0003511119;BRDN0003511155;BRDN0003511299;BRDN0003511302;BRDN0003511426;BRDN0003511771;BRDN0003510987;BRDN0003510831;BRDN0003511559;BRDN0003511461;BRDN0003511411;BRDN0003511587;BRDN0003510861;BRDN0003510898;BRDN0003511473;BRDN0003511431;BRDN0003511145;BRDN0003511094;BRDN0003511681;BRDN0003511059;BRDN0003511544;BRDN0003511531;BRDN0003510943;BRDN0003511772;BRDN0003511726;BRDN0003511705;BRDN0003511255;BRDN0003511577;BRDN0003511296;BRDN0003511593;BRDN0003511165;BRDN0003510842;BRDN0003511234;BRDN0003511811;BRDN0003511136;BRDN0003511065;BRDN0003511170;BRDN0003511062;BRDN0003511776;BRDN0003511132;BRDN0003511362;BRDN0003511256;BRDN0003511458;BRDN0003510822;BRDN0003511052;BRDN0003511755;BRDN0003511048;BRDN0003511267;BRDN0003511641;BRDN0003510917;BRDN0003511809;BRDN0003511289;BRDN0003511554;BRDN0003511619;BRDN0003511648;BRDN0003511349;BRDN0003510929;BRDN0003511783;BRDN0003511628;BRDN0003511445;BRDN0003511781;BRDN0003510988;BRDN0003511741;BRDN0003511766;BRDN0003511682;BRDN0003511034;BRDN0003511446;BRDN0003511472;BRDN0003510980;BRDN0003511463;BRDN0003511216;BRDN0003510830;BRDN0003511572;BRDN0003510979;BRDN0003511104;BRDN0003511575;BRDN0003511438;BRDN0003511085;BRDN0003511802;BRDN0003510835;BRDN0003511334;BRDN0003511437;BRDN0003511792;BRDN0003511801;BRDN0003511814;BRDN0003511453;BRDN0003510903;BRDN0003511242;BRDN0003511197;BRDN0003510905;BRDN0003511422;BRDN0003511162;BRDN0003511368;BRDN0003511608;BRDN0003511200;BRDN0003511140;BRDN0003511061;BRDN0003511218;BRDN0003511748;BRDN0003511819;BRDN0003511120;BRDN0003511313;BRDN0003511734;BRDN0003511569;BRDN0003511004;BRDN0003511538;BRDN0003511399;BRDN0003510875;BRDN0003510967;BRDN0003511420;BRDN0003511609;BRDN0003510965;BRDN0003511432;BRDN0003511328;BRDN0003511725;BRDN0003511372;BRDN0003511009;BRDN0003511623;BRDN0003511375;BRDN0003511709;BRDN0003511586;BRDN0003511626;BRDN0003511075;BRDN0003511769;BRDN0003511499;BRDN0003511727;BRDN0003511295;BRDN0003511620;BRDN0003511501;BRDN0003511715;BRDN0003511392;BRDN0003511331;BRDN0003511078;BRDN0003511262;BRDN0003511424;BRDN0003511690;BRDN0003511271;BRDN0003511778;BRDN0003511701;BRDN0003511370;BRDN0003511442;BRDN0003511327;BRDN0003511166;BRDN0003511590;BRDN0003511070;BRDN0003511219;BRDN0003511462;BRDN0003511208;BRDN0003511784;BRDN0003511116;BRDN0003511425;BRDN0003511141;BRDN0003511735;BRDN0003510862;BRDN0003511493;BRDN0003510945;BRDN0003511364;BRDN0003511454;BRDN0003511363;BRDN0003511038;BRDN0003510923;BRDN0003511662;BRDN0003511654;BRDN0003511475;BRDN0003511614;BRDN0003510997;BRDN0003511670;BRDN0003510918;BRDN0003511607;BRDN0003511728;BRDN0003511395;BRDN0003511356;BRDN0003511547;BRDN0003511428;BRDN0003511060;BRDN0003511539;BRDN0003511201;BRDN0003511718;BRDN0003511736;BRDN0003511095;BRDN0003511251;BRDN0003511133;BRDN0003511673;BRDN0003511816;BRDN0003511513;BRDN0003510874;BRDN0003511290;BRDN0003511574;BRDN0003511658;BRDN0003511361;BRDN0003510844;BRDN0003511373;BRDN0003511259;BRDN0003511679;BRDN0003511444;BRDN0003510885;BRDN0003510963;BRDN0003511629;BRDN0003511193;BRDN0003511032;BRDN0003511288;BRDN0003511599;BRDN0003511441;BRDN0003511175;BRDN0003511518;BRDN0003511818;BRDN0003511414;BRDN0003511360;BRDN0003511616;BRDN0003511157;BRDN0003511549;BRDN0003511087;BRDN0003511282;BRDN0003511487;BRDN0003511688;BRDN0003511452;BRDN0003511721;BRDN0003511720;BRDN0003511045;BRDN0003511387;BRDN0003511738;BRDN0003510914;BRDN0003511729;BRDN0003511646;BRDN0003511003;BRDN0003511532;BRDN0003511509;BRDN0003511337;BRDN0003511687;BRDN0003511580;BRDN0003511028;BRDN0003511810;BRDN0003511046;BRDN0003510985;BRDN0003511344;BRDN0003511695;BRDN0003511578;BRDN0003511722;BRDN0003511199;BRDN0003511713;BRDN0003510857;BRDN0003511657;BRDN0003511235;BRDN0003511134;BRDN0003511128;BRDN0003511645;BRDN0003511263;BRDN0003511584;BRDN0003511507;BRDN0003510937;BRDN0003510934;BRDN0003511245;BRDN0003511652;BRDN0003510872;BRDN0003510950;BRDN0003511649;BRDN0003511485;BRDN0003510880;BRDN0003511684;BRDN0003511542;BRDN0003511417;BRDN0003511483;BRDN0003511717;BRDN0003511423;BRDN0003511013;BRDN0003511071;BRDN0003511221;BRDN0003510824;BRDN0003511243;BRDN0003511806;BRDN0003511476;BRDN0003511017;BRDN0003511750;BRDN0003511702;BRDN0003511159;BRDN0003511596;BRDN0003510956;BRDN0003511525;BRDN0003511037;BRDN0003511152;BRDN0003511758;BRDN0003511127;BRDN0003511379;BRDN0003511566;BRDN0003511332;BRDN0003511443;BRDN0003511260;BRDN0003511759;BRDN0003510826;BRDN0003511336;BRDN0003511015;BRDN0003511553;BRDN0003511194;BRDN0003510881;BRDN0003511369;BRDN0003511286;BRDN0003511592;BRDN0003511390;BRDN0003511007;BRDN0003511522;BRDN0003511697;BRDN0003511503;BRDN0003511624;BRDN0003511659;BRDN0003511630;BRDN0003511067;BRDN0003511378;BRDN0003511278;BRDN0003510935;BRDN0003510854;BRDN0003511311;BRDN0003511612;BRDN0003510908;BRDN0003511558;BRDN0003511719;BRDN0003510833;BRDN0003511074;BRDN0003510869;BRDN0003511149;BRDN0003511694;BRDN0003510852;BRDN0003511035;BRDN0003511240;BRDN0003511393;BRDN0003511704;BRDN0003510836;BRDN0003511768;BRDN0003511543;BRDN0003510951;BRDN0003511494;BRDN0003511123;BRDN0003511421;BRDN0003511667;BRDN0003511589;BRDN0003511689;BRDN0003511749;BRDN0003511511;BRDN0003511490;BRDN0003511464;BRDN0003511348;BRDN0003511712;BRDN0003511196;BRDN0003511413;BRDN0003511550;BRDN0003511740;BRDN0003511112;BRDN0003511325;BRDN0003511700;BRDN0003510936;BRDN0003511459;BRDN0003511651;BRDN0003511581;BRDN0003511343;BRDN0003511665;BRDN0003511268;BRDN0003511388;BRDN0003511455;BRDN0003511433;BRDN0003511415;BRDN0003511389;BRDN0003511757;BRDN0003511496;BRDN0003511092;BRDN0003511504;BRDN0003511668;BRDN0003511354;BRDN0003511398;BRDN0003511698;BRDN0003511093;BRDN0003510962;BRDN0003511631;BRDN0003511317;BRDN0003511247;BRDN0003511548;BRDN0003511342;BRDN0003511355;BRDN0003511534;BRDN0003511146;BRDN0003511383;BRDN0003511391;BRDN0003511796;BRDN0003511419;BRDN0003511676;BRDN0003511706;BRDN0003510834;BRDN0003511555;BRDN0003511602;BRDN0003511541;BRDN0003511675;BRDN0003511131;BRDN0003511341;BRDN0003511495;BRDN0003511102;BRDN0003511484;BRDN0003511465;BRDN0003511418;BRDN0003511305;BRDN0003511300;BRDN0003511744;BRDN0003511605;BRDN0003511779;BRDN0003511397;BRDN0003511753;BRDN0003511365;BRDN0003511775;BRDN0003511808;BRDN0003511467;BRDN0003511680;BRDN0003511014;BRDN0003511142;BRDN0003511551;BRDN0003511751;BRDN0003511489;BRDN0003511640;BRDN0003511182;BRDN0003511429;BRDN0003511678;BRDN0003511545	6	11.91519726598141	7.758691097826794	0.0	0.0	0.0
Atp5a1	6	36;94;99;129;200;228	BRDN0003495581;BRDN0003495585;BRDN0003495583;BRDN0003495582;BRDN0003495584;BRDN0003495580	6	11.43307105265567	6.461569801455744	0.0	0.0	0.0
Alg2	6	6;11;33;120;125;273	BRDN0003494862;BRDN0003494861;BRDN0003494865;BRDN0003494860;BRDN0003494863;BRDN0003494864	6	10.963704252413859	7.250150995591228	0.0	0.0	0.0
Atp6v1b2	6	39;64;79;115;299;336	BRDN0003495746;BRDN0003495744;BRDN0003495747;BRDN0003495742;BRDN0003495743;BRDN0003495745	6	10.42264447031933	6.279382568837197	0.0	0.0	0.0
Myc	6	93;137;140;290;367;395	BRDN0003503238;BRDN0003503240;BRDN0003503236;BRDN0003503237;BRDN0003503239;BRDN0003503241	6	10.001097560899634	5.574452958175534	0.0	0.0	0.0
Rrm2	6	131;179;317;323;356;417	BRDN0003506152;BRDN0003506157;BRDN0003506153;BRDN0003506154;BRDN0003506156;BRDN0003506155	6	9.859863804815848	5.293515526111627	0.0	0.0	0.0
Rrm1	6	170;207;239;300;347;419	BRDN0003506149;BRDN0003506147;BRDN0003506150;BRDN0003506151;BRDN0003506148;BRDN0003506146	6	9.847395996860623	5.343584867509777	0.0	0.0	0.0
Dut	6	31;65;110;255;369;445	BRDN0003498454;BRDN0003498459;BRDN0003498458;BRDN0003498457;BRDN0003498455;BRDN0003498456	6	9.690520068772805	5.79478502731532	0.0	0.0	0.0
Oxa1l	6	84;183;262;437;447;455	BRDN0003504272;BRDN0003504271;BRDN0003504273;BRDN0003504269;BRDN0003504270;BRDN0003504268	6	9.632611754715724	5.155839891727318	0.0	0.0	0.0
Slc25a26	6	157;236;298;345;422;514	BRDN0003507237;BRDN0003507235;BRDN0003507233;BRDN0003507232;BRDN0003507236;BRDN0003507234	6	9.31490142068674	5.083997118124581	0.0	0.0	0.0
Uqcrc1	6	201;270;410;426;515;536	BRDN0003509848;BRDN0003509850;BRDN0003509849;BRDN0003509853;BRDN0003509852;BRDN0003509851	6	9.205691396501775	4.829808301141468	0.0	0.0	0.0
Rps6	4	38;85;92;95	BRDN0003510761;BRDN0003510759;BRDN0003510760;BRDN0003510758	4	9.14289233528354	5.35505918005713	0.0	0.0	0.0
Fdxr	6	289;333;470;594;635;688	BRDN0003499006;BRDN0003499008;BRDN0003499007;BRDN0003499010;BRDN0003499011;BRDN0003499009	6	8.555149505245327	4.468378712713191	0.0	0.0	0.0
Aldoa	6	90;150;155;202;409;693	BRDN0003494814;BRDN0003494812;BRDN0003494815;BRDN0003494813;BRDN0003494816;BRDN0003494817	6	8.536280726987554	5.362739906941111	0.0	0.0	0.0
Atp6v0c	6	3;34;89;161;480;702	BRDN0003495700;BRDN0003495703;BRDN0003495701;BRDN0003495704;BRDN0003495705;BRDN0003495702	6	8.502657461879561	5.942029012209996	0.0	0.0	0.0
Snrpg	4	20;35;56;138	BRDN0003510782;BRDN0003510785;BRDN0003510783;BRDN0003510784	4	8.494270410833984	5.615839391700735	0.0	0.0	0.0
Dtymk	6	105;156;174;428;430;710	BRDN0003498422;BRDN0003498419;BRDN0003498420;BRDN0003498418;BRDN0003498423;BRDN0003498421	6	8.473130042343945	5.077274297504588	0.0	0.0	0.0
Naa20	6	165;248;259;274;685;718	BRDN0003503242;BRDN0003503247;BRDN0003503244;BRDN0003503243;BRDN0003503246;BRDN0003503245	6	8.443933469204593	4.8502965855677	0.0	0.0	0.0
Kras	4	37;62;86;143	BRDN0003510591;BRDN0003510592;BRDN0003510590;BRDN0003510593	4	8.432442606578682	5.270495994134821	0.0	0.0	0.0
