p-value=0 means <3.586916362818826e-07, FDR=0 means <0.0004905108126155319
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Kctd10	6	29;32;66;69;103;13679	BRDN0003501976;BRDN0003501977;BRDN0003501979;BRDN0003501981;BRDN0003501980;BRDN0003501978	5	10.477341737413694	6.281631675388868	0.0	0.0	0.0
Pten	6	14;58;128;530;590;613	BRDN0003505887;BRDN0003505884;BRDN0003505883;BRDN0003505886;BRDN0003505882;BRDN0003505885	6	8.855917287547904	5.318012764616331	0.0	0.0	0.0
Control-target	1000	1;20;23;46;49;89;106;129;137;160;180;193;210;238;245;285;295;303;319;338;355;386;387;393;401;403;411;415;422;428;448;477;481;506;532;547;645;697;708;714;741;746;861;866;867;884;903;919;926;952;1004;1034;1082;1088;1109;1119;1165;1205;1229;1251;1286;1353;1360;1453;1461;1484;1489;1499;1550;1585;1587;1596;1619;1631;1641;1695;1701;1736;1750;1754;1787;1802;1866;1892;1974;1988;2007;2025;2041;2068;2106;2111;2134;2142;2162;2194;2201;2207;2262;2287;2297;2304;2317;2320;2337;2365;2372;2395;2410;2437;2439;2445;2467;2489;2500;2505;2508;2560;2570;2579;2588;2593;2615;2647;2648;2658;2688;2700;2720;2725;2741;2755;2756;2771;2821;2829;2833;2841;2843;2852;2948;2949;2966;2995;3005;3062;3100;3105;3124;3132;3139;3146;3209;3269;3282;3316;3381;3395;3428;3475;3499;3502;3561;3572;3577;3608;3615;3647;3681;3711;3730;3794;3796;3799;3828;3868;3931;3972;3978;3992;4010;4025;4066;4110;4132;4140;4141;4146;4214;4216;4319;4351;4362;4366;4373;4374;4379;4382;4398;4411;4422;4430;4459;4474;4491;4506;4526;4530;4534;4541;4553;4594;4603;4604;4607;4612;4657;4663;4699;4719;4725;4803;4815;4818;4827;4853;4859;4918;4952;4955;4967;4991;5005;5013;5083;5104;5124;5142;5143;5149;5157;5196;5205;5215;5231;5237;5281;5289;5309;5334;5335;5339;5372;5385;5407;5423;5435;5465;5470;5489;5490;5500;5508;5513;5562;5570;5584;5645;5646;5694;5716;5727;5732;5770;5801;5807;5820;5821;5824;5958;5962;5967;5998;6032;6058;6075;6090;6106;6187;6196;6215;6220;6300;6318;6326;6346;6371;6381;6386;6390;6420;6441;6442;6465;6531;6534;6586;6599;6606;6622;6630;6658;6685;6701;6714;6756;6766;6841;6855;6900;6917;6929;6940;6960;6970;6974;6979;6982;7055;7086;7135;7151;7156;7165;7169;7189;7234;7246;7253;7272;7284;7297;7302;7324;7422;7429;7472;7475;7484;7570;7584;7585;7592;7607;7664;7667;7686;7703;7717;7724;7759;7767;7770;7771;7780;7819;7824;7848;7880;7921;7933;7941;7946;7949;7997;8038;8076;8102;8128;8157;8182;8186;8218;8219;8228;8249;8320;8343;8353;8381;8410;8421;8459;8464;8508;8523;8526;8541;8590;8604;8669;8703;8712;8714;8730;8760;8765;8805;8813;8843;8848;8851;8873;8889;8891;8924;8925;9009;9035;9036;9040;9041;9048;9055;9075;9081;9087;9096;9155;9163;9190;9203;9208;9218;9264;9299;9306;9313;9327;9328;9330;9388;9397;9398;9407;9416;9474;9495;9555;9640;9641;9678;9714;9727;9730;9732;9745;9760;9761;9785;9801;9821;9825;9827;9860;9907;9944;9959;9967;9972;9975;9983;9984;10015;10017;10046;10052;10056;10063;10077;10080;10094;10095;10105;10165;10204;10208;10214;10217;10222;10234;10267;10273;10311;10316;10318;10325;10326;10337;10343;10347;10356;10371;10372;10379;10410;10424;10429;10489;10505;10537;10541;10551;10576;10595;10615;10658;10676;10684;10700;10710;10712;10770;10830;10831;10877;10891;10971;10996;10999;11045;11049;11050;11051;11056;11062;11071;11079;11095;11120;11125;11135;11137;11138;11171;11175;11188;11203;11205;11211;11215;11220;11259;11263;11279;11311;11315;11324;11335;11360;11374;11392;11403;11410;11431;11438;11445;11475;11488;11497;11501;11502;11519;11522;11527;11531;11542;11574;11599;11600;11608;11612;11633;11656;11680;11697;11698;11706;11735;11741;11748;11769;11772;11773;11786;11796;11827;11850;11855;11872;11876;11903;11910;11911;11919;11933;11936;11984;11993;12008;12018;12025;12030;12051;12058;12061;12067;12095;12101;12118;12126;12138;12139;12142;12185;12188;12224;12251;12261;12271;12320;12327;12342;12377;12408;12471;12481;12503;12519;12540;12545;12565;12568;12577;12600;12604;12609;12636;12641;12646;12651;12663;12665;12685;12698;12720;12730;12738;12761;12766;12774;12797;12821;12831;12837;12900;12937;12948;12965;12966;12984;12989;13008;13010;13062;13064;13083;13098;13099;13117;13138;13139;13165;13168;13171;13211;13225;13232;13253;13285;13289;13302;13329;13365;13372;13377;13389;13404;13430;13431;13442;13459;13462;13474;13482;13491;13494;13504;13575;13582;13583;13626;13635;13639;13663;13669;13670;13680;13688;13708;13723;13730;13753;13759;13766;13787;13804;13815;13821;13825;13850;13858;13860;13893;13940;13965;13972;13983;13993;14051;14054;14067;14094;14095;14103;14130;14138;14146;14157;14234;14244;14245;14257;14258;14265;14268;14311;14335;14339;14340;14348;14353;14355;14371;14422;14442;14449;14467;14473;14474;14522;14524;14556;14618;14642;14643;14647;14651;14667;14683;14697;14702;14709;14725;14782;14828;14835;14849;14861;14908;14909;14925;14933;14939;14950;14983;15080;15083;15109;15128;15130;15141;15142;15151;15164;15166;15187;15215;15226;15244;15260;15267;15316;15317;15323;15341;15353;15368;15388;15404;15439;15452;15524;15532;15548;15551;15558;15560;15583;15605;15626;15674;15676;15704;15735;15760;15848;15849;15860;15877;15895;15899;15904;15905;15926;15953;15959;15969;15980;15983;15990;16014;16016;16024;16030;16072;16081;16084;16090;16121;16190;16192;16204;16235;16242;16252;16302;16323;16359;16364;16383;16410;16412;16413;16415;16423;16427;16435;16455;16517;16537;16560;16565;16601;16604;16613;16644;16655;16656;16659;16664;16665;16683;16684;16685;16687;16688;16699;16702;16724;16746;16773;16774;16783;16815;16833;16878;16984;17010;17018;17051;17056;17087;17103;17113;17119;17120;17129;17136;17156;17185;17213;17216;17217;17228;17256;17257;17265;17284;17305;17306;17311;17319;17323;17328;17354;17356;17363;17371;17383;17385;17394;17402;17409;17436;17445;17469;17477;17484;17551;17576;17582;17589;17594;17602;17621;17650;17651;17663;17694;17727;17755;17757;17761;17766;17788;17845;17873;17882;17906;17910;17914;17932;17949;17976;17980;17983;17989;17996;18004;18012;18034;18047;18059;18094;18102;18109;18110;18133;18141;18157;18160;18166;18186;18198;18223;18224;18248;18259;18328	BRDN0003511240;BRDN0003511497;BRDN0003511767;BRDN0003511672;BRDN0003511663;BRDN0003511597;BRDN0003510948;BRDN0003511468;BRDN0003510890;BRDN0003511132;BRDN0003511123;BRDN0003511757;BRDN0003511309;BRDN0003511100;BRDN0003511156;BRDN0003511669;BRDN0003511654;BRDN0003511618;BRDN0003511108;BRDN0003511455;BRDN0003510863;BRDN0003511783;BRDN0003511511;BRDN0003511046;BRDN0003511660;BRDN0003510925;BRDN0003510920;BRDN0003511477;BRDN0003511759;BRDN0003511069;BRDN0003511229;BRDN0003511059;BRDN0003511197;BRDN0003510950;BRDN0003510935;BRDN0003511532;BRDN0003510963;BRDN0003511520;BRDN0003511681;BRDN0003511189;BRDN0003511651;BRDN0003511375;BRDN0003511112;BRDN0003511252;BRDN0003511792;BRDN0003511586;BRDN0003511557;BRDN0003511016;BRDN0003511590;BRDN0003511192;BRDN0003510887;BRDN0003510953;BRDN0003510894;BRDN0003511424;BRDN0003511101;BRDN0003511388;BRDN0003511674;BRDN0003511039;BRDN0003511353;BRDN0003511719;BRDN0003511425;BRDN0003510956;BRDN0003511355;BRDN0003511323;BRDN0003511436;BRDN0003511795;BRDN0003511633;BRDN0003511028;BRDN0003511346;BRDN0003511255;BRDN0003511765;BRDN0003511478;BRDN0003511482;BRDN0003511650;BRDN0003511628;BRDN0003511426;BRDN0003511763;BRDN0003511470;BRDN0003511278;BRDN0003510848;BRDN0003511815;BRDN0003511679;BRDN0003511064;BRDN0003511441;BRDN0003511159;BRDN0003510905;BRDN0003510859;BRDN0003511040;BRDN0003511392;BRDN0003510844;BRDN0003511310;BRDN0003511174;BRDN0003511750;BRDN0003511378;BRDN0003511035;BRDN0003511717;BRDN0003511700;BRDN0003511244;BRDN0003510988;BRDN0003511615;BRDN0003511541;BRDN0003511080;BRDN0003511418;BRDN0003511519;BRDN0003511447;BRDN0003511644;BRDN0003511372;BRDN0003511274;BRDN0003511646;BRDN0003511547;BRDN0003510910;BRDN0003511130;BRDN0003510862;BRDN0003511245;BRDN0003511572;BRDN0003511337;BRDN0003511606;BRDN0003511739;BRDN0003511013;BRDN0003510830;BRDN0003511439;BRDN0003511667;BRDN0003511565;BRDN0003511135;BRDN0003511149;BRDN0003511697;BRDN0003511319;BRDN0003511454;BRDN0003511165;BRDN0003510838;BRDN0003511471;BRDN0003511428;BRDN0003511508;BRDN0003511626;BRDN0003511777;BRDN0003511393;BRDN0003511623;BRDN0003511527;BRDN0003511809;BRDN0003511182;BRDN0003511248;BRDN0003511389;BRDN0003511718;BRDN0003511015;BRDN0003511173;BRDN0003511788;BRDN0003511774;BRDN0003511305;BRDN0003511037;BRDN0003511373;BRDN0003511560;BRDN0003511737;BRDN0003511341;BRDN0003511129;BRDN0003511550;BRDN0003511513;BRDN0003511466;BRDN0003511036;BRDN0003510955;BRDN0003511785;BRDN0003511781;BRDN0003511630;BRDN0003510979;BRDN0003511218;BRDN0003511524;BRDN0003511607;BRDN0003511756;BRDN0003510997;BRDN0003510882;BRDN0003511287;BRDN0003511134;BRDN0003511336;BRDN0003511749;BRDN0003511384;BRDN0003511060;BRDN0003511146;BRDN0003511256;BRDN0003511434;BRDN0003511022;BRDN0003511396;BRDN0003511363;BRDN0003510943;BRDN0003511359;BRDN0003511275;BRDN0003511253;BRDN0003511578;BRDN0003511268;BRDN0003511816;BRDN0003510921;BRDN0003511219;BRDN0003511490;BRDN0003510940;BRDN0003511261;BRDN0003511247;BRDN0003511564;BRDN0003511362;BRDN0003511407;BRDN0003511251;BRDN0003511469;BRDN0003511386;BRDN0003511559;BRDN0003511462;BRDN0003511106;BRDN0003511452;BRDN0003510878;BRDN0003511512;BRDN0003511312;BRDN0003511501;BRDN0003510842;BRDN0003511668;BRDN0003511004;BRDN0003511208;BRDN0003511296;BRDN0003511213;BRDN0003511202;BRDN0003511048;BRDN0003511284;BRDN0003511391;BRDN0003511348;BRDN0003511276;BRDN0003510924;BRDN0003511120;BRDN0003511500;BRDN0003511701;BRDN0003511516;BRDN0003511631;BRDN0003511032;BRDN0003511118;BRDN0003511157;BRDN0003511293;BRDN0003511395;BRDN0003511074;BRDN0003511808;BRDN0003511773;BRDN0003511199;BRDN0003511025;BRDN0003511585;BRDN0003511591;BRDN0003510865;BRDN0003511805;BRDN0003510835;BRDN0003511093;BRDN0003511216;BRDN0003511728;BRDN0003510971;BRDN0003511472;BRDN0003511303;BRDN0003511464;BRDN0003511111;BRDN0003511030;BRDN0003511720;BRDN0003511486;BRDN0003511313;BRDN0003510853;BRDN0003511670;BRDN0003511622;BRDN0003511521;BRDN0003511682;BRDN0003510879;BRDN0003511498;BRDN0003510903;BRDN0003511374;BRDN0003511139;BRDN0003511243;BRDN0003511444;BRDN0003511545;BRDN0003510867;BRDN0003511443;BRDN0003511406;BRDN0003511648;BRDN0003511465;BRDN0003511619;BRDN0003510981;BRDN0003511588;BRDN0003510960;BRDN0003510901;BRDN0003511233;BRDN0003511076;BRDN0003511584;BRDN0003511582;BRDN0003511693;BRDN0003511687;BRDN0003511103;BRDN0003511505;BRDN0003511235;BRDN0003511782;BRDN0003511131;BRDN0003511810;BRDN0003511260;BRDN0003510885;BRDN0003511234;BRDN0003511610;BRDN0003511709;BRDN0003511528;BRDN0003510869;BRDN0003511082;BRDN0003511755;BRDN0003511212;BRDN0003511725;BRDN0003511733;BRDN0003510898;BRDN0003511698;BRDN0003511457;BRDN0003511328;BRDN0003511579;BRDN0003511364;BRDN0003511641;BRDN0003511480;BRDN0003511300;BRDN0003511421;BRDN0003511770;BRDN0003511620;BRDN0003511170;BRDN0003510852;BRDN0003511751;BRDN0003511403;BRDN0003510984;BRDN0003511052;BRDN0003510995;BRDN0003511089;BRDN0003511754;BRDN0003511529;BRDN0003511209;BRDN0003510985;BRDN0003510826;BRDN0003511152;BRDN0003511204;BRDN0003511259;BRDN0003511496;BRDN0003510829;BRDN0003510954;BRDN0003511095;BRDN0003510964;BRDN0003511576;BRDN0003510918;BRDN0003511228;BRDN0003510831;BRDN0003510996;BRDN0003511435;BRDN0003511449;BRDN0003511614;BRDN0003511493;BRDN0003511804;BRDN0003510828;BRDN0003511636;BRDN0003511142;BRDN0003510937;BRDN0003511168;BRDN0003511563;BRDN0003511327;BRDN0003510912;BRDN0003511387;BRDN0003511495;BRDN0003510880;BRDN0003511745;BRDN0003511689;BRDN0003511711;BRDN0003511494;BRDN0003511122;BRDN0003511748;BRDN0003511107;BRDN0003511776;BRDN0003511347;BRDN0003511680;BRDN0003511778;BRDN0003511186;BRDN0003511741;BRDN0003510893;BRDN0003511780;BRDN0003511542;BRDN0003511070;BRDN0003511280;BRDN0003511422;BRDN0003510977;BRDN0003511031;BRDN0003511370;BRDN0003511802;BRDN0003511796;BRDN0003511311;BRDN0003511286;BRDN0003511226;BRDN0003511442;BRDN0003511675;BRDN0003511345;BRDN0003511599;BRDN0003511242;BRDN0003511706;BRDN0003511684;BRDN0003511476;BRDN0003511187;BRDN0003511365;BRDN0003511503;BRDN0003511624;BRDN0003511432;BRDN0003511775;BRDN0003511357;BRDN0003511540;BRDN0003511721;BRDN0003510856;BRDN0003511760;BRDN0003511094;BRDN0003511065;BRDN0003511488;BRDN0003511151;BRDN0003510900;BRDN0003511295;BRDN0003511580;BRDN0003511317;BRDN0003511290;BRDN0003511556;BRDN0003511351;BRDN0003511702;BRDN0003511086;BRDN0003511349;BRDN0003510982;BRDN0003511369;BRDN0003511665;BRDN0003511518;BRDN0003511659;BRDN0003511639;BRDN0003511806;BRDN0003511140;BRDN0003511467;BRDN0003511225;BRDN0003511694;BRDN0003511176;BRDN0003511002;BRDN0003511655;BRDN0003511820;BRDN0003511789;BRDN0003511237;BRDN0003511587;BRDN0003511220;BRDN0003511154;BRDN0003511762;BRDN0003511117;BRDN0003511724;BRDN0003511604;BRDN0003511344;BRDN0003511715;BRDN0003511592;BRDN0003510875;BRDN0003511740;BRDN0003511257;BRDN0003511735;BRDN0003510857;BRDN0003511691;BRDN0003511768;BRDN0003510993;BRDN0003511088;BRDN0003511148;BRDN0003511811;BRDN0003511612;BRDN0003511589;BRDN0003511110;BRDN0003511009;BRDN0003510858;BRDN0003511371;BRDN0003511657;BRDN0003511445;BRDN0003511302;BRDN0003511137;BRDN0003511265;BRDN0003511531;BRDN0003511380;BRDN0003511071;BRDN0003510833;BRDN0003511596;BRDN0003510836;BRDN0003511067;BRDN0003511155;BRDN0003511742;BRDN0003510946;BRDN0003511081;BRDN0003510841;BRDN0003511238;BRDN0003511509;BRDN0003510845;BRDN0003511562;BRDN0003510895;BRDN0003511673;BRDN0003511566;BRDN0003511223;BRDN0003511018;BRDN0003511412;BRDN0003511322;BRDN0003511499;BRDN0003511221;BRDN0003511758;BRDN0003511611;BRDN0003511271;BRDN0003511522;BRDN0003511525;BRDN0003511593;BRDN0003511463;BRDN0003511791;BRDN0003511141;BRDN0003510936;BRDN0003511818;BRDN0003511124;BRDN0003511634;BRDN0003511617;BRDN0003511814;BRDN0003511332;BRDN0003511044;BRDN0003511807;BRDN0003511329;BRDN0003511316;BRDN0003511652;BRDN0003511125;BRDN0003511473;BRDN0003511602;BRDN0003511272;BRDN0003510886;BRDN0003511548;BRDN0003511766;BRDN0003510987;BRDN0003511676;BRDN0003511685;BRDN0003511666;BRDN0003511793;BRDN0003510876;BRDN0003511368;BRDN0003510965;BRDN0003511408;BRDN0003511343;BRDN0003511262;BRDN0003511288;BRDN0003510923;BRDN0003511239;BRDN0003510908;BRDN0003511625;BRDN0003511734;BRDN0003511077;BRDN0003511338;BRDN0003511515;BRDN0003511019;BRDN0003510892;BRDN0003511020;BRDN0003511458;BRDN0003511279;BRDN0003511027;BRDN0003511194;BRDN0003511695;BRDN0003511175;BRDN0003511608;BRDN0003511277;BRDN0003511413;BRDN0003511448;BRDN0003511072;BRDN0003511356;BRDN0003511188;BRDN0003511119;BRDN0003511635;BRDN0003511573;BRDN0003511570;BRDN0003511258;BRDN0003510877;BRDN0003511056;BRDN0003510992;BRDN0003511128;BRDN0003511475;BRDN0003511479;BRDN0003510861;BRDN0003511621;BRDN0003510945;BRDN0003511747;BRDN0003510889;BRDN0003510911;BRDN0003511502;BRDN0003511055;BRDN0003511713;BRDN0003510962;BRDN0003511656;BRDN0003511404;BRDN0003511703;BRDN0003511180;BRDN0003511415;BRDN0003511308;BRDN0003511053;BRDN0003511538;BRDN0003511786;BRDN0003511399;BRDN0003511594;BRDN0003511664;BRDN0003511263;BRDN0003511722;BRDN0003510824;BRDN0003511727;BRDN0003511376;BRDN0003511553;BRDN0003511164;BRDN0003511301;BRDN0003510866;BRDN0003511414;BRDN0003511555;BRDN0003511206;BRDN0003510899;BRDN0003510832;BRDN0003511138;BRDN0003510976;BRDN0003510902;BRDN0003511489;BRDN0003511198;BRDN0003511821;BRDN0003511551;BRDN0003510932;BRDN0003511133;BRDN0003511085;BRDN0003511320;BRDN0003511507;BRDN0003511289;BRDN0003511779;BRDN0003511161;BRDN0003511264;BRDN0003511354;BRDN0003510974;BRDN0003510855;BRDN0003511001;BRDN0003511150;BRDN0003511246;BRDN0003511438;BRDN0003510850;BRDN0003511539;BRDN0003511752;BRDN0003511005;BRDN0003511801;BRDN0003511583;BRDN0003511127;BRDN0003511769;BRDN0003511799;BRDN0003511014;BRDN0003511683;BRDN0003510978;BRDN0003511487;BRDN0003511398;BRDN0003510849;BRDN0003511453;BRDN0003511430;BRDN0003511335;BRDN0003511730;BRDN0003511379;BRDN0003511753;BRDN0003510972;BRDN0003510944;BRDN0003511658;BRDN0003510961;BRDN0003510934;BRDN0003511306;BRDN0003511707;BRDN0003511066;BRDN0003511692;BRDN0003511102;BRDN0003511402;BRDN0003511087;BRDN0003511714;BRDN0003511710;BRDN0003511716;BRDN0003511647;BRDN0003511461;BRDN0003511282;BRDN0003511397;BRDN0003511729;BRDN0003510952;BRDN0003511178;BRDN0003511051;BRDN0003511017;BRDN0003511324;BRDN0003511794;BRDN0003511534;BRDN0003511390;BRDN0003510851;BRDN0003510904;BRDN0003510917;BRDN0003510873;BRDN0003510967;BRDN0003511361;BRDN0003511609;BRDN0003511143;BRDN0003511784;BRDN0003511800;BRDN0003511099;BRDN0003511771;BRDN0003511568;BRDN0003511712;BRDN0003511092;BRDN0003511200;BRDN0003510919;BRDN0003511514;BRDN0003511034;BRDN0003511185;BRDN0003510980;BRDN0003510834;BRDN0003511708;BRDN0003511558;BRDN0003511358;BRDN0003511144;BRDN0003511000;BRDN0003510888;BRDN0003511326;BRDN0003511483;BRDN0003511360;BRDN0003511333;BRDN0003511325;BRDN0003510913;BRDN0003511629;BRDN0003511321;BRDN0003511661;BRDN0003511640;BRDN0003510999;BRDN0003511645;BRDN0003511484;BRDN0003510989;BRDN0003511385;BRDN0003511544;BRDN0003511616;BRDN0003511292;BRDN0003511062;BRDN0003511504;BRDN0003511061;BRDN0003511569;BRDN0003511073;BRDN0003510991;BRDN0003511726;BRDN0003511446;BRDN0003511023;BRDN0003511006;BRDN0003511201;BRDN0003510860;BRDN0003511554;BRDN0003511191;BRDN0003510847;BRDN0003511419;BRDN0003511340;BRDN0003511190;BRDN0003511613;BRDN0003511179;BRDN0003511091;BRDN0003511704;BRDN0003511266;BRDN0003510973;BRDN0003511790;BRDN0003511595;BRDN0003511433;BRDN0003511705;BRDN0003510942;BRDN0003511536;BRDN0003511690;BRDN0003511331;BRDN0003511126;BRDN0003511427;BRDN0003511459;BRDN0003511162;BRDN0003511577;BRDN0003511024;BRDN0003511166;BRDN0003511217;BRDN0003511549;BRDN0003511746;BRDN0003511437;BRDN0003511113;BRDN0003511304;BRDN0003511649;BRDN0003511429;BRDN0003511696;BRDN0003511574;BRDN0003510874;BRDN0003511203;BRDN0003511010;BRDN0003511474;BRDN0003510827;BRDN0003511038;BRDN0003510868;BRDN0003511543;BRDN0003511567;BRDN0003511342;BRDN0003511526;BRDN0003511460;BRDN0003511420;BRDN0003511581;BRDN0003511510;BRDN0003511083;BRDN0003510907;BRDN0003511075;BRDN0003510854;BRDN0003510983;BRDN0003510914;BRDN0003511601;BRDN0003511043;BRDN0003511552;BRDN0003511598;BRDN0003511671;BRDN0003510930;BRDN0003510929;BRDN0003511571;BRDN0003511350;BRDN0003511121;BRDN0003511283;BRDN0003511451;BRDN0003511506;BRDN0003511285;BRDN0003511003;BRDN0003511761;BRDN0003511299;BRDN0003511210;BRDN0003511136;BRDN0003511764;BRDN0003510926;BRDN0003511723;BRDN0003511662;BRDN0003511193;BRDN0003511267;BRDN0003511254;BRDN0003511517;BRDN0003511732;BRDN0003511147;BRDN0003511401;BRDN0003511416;BRDN0003511736;BRDN0003510864;BRDN0003511627;BRDN0003511207;BRDN0003511575;BRDN0003510891;BRDN0003511491;BRDN0003511269;BRDN0003511688;BRDN0003511653;BRDN0003510957;BRDN0003511450;BRDN0003511196;BRDN0003511492;BRDN0003511007;BRDN0003511078;BRDN0003511011;BRDN0003511638;BRDN0003511045;BRDN0003511294;BRDN0003511678;BRDN0003511400;BRDN0003511394;BRDN0003510846;BRDN0003511241;BRDN0003510959;BRDN0003511819;BRDN0003511352;BRDN0003511079;BRDN0003511431;BRDN0003510947;BRDN0003510949;BRDN0003511383;BRDN0003511063;BRDN0003511605;BRDN0003510840;BRDN0003510822;BRDN0003511817;BRDN0003511167;BRDN0003511367;BRDN0003511813;BRDN0003511523;BRDN0003511029;BRDN0003510897;BRDN0003510896;BRDN0003511291;BRDN0003511160;BRDN0003511744;BRDN0003510881;BRDN0003510928;BRDN0003511050;BRDN0003511334;BRDN0003510872;BRDN0003510915;BRDN0003511195;BRDN0003511105;BRDN0003511798;BRDN0003511772;BRDN0003510941;BRDN0003511381;BRDN0003511297;BRDN0003511068;BRDN0003511214;BRDN0003511699;BRDN0003511481;BRDN0003511546;BRDN0003511738;BRDN0003511330;BRDN0003510870;BRDN0003511047;BRDN0003511686;BRDN0003511273;BRDN0003511410;BRDN0003511423;BRDN0003511183;BRDN0003510994;BRDN0003510883;BRDN0003511115;BRDN0003511114;BRDN0003511205;BRDN0003510871;BRDN0003510951;BRDN0003510986;BRDN0003511456;BRDN0003511211;BRDN0003510825;BRDN0003511008;BRDN0003511485;BRDN0003511405;BRDN0003511222;BRDN0003511012;BRDN0003511096;BRDN0003511041;BRDN0003510916;BRDN0003511171;BRDN0003511314;BRDN0003511145;BRDN0003510927;BRDN0003510931;BRDN0003510975;BRDN0003511440;BRDN0003511104;BRDN0003511298;BRDN0003511600;BRDN0003510839;BRDN0003511042;BRDN0003511090;BRDN0003511411;BRDN0003511642;BRDN0003511339;BRDN0003511215;BRDN0003511643;BRDN0003510884;BRDN0003511409;BRDN0003511812;BRDN0003511232;BRDN0003511270;BRDN0003510939;BRDN0003510823;BRDN0003510909;BRDN0003511632;BRDN0003510998;BRDN0003511677;BRDN0003510966;BRDN0003511184;BRDN0003511307;BRDN0003511230;BRDN0003511058;BRDN0003511236;BRDN0003511181;BRDN0003511417;BRDN0003511084;BRDN0003511603;BRDN0003511153;BRDN0003510938;BRDN0003511097;BRDN0003511172;BRDN0003511797;BRDN0003511098;BRDN0003511377;BRDN0003511318;BRDN0003511530;BRDN0003510990;BRDN0003510968;BRDN0003510843;BRDN0003511049;BRDN0003511382;BRDN0003511231;BRDN0003510906;BRDN0003511054;BRDN0003511026;BRDN0003510969;BRDN0003511731;BRDN0003511743;BRDN0003511250;BRDN0003510958;BRDN0003510922;BRDN0003511561;BRDN0003511803;BRDN0003511637;BRDN0003511177;BRDN0003510970;BRDN0003511533;BRDN0003510933;BRDN0003511116;BRDN0003511366;BRDN0003511224;BRDN0003511227;BRDN0003511281;BRDN0003511249;BRDN0003511169;BRDN0003511158;BRDN0003511535;BRDN0003511109;BRDN0003510837;BRDN0003511021;BRDN0003511787;BRDN0003511537;BRDN0003511315;BRDN0003511163;BRDN0003511033;BRDN0003511057	453	6.700301151874321	3.7630066510913514	3.586916362818826e-07	0.00032700720841033807	0.00032700720841033807
Hsd17b10	6	270;510;679;966;1525;1748	BRDN0003500981;BRDN0003500982;BRDN0003500984;BRDN0003500980;BRDN0003500983;BRDN0003500985	6	6.12543156486809	3.4807122003481816	1.7934581818535023e-06	0.0012262770318423827	0.0012262770318423827
Cox11	6	275;540;771;780;819;2324	BRDN0003497281;BRDN0003497278;BRDN0003497282;BRDN0003497280;BRDN0003497283;BRDN0003497279	5	5.992500914513303	3.6039360885792036	2.869533091032217e-06	0.0015696346007946635	0.0015696346007946635
Dohh	6	327;533;617;651;1288;2126	BRDN0003498315;BRDN0003498313;BRDN0003498314;BRDN0003498311;BRDN0003498310;BRDN0003498312	6	5.615300573534729	3.5687676794887198	7.5325243640289585e-06	0.0034335756892699214	0.0029430648765170543
Hnf4a	6	90;153;205;372;8623;12690	BRDN0003500837;BRDN0003500836;BRDN0003500840;BRDN0003500838;BRDN0003500841;BRDN0003500839	4	5.613320961857174	3.1712666653622965	7.5325243640289585e-06	0.0029430648765170543	0.0029430648765170543
Nfkbia	6	79;147;248;504;5563;8983	BRDN0003503729;BRDN0003503733;BRDN0003503730;BRDN0003503731;BRDN0003503728;BRDN0003503732	4	5.092174410643449	2.9787818940083777	3.551047200223145e-05	0.012140142615763377	0.012140142615763377
Atp5b	6	559;749;763;950;1589;6473	BRDN0003495591;BRDN0003495586;BRDN0003495587;BRDN0003495588;BRDN0003495590;BRDN0003495589	5	4.5728168097435855	2.7793850488907297	0.00012877029746294344	0.03913186261790687	0.03913186261790687
Mocs3	6	556;750;784;1148;1753;5144	BRDN0003503054;BRDN0003503051;BRDN0003503055;BRDN0003503052;BRDN0003503053;BRDN0003503050	5	4.363799096658538	2.785714317241212	0.00020804114910444316	0.05689925428006668	0.05689925428006668
Slc6a13	6	101;115;271;4423;17768;17948	BRDN0003508301;BRDN0003508303;BRDN0003508300;BRDN0003508304;BRDN0003508302;BRDN0003508305	3	4.2097957086664834	2.619399367867954	0.00030130097456515514	0.0749143786759742	0.0749143786759742
Bcs1l	6	538;1299;1305;1319;1946;4504	BRDN0003496124;BRDN0003496122;BRDN0003496123;BRDN0003496120;BRDN0003496121;BRDN0003496125	5	4.142076794968621	2.595281407579741	0.0003558221032959885	0.08109778770954533	0.08109778770954533
Atp5c1	6	280;564;734;2526;2701;3831	BRDN0003495592;BRDN0003495593;BRDN0003495597;BRDN0003495596;BRDN0003495594;BRDN0003495595	6	4.080807222759929	2.641263907033669	0.00040962584875403607	0.08617897664171555	0.08261603546331939
Cox15	6	582;1039;1133;1385;2114;3854	BRDN0003497289;BRDN0003497287;BRDN0003497285;BRDN0003497284;BRDN0003497286;BRDN0003497288	6	4.06520987274179	2.6718328887018306	0.0004228974393003515	0.08261603546331939	0.08261603546331939
Slc9a1	6	171;333;1193;1848;2087;8734	BRDN0003508502;BRDN0003508498;BRDN0003508500;BRDN0003508499;BRDN0003508503;BRDN0003508501	5	3.9939296651153366	2.464642126178639	0.0004899727753047145	0.08933836936389346	0.08933836936389346
Sdhd	6	713;1366;1715;1901;2148;5559	BRDN0003506384;BRDN0003506382;BRDN0003506383;BRDN0003506380;BRDN0003506385;BRDN0003506381	5	3.9330033641970017	2.2912617426426083	0.000570319701855504	0.09748902403592552	0.09633632362593057
