p-value=0 means <3.586916362818826e-07, FDR=0 means <0.00032509418635016
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Kctd10	6	29;35;52;61;62;7629	BRDN0003501977;BRDN0003501976;BRDN0003501979;BRDN0003501981;BRDN0003501980;BRDN0003501978	5	11.578594245385668	5.873509131780278	0.0	0.0	0.0
Cox11	6	261;378;418;439;627;661	BRDN0003497282;BRDN0003497281;BRDN0003497280;BRDN0003497283;BRDN0003497279;BRDN0003497278	6	8.659471377744554	4.590631049468266	0.0	0.0	0.0
Hsd17b10	6	271;335;515;819;827;1192	BRDN0003500981;BRDN0003500984;BRDN0003500985;BRDN0003500980;BRDN0003500982;BRDN0003500983	6	7.123022602233089	4.027871044882234	0.0	0.0	0.0
Nfkbia	6	86;186;233;268;1779;6266	BRDN0003503729;BRDN0003503733;BRDN0003503730;BRDN0003503731;BRDN0003503728;BRDN0003503732	4	6.177941143598241	3.6839287725409866	1.7934581818535023e-06	0.001219103199114939	0.001219103199114939
Hnf4a	6	67;99;127;327;6631;13172	BRDN0003500837;BRDN0003500840;BRDN0003500836;BRDN0003500838;BRDN0003500839;BRDN0003500841	4	5.835129332044394	3.53684423049558	4.304299636603837e-06	0.002340678142385171	0.002340678142385171
Nme6	6	400;693;1003;1543;1709;2137	BRDN0003503796;BRDN0003503795;BRDN0003503799;BRDN0003503798;BRDN0003503797;BRDN0003503794	6	5.6018530016739785	3.0743818535529845	7.5325243640289585e-06	0.0034134889576326005	0.002925847677970758
Dohh	6	407;494;586;1462;1763;2155	BRDN0003498315;BRDN0003498313;BRDN0003498314;BRDN0003498311;BRDN0003498312;BRDN0003498310	6	5.579996487677891	3.2308143633278217	7.5325243640289585e-06	0.002925847677970758	0.002925847677970758
Control-target	1000	1;18;27;45;50;84;97;110;120;173;212;224;255;262;319;323;328;346;356;358;433;488;493;512;523;556;580;591;621;690;711;741;757;780;797;840;843;876;882;886;913;946;960;966;977;986;1002;1010;1037;1047;1100;1108;1121;1139;1151;1233;1267;1270;1325;1326;1368;1391;1394;1398;1403;1426;1466;1505;1508;1542;1544;1573;1631;1639;1643;1644;1645;1714;1768;1776;1798;1810;1857;1868;1906;1936;1945;1984;1991;1999;2008;2032;2080;2093;2098;2138;2153;2197;2219;2244;2280;2336;2337;2358;2363;2377;2381;2402;2406;2413;2417;2454;2467;2524;2525;2546;2578;2590;2592;2613;2637;2641;2646;2652;2657;2688;2697;2812;2815;2860;2887;2911;2950;2973;3012;3025;3026;3072;3078;3111;3139;3142;3158;3159;3161;3165;3175;3186;3191;3208;3241;3280;3314;3339;3345;3349;3396;3421;3425;3440;3444;3463;3468;3540;3594;3601;3604;3630;3652;3692;3697;3704;3747;3776;3836;3842;3919;3939;3981;4041;4045;4080;4086;4150;4157;4159;4196;4200;4229;4234;4240;4258;4308;4319;4347;4383;4439;4450;4458;4496;4498;4526;4531;4537;4583;4611;4615;4630;4641;4649;4663;4701;4744;4768;4775;4778;4783;4794;4802;4809;4811;4820;4822;4832;4845;4861;4870;4873;4875;4906;4911;4933;4941;4965;5001;5009;5031;5040;5079;5134;5162;5163;5166;5167;5200;5214;5233;5307;5328;5331;5334;5336;5352;5380;5382;5426;5442;5455;5457;5465;5500;5514;5526;5549;5554;5640;5649;5650;5727;5772;5802;5847;5853;5874;5939;5964;6062;6071;6083;6096;6120;6140;6157;6158;6164;6181;6185;6195;6203;6229;6240;6243;6245;6294;6298;6327;6355;6360;6402;6408;6420;6423;6427;6431;6463;6477;6505;6536;6566;6573;6582;6585;6611;6647;6648;6654;6689;6727;6748;6768;6826;6840;6849;6884;6885;6910;6914;6934;6935;6950;6998;7048;7051;7076;7113;7143;7162;7170;7209;7236;7242;7289;7297;7317;7345;7359;7406;7417;7423;7429;7430;7446;7469;7486;7491;7512;7573;7594;7613;7619;7632;7667;7673;7682;7708;7723;7752;7760;7766;7828;7831;7834;7882;7909;7955;7969;7974;7990;8006;8007;8077;8135;8168;8177;8204;8210;8236;8264;8265;8358;8365;8368;8388;8390;8406;8409;8428;8445;8542;8544;8558;8569;8585;8597;8604;8610;8617;8638;8648;8652;8675;8732;8742;8770;8776;8785;8786;8803;8811;8833;8839;8854;8855;8952;9024;9030;9031;9072;9094;9098;9108;9116;9134;9150;9152;9179;9212;9224;9236;9239;9240;9247;9248;9257;9268;9282;9284;9293;9294;9308;9345;9348;9354;9403;9448;9508;9509;9512;9515;9529;9569;9581;9611;9620;9625;9679;9733;9741;9767;9801;9807;9813;9832;9858;9863;9878;9941;9965;9985;9987;9998;10032;10048;10058;10086;10093;10130;10158;10178;10189;10201;10221;10227;10239;10241;10249;10252;10265;10270;10283;10296;10317;10321;10335;10337;10381;10386;10390;10397;10402;10430;10465;10470;10485;10524;10532;10536;10576;10589;10591;10613;10622;10627;10649;10663;10668;10712;10719;10743;10768;10780;10784;10802;10865;10887;10908;10985;11012;11063;11115;11116;11122;11123;11138;11149;11151;11170;11172;11218;11252;11267;11289;11306;11326;11372;11388;11405;11445;11460;11482;11486;11520;11537;11541;11551;11561;11598;11622;11642;11653;11698;11723;11740;11763;11788;11825;11831;11857;11875;11894;11901;11927;11954;11963;11970;11973;11981;12011;12015;12036;12046;12083;12093;12100;12101;12120;12139;12170;12184;12187;12203;12209;12216;12250;12265;12292;12307;12315;12318;12324;12358;12360;12370;12387;12419;12427;12432;12456;12473;12478;12481;12482;12563;12589;12637;12649;12671;12677;12681;12695;12704;12724;12767;12773;12791;12802;12817;12846;12872;12940;12943;12954;12967;12972;12995;13004;13028;13032;13048;13052;13067;13088;13117;13167;13180;13194;13204;13219;13224;13225;13232;13246;13288;13297;13303;13315;13329;13335;13349;13355;13368;13372;13403;13429;13441;13491;13498;13502;13504;13514;13530;13534;13554;13562;13563;13567;13579;13582;13587;13603;13678;13682;13683;13692;13697;13698;13704;13718;13733;13738;13753;13766;13807;13817;13818;13829;13845;13846;13847;13887;13905;13930;13937;13939;13947;13961;13970;14002;14004;14016;14029;14051;14059;14067;14074;14078;14084;14112;14153;14159;14171;14218;14231;14237;14255;14261;14302;14303;14305;14312;14317;14325;14361;14368;14389;14412;14413;14415;14438;14518;14524;14534;14553;14561;14662;14669;14686;14691;14714;14722;14765;14771;14777;14800;14822;14827;14861;14926;14933;14954;14955;14988;14992;15018;15034;15043;15061;15063;15079;15089;15093;15138;15142;15144;15165;15171;15175;15248;15252;15253;15260;15294;15295;15301;15307;15310;15311;15324;15345;15346;15359;15384;15468;15505;15528;15534;15535;15558;15561;15568;15626;15633;15691;15700;15721;15750;15780;15781;15800;15802;15804;15806;15809;15815;15817;15836;15839;15863;15879;15881;15888;15924;15933;15943;15966;15970;15972;15990;15995;16020;16023;16025;16029;16040;16066;16080;16082;16099;16114;16132;16143;16146;16148;16156;16174;16178;16183;16191;16269;16283;16304;16308;16310;16312;16336;16373;16391;16412;16414;16421;16422;16445;16489;16504;16541;16556;16563;16567;16572;16600;16607;16642;16655;16677;16687;16691;16722;16745;16770;16779;16782;16788;16793;16815;16834;16836;16855;16914;16922;16956;16975;17001;17049;17051;17095;17122;17129;17132;17138;17151;17152;17157;17158;17160;17187;17223;17228;17231;17251;17253;17261;17271;17312;17358;17372;17378;17381;17391;17393;17408;17411;17413;17422;17435;17443;17455;17459;17479;17489;17496;17529;17530;17546;17551;17560;17569;17592;17663;17671;17674;17688;17693;17713;17715;17716;17722;17752;17765;17772;17774;17784;17786;17812;17815;17825;17829;17850;17855;17867;17883;17922;17924;17928;17931;17958;17972;17977;17982;18024;18027;18037;18045;18054;18069;18089;18115;18142;18144;18164;18175;18176;18192;18195;18218;18232;18246;18249;18269;18273;18287	BRDN0003511240;BRDN0003511497;BRDN0003511767;BRDN0003511672;BRDN0003511663;BRDN0003511597;BRDN0003511468;BRDN0003510890;BRDN0003510948;BRDN0003511132;BRDN0003511757;BRDN0003511100;BRDN0003511309;BRDN0003511477;BRDN0003511669;BRDN0003510925;BRDN0003511108;BRDN0003511123;BRDN0003511156;BRDN0003511455;BRDN0003511783;BRDN0003510935;BRDN0003511654;BRDN0003511375;BRDN0003511532;BRDN0003510963;BRDN0003511520;BRDN0003511080;BRDN0003511229;BRDN0003511478;BRDN0003510863;BRDN0003511660;BRDN0003510887;BRDN0003510894;BRDN0003511785;BRDN0003511511;BRDN0003511618;BRDN0003511046;BRDN0003511674;BRDN0003511565;BRDN0003511016;BRDN0003511346;BRDN0003511681;BRDN0003511590;BRDN0003511763;BRDN0003511471;BRDN0003511519;BRDN0003511197;BRDN0003511436;BRDN0003511792;BRDN0003511795;BRDN0003511578;BRDN0003511323;BRDN0003511059;BRDN0003511192;BRDN0003510848;BRDN0003511064;BRDN0003511168;BRDN0003510950;BRDN0003511228;BRDN0003511774;BRDN0003511303;BRDN0003510878;BRDN0003511353;BRDN0003511424;BRDN0003511434;BRDN0003511082;BRDN0003511252;BRDN0003511633;BRDN0003511470;BRDN0003511588;BRDN0003511482;BRDN0003511718;BRDN0003511039;BRDN0003511069;BRDN0003511528;BRDN0003511650;BRDN0003511809;BRDN0003510920;BRDN0003511512;BRDN0003511777;BRDN0003511388;BRDN0003511529;BRDN0003511773;BRDN0003511559;BRDN0003510921;BRDN0003511036;BRDN0003511426;BRDN0003510885;BRDN0003511174;BRDN0003510981;BRDN0003511737;BRDN0003511557;BRDN0003511274;BRDN0003511524;BRDN0003511623;BRDN0003511508;BRDN0003510953;BRDN0003510995;BRDN0003511586;BRDN0003511447;BRDN0003511696;BRDN0003511759;BRDN0003511651;BRDN0003511606;BRDN0003511040;BRDN0003511805;BRDN0003511118;BRDN0003511469;BRDN0003511362;BRDN0003510955;BRDN0003511607;BRDN0003511386;BRDN0003511103;BRDN0003511644;BRDN0003511576;BRDN0003511028;BRDN0003511788;BRDN0003511392;BRDN0003510895;BRDN0003511112;BRDN0003511101;BRDN0003511025;BRDN0003510924;BRDN0003510903;BRDN0003511439;BRDN0003511527;BRDN0003511765;BRDN0003511707;BRDN0003511714;BRDN0003511396;BRDN0003511425;BRDN0003511412;BRDN0003511472;BRDN0003511560;BRDN0003510974;BRDN0003510876;BRDN0003511225;BRDN0003510988;BRDN0003511780;BRDN0003510882;BRDN0003511513;BRDN0003510835;BRDN0003511248;BRDN0003511374;BRDN0003511498;BRDN0003511384;BRDN0003511435;BRDN0003511170;BRDN0003511106;BRDN0003511134;BRDN0003511135;BRDN0003511148;BRDN0003511719;BRDN0003511213;BRDN0003511226;BRDN0003511815;BRDN0003511735;BRDN0003511165;BRDN0003511625;BRDN0003511319;BRDN0003511130;BRDN0003510940;BRDN0003511244;BRDN0003511107;BRDN0003511310;BRDN0003511389;BRDN0003510943;BRDN0003511754;BRDN0003511189;BRDN0003511293;BRDN0003511251;BRDN0003511013;BRDN0003511037;BRDN0003511372;BRDN0003511611;BRDN0003511749;BRDN0003510879;BRDN0003511615;BRDN0003511364;BRDN0003511173;BRDN0003510946;BRDN0003511747;BRDN0003511072;BRDN0003511457;BRDN0003511724;BRDN0003511758;BRDN0003511620;BRDN0003511627;BRDN0003510905;BRDN0003511359;BRDN0003511345;BRDN0003511117;BRDN0003511238;BRDN0003510865;BRDN0003511355;BRDN0003511070;BRDN0003510910;BRDN0003511308;BRDN0003511048;BRDN0003511679;BRDN0003511646;BRDN0003511756;BRDN0003510844;BRDN0003511626;BRDN0003511279;BRDN0003510856;BRDN0003511276;BRDN0003511733;BRDN0003511139;BRDN0003510912;BRDN0003510901;BRDN0003511357;BRDN0003511500;BRDN0003511697;BRDN0003511466;BRDN0003511002;BRDN0003511802;BRDN0003511585;BRDN0003511563;BRDN0003511491;BRDN0003511271;BRDN0003510838;BRDN0003510979;BRDN0003511312;BRDN0003511256;BRDN0003510830;BRDN0003510984;BRDN0003511076;BRDN0003511631;BRDN0003511278;BRDN0003510859;BRDN0003511728;BRDN0003511666;BRDN0003511261;BRDN0003510977;BRDN0003511628;BRDN0003511380;BRDN0003511505;BRDN0003511760;BRDN0003511208;BRDN0003511284;BRDN0003511486;BRDN0003511378;BRDN0003511547;BRDN0003511363;BRDN0003511313;BRDN0003511234;BRDN0003510900;BRDN0003511521;BRDN0003511074;BRDN0003511035;BRDN0003510996;BRDN0003510867;BRDN0003511670;BRDN0003511137;BRDN0003510993;BRDN0003511060;BRDN0003511403;BRDN0003511657;BRDN0003511322;BRDN0003511689;BRDN0003511516;BRDN0003510893;BRDN0003511239;BRDN0003511794;BRDN0003511591;BRDN0003511778;BRDN0003511406;BRDN0003511739;BRDN0003510886;BRDN0003510964;BRDN0003511204;BRDN0003511781;BRDN0003511275;BRDN0003511647;BRDN0003510902;BRDN0003511630;BRDN0003511015;BRDN0003510831;BRDN0003511693;BRDN0003511260;BRDN0003511328;BRDN0003511255;BRDN0003511782;BRDN0003511253;BRDN0003511245;BRDN0003511265;BRDN0003511655;BRDN0003510960;BRDN0003510944;BRDN0003511515;BRDN0003511301;BRDN0003511800;BRDN0003511044;BRDN0003510997;BRDN0003511243;BRDN0003511799;BRDN0003511793;BRDN0003511495;BRDN0003510971;BRDN0003511490;BRDN0003510858;BRDN0003511454;BRDN0003511554;BRDN0003511717;BRDN0003511700;BRDN0003511720;BRDN0003511596;BRDN0003511125;BRDN0003511622;BRDN0003511095;BRDN0003511723;BRDN0003511407;BRDN0003511159;BRDN0003510956;BRDN0003511020;BRDN0003510842;BRDN0003511462;BRDN0003511741;BRDN0003511031;BRDN0003511621;BRDN0003511219;BRDN0003511373;BRDN0003510918;BRDN0003511347;BRDN0003511499;BRDN0003510987;BRDN0003511056;BRDN0003511444;BRDN0003510911;BRDN0003511572;BRDN0003511032;BRDN0003511336;BRDN0003511608;BRDN0003511709;BRDN0003511573;BRDN0003511648;BRDN0003511280;BRDN0003511721;BRDN0003511223;BRDN0003511216;BRDN0003511636;BRDN0003511701;BRDN0003511734;BRDN0003511550;BRDN0003511685;BRDN0003511745;BRDN0003511564;BRDN0003511807;BRDN0003511538;BRDN0003511358;BRDN0003511337;BRDN0003511122;BRDN0003511124;BRDN0003511449;BRDN0003511290;BRDN0003510853;BRDN0003511568;BRDN0003511287;BRDN0003511811;BRDN0003511691;BRDN0003511816;BRDN0003511716;BRDN0003511804;BRDN0003511730;BRDN0003511202;BRDN0003511371;BRDN0003511428;BRDN0003511786;BRDN0003511053;BRDN0003510942;BRDN0003511175;BRDN0003511351;BRDN0003510855;BRDN0003510978;BRDN0003511750;BRDN0003511421;BRDN0003511093;BRDN0003511418;BRDN0003511393;BRDN0003511725;BRDN0003511452;BRDN0003511088;BRDN0003511218;BRDN0003511617;BRDN0003511268;BRDN0003511755;BRDN0003511295;BRDN0003511257;BRDN0003510849;BRDN0003511479;BRDN0003511030;BRDN0003511687;BRDN0003511641;BRDN0003511683;BRDN0003511387;BRDN0003511748;BRDN0003511579;BRDN0003511540;BRDN0003511408;BRDN0003511348;BRDN0003511376;BRDN0003511604;BRDN0003511052;BRDN0003511612;BRDN0003511154;BRDN0003511157;BRDN0003511399;BRDN0003511086;BRDN0003511818;BRDN0003510952;BRDN0003510954;BRDN0003511432;BRDN0003511259;BRDN0003511488;BRDN0003511187;BRDN0003511634;BRDN0003510841;BRDN0003511071;BRDN0003511121;BRDN0003511518;BRDN0003511752;BRDN0003511789;BRDN0003511727;BRDN0003511496;BRDN0003511770;BRDN0003511464;BRDN0003511475;BRDN0003511544;BRDN0003511668;BRDN0003511443;BRDN0003511209;BRDN0003511151;BRDN0003511233;BRDN0003510913;BRDN0003511296;BRDN0003511698;BRDN0003511430;BRDN0003511451;BRDN0003511081;BRDN0003511556;BRDN0003511176;BRDN0003511582;BRDN0003511525;BRDN0003511619;BRDN0003510982;BRDN0003511821;BRDN0003510898;BRDN0003511413;BRDN0003511065;BRDN0003511710;BRDN0003511575;BRDN0003511566;BRDN0003511506;BRDN0003510932;BRDN0003511526;BRDN0003511207;BRDN0003510945;BRDN0003511441;BRDN0003510999;BRDN0003510864;BRDN0003511344;BRDN0003511055;BRDN0003510826;BRDN0003510888;BRDN0003511395;BRDN0003511365;BRDN0003511517;BRDN0003511810;BRDN0003511682;BRDN0003511542;BRDN0003510866;BRDN0003511465;BRDN0003511684;BRDN0003511220;BRDN0003511656;BRDN0003511144;BRDN0003511027;BRDN0003511493;BRDN0003510892;BRDN0003511567;BRDN0003511289;BRDN0003511212;BRDN0003511369;BRDN0003511019;BRDN0003511458;BRDN0003511017;BRDN0003510845;BRDN0003511111;BRDN0003511264;BRDN0003511182;BRDN0003511494;BRDN0003511658;BRDN0003511198;BRDN0003511613;BRDN0003511442;BRDN0003511675;BRDN0003510985;BRDN0003510875;BRDN0003511263;BRDN0003511593;BRDN0003511022;BRDN0003510873;BRDN0003511333;BRDN0003511149;BRDN0003511695;BRDN0003511242;BRDN0003511791;BRDN0003510869;BRDN0003511402;BRDN0003511340;BRDN0003510899;BRDN0003511790;BRDN0003511476;BRDN0003511164;BRDN0003511541;BRDN0003511703;BRDN0003511416;BRDN0003511446;BRDN0003511094;BRDN0003511320;BRDN0003510926;BRDN0003511004;BRDN0003511286;BRDN0003511445;BRDN0003511570;BRDN0003510880;BRDN0003511190;BRDN0003511503;BRDN0003511400;BRDN0003511009;BRDN0003511110;BRDN0003511338;BRDN0003511138;BRDN0003511501;BRDN0003510973;BRDN0003511552;BRDN0003510832;BRDN0003511005;BRDN0003511089;BRDN0003511341;BRDN0003511766;BRDN0003510862;BRDN0003511438;BRDN0003511186;BRDN0003511119;BRDN0003511796;BRDN0003511127;BRDN0003511201;BRDN0003511820;BRDN0003511589;BRDN0003511050;BRDN0003511321;BRDN0003511356;BRDN0003511571;BRDN0003511247;BRDN0003511006;BRDN0003511077;BRDN0003511548;BRDN0003511246;BRDN0003510923;BRDN0003511649;BRDN0003511214;BRDN0003511155;BRDN0003511653;BRDN0003510904;BRDN0003511652;BRDN0003511713;BRDN0003510861;BRDN0003511128;BRDN0003511775;BRDN0003511405;BRDN0003511147;BRDN0003511292;BRDN0003511269;BRDN0003510828;BRDN0003511311;BRDN0003511370;BRDN0003511129;BRDN0003511502;BRDN0003510917;BRDN0003511740;BRDN0003511539;BRDN0003511806;BRDN0003511762;BRDN0003511463;BRDN0003511667;BRDN0003510829;BRDN0003511349;BRDN0003511602;BRDN0003511324;BRDN0003510852;BRDN0003511024;BRDN0003511601;BRDN0003511522;BRDN0003511784;BRDN0003511702;BRDN0003511536;BRDN0003511277;BRDN0003511545;BRDN0003511487;BRDN0003511609;BRDN0003511769;BRDN0003511404;BRDN0003511184;BRDN0003511099;BRDN0003511448;BRDN0003511305;BRDN0003511368;BRDN0003511614;BRDN0003511768;BRDN0003511367;BRDN0003511001;BRDN0003511764;BRDN0003511639;BRDN0003511643;BRDN0003511332;BRDN0003510919;BRDN0003511665;BRDN0003511152;BRDN0003511126;BRDN0003510967;BRDN0003510957;BRDN0003511146;BRDN0003511610;BRDN0003510992;BRDN0003511587;BRDN0003511712;BRDN0003511199;BRDN0003511302;BRDN0003511331;BRDN0003511553;BRDN0003511694;BRDN0003511801;BRDN0003510930;BRDN0003511043;BRDN0003511460;BRDN0003510961;BRDN0003510891;BRDN0003511335;BRDN0003511722;BRDN0003511188;BRDN0003511422;BRDN0003510833;BRDN0003511221;BRDN0003511178;BRDN0003511288;BRDN0003510934;BRDN0003511258;BRDN0003511715;BRDN0003511235;BRDN0003511085;BRDN0003511215;BRDN0003511350;BRDN0003511141;BRDN0003511087;BRDN0003511420;BRDN0003510976;BRDN0003511473;BRDN0003511391;BRDN0003511751;BRDN0003511136;BRDN0003511051;BRDN0003511595;BRDN0003511133;BRDN0003511326;BRDN0003510877;BRDN0003510860;BRDN0003511143;BRDN0003510836;BRDN0003511726;BRDN0003511360;BRDN0003511091;BRDN0003511166;BRDN0003510827;BRDN0003511140;BRDN0003510937;BRDN0003511509;BRDN0003511385;BRDN0003511194;BRDN0003511776;BRDN0003511398;BRDN0003511772;BRDN0003511018;BRDN0003511394;BRDN0003511819;BRDN0003511150;BRDN0003510936;BRDN0003511594;BRDN0003511185;BRDN0003511282;BRDN0003511014;BRDN0003511327;BRDN0003510824;BRDN0003511507;BRDN0003510857;BRDN0003510871;BRDN0003511061;BRDN0003511474;BRDN0003511179;BRDN0003511262;BRDN0003511577;BRDN0003511562;BRDN0003511510;BRDN0003511569;BRDN0003511645;BRDN0003511191;BRDN0003511316;BRDN0003511266;BRDN0003511237;BRDN0003511078;BRDN0003510851;BRDN0003511272;BRDN0003511206;BRDN0003511131;BRDN0003511671;BRDN0003511690;BRDN0003511079;BRDN0003510929;BRDN0003511661;BRDN0003511467;BRDN0003511761;BRDN0003510884;BRDN0003511450;BRDN0003511453;BRDN0003511580;BRDN0003510874;BRDN0003510850;BRDN0003511419;BRDN0003511599;BRDN0003511045;BRDN0003511514;BRDN0003511583;BRDN0003511692;BRDN0003511742;BRDN0003511180;BRDN0003511142;BRDN0003511504;BRDN0003511680;BRDN0003511196;BRDN0003511704;BRDN0003511329;BRDN0003511673;BRDN0003511415;BRDN0003510847;BRDN0003511361;BRDN0003511092;BRDN0003510854;BRDN0003511285;BRDN0003510868;BRDN0003511616;BRDN0003511334;BRDN0003511317;BRDN0003510908;BRDN0003511711;BRDN0003511584;BRDN0003511330;BRDN0003511410;BRDN0003511705;BRDN0003510965;BRDN0003511354;BRDN0003511433;BRDN0003511023;BRDN0003511440;BRDN0003511531;BRDN0003511066;BRDN0003511172;BRDN0003511343;BRDN0003511771;BRDN0003511195;BRDN0003511659;BRDN0003511167;BRDN0003511677;BRDN0003510962;BRDN0003510991;BRDN0003511034;BRDN0003511798;BRDN0003511797;BRDN0003510889;BRDN0003510883;BRDN0003511688;BRDN0003511581;BRDN0003511456;BRDN0003511297;BRDN0003511104;BRDN0003511461;BRDN0003511635;BRDN0003511431;BRDN0003511746;BRDN0003510989;BRDN0003511624;BRDN0003511480;BRDN0003511732;BRDN0003511379;BRDN0003510870;BRDN0003510980;BRDN0003511676;BRDN0003510972;BRDN0003511549;BRDN0003511401;BRDN0003510986;BRDN0003511592;BRDN0003511003;BRDN0003511483;BRDN0003511193;BRDN0003511414;BRDN0003511161;BRDN0003511551;BRDN0003511230;BRDN0003511397;BRDN0003511729;BRDN0003511203;BRDN0003510928;BRDN0003511083;BRDN0003511200;BRDN0003511075;BRDN0003511492;BRDN0003511489;BRDN0003511530;BRDN0003511427;BRDN0003511736;BRDN0003511558;BRDN0003511042;BRDN0003511543;BRDN0003511342;BRDN0003511304;BRDN0003511390;BRDN0003510975;BRDN0003510843;BRDN0003511708;BRDN0003511699;BRDN0003511574;BRDN0003510994;BRDN0003511808;BRDN0003511115;BRDN0003511523;BRDN0003510931;BRDN0003511555;BRDN0003510896;BRDN0003511437;BRDN0003511706;BRDN0003511236;BRDN0003511299;BRDN0003511217;BRDN0003510927;BRDN0003511664;BRDN0003511306;BRDN0003511062;BRDN0003511377;BRDN0003511000;BRDN0003511678;BRDN0003511010;BRDN0003511183;BRDN0003511546;BRDN0003510907;BRDN0003511779;BRDN0003511294;BRDN0003511162;BRDN0003510846;BRDN0003511029;BRDN0003511325;BRDN0003511629;BRDN0003511459;BRDN0003511210;BRDN0003511181;BRDN0003510825;BRDN0003511300;BRDN0003511058;BRDN0003511753;BRDN0003510916;BRDN0003511744;BRDN0003511026;BRDN0003510823;BRDN0003511814;BRDN0003511254;BRDN0003511012;BRDN0003511598;BRDN0003511008;BRDN0003511812;BRDN0003510834;BRDN0003511813;BRDN0003511534;BRDN0003511307;BRDN0003511232;BRDN0003511113;BRDN0003511291;BRDN0003511105;BRDN0003510906;BRDN0003511102;BRDN0003510840;BRDN0003511298;BRDN0003511423;BRDN0003511096;BRDN0003511481;BRDN0003511073;BRDN0003511484;BRDN0003510872;BRDN0003510915;BRDN0003511267;BRDN0003511381;BRDN0003511145;BRDN0003510990;BRDN0003511662;BRDN0003511054;BRDN0003511068;BRDN0003511429;BRDN0003511120;BRDN0003510951;BRDN0003511241;BRDN0003511090;BRDN0003510998;BRDN0003511339;BRDN0003511033;BRDN0003511537;BRDN0003510949;BRDN0003511817;BRDN0003511205;BRDN0003510941;BRDN0003511114;BRDN0003511067;BRDN0003511038;BRDN0003511686;BRDN0003511109;BRDN0003511047;BRDN0003511318;BRDN0003511738;BRDN0003510939;BRDN0003511011;BRDN0003511638;BRDN0003510958;BRDN0003510947;BRDN0003511533;BRDN0003511007;BRDN0003510839;BRDN0003510822;BRDN0003510968;BRDN0003511411;BRDN0003511160;BRDN0003511231;BRDN0003511041;BRDN0003511283;BRDN0003510897;BRDN0003511153;BRDN0003510938;BRDN0003511632;BRDN0003511352;BRDN0003511049;BRDN0003511171;BRDN0003511270;BRDN0003510837;BRDN0003511600;BRDN0003511535;BRDN0003511731;BRDN0003511605;BRDN0003511561;BRDN0003510959;BRDN0003511603;BRDN0003511640;BRDN0003511227;BRDN0003511250;BRDN0003510922;BRDN0003511097;BRDN0003511084;BRDN0003511382;BRDN0003510983;BRDN0003510914;BRDN0003510970;BRDN0003511637;BRDN0003511383;BRDN0003511177;BRDN0003511743;BRDN0003511063;BRDN0003511314;BRDN0003511224;BRDN0003511158;BRDN0003511098;BRDN0003511273;BRDN0003511417;BRDN0003510966;BRDN0003510909;BRDN0003511222;BRDN0003510969;BRDN0003511021;BRDN0003511366;BRDN0003511315;BRDN0003511249;BRDN0003511169;BRDN0003511485;BRDN0003510933;BRDN0003511409;BRDN0003511281;BRDN0003511057;BRDN0003511787;BRDN0003511642;BRDN0003511116;BRDN0003511211;BRDN0003511163;BRDN0003511803;BRDN0003510881	425	5.509057468778888	3.5647382585869427	1.0043365818779293e-05	0.0034134889576576703	0.0034134889576576703
Cox15	6	495;575;944;1385;1422;2446	BRDN0003497287;BRDN0003497289;BRDN0003497285;BRDN0003497288;BRDN0003497286;BRDN0003497284	6	5.249941418456794	3.1349657040443466	2.403233963788054e-05	0.007260436830599751	0.007260436830599751
Pten	6	17;66;150;650;2058;3226	BRDN0003505887;BRDN0003505884;BRDN0003505883;BRDN0003505882;BRDN0003505885;BRDN0003505886	3	4.971735019796392	4.026031325920593	4.7705987639368175e-05	0.012971258039144232	0.012971258039144232
Kdm1a	6	118;318;538;563;14599;15844	BRDN0003502097;BRDN0003502100;BRDN0003502096;BRDN0003502099;BRDN0003502098;BRDN0003502101	4	4.902740636325492	3.0105623638883836	5.487982036711525e-05	0.013565293779835449	0.013565293779835449
Uqcr10	6	483;708;1169;1232;2218;2867	BRDN0003509830;BRDN0003509835;BRDN0003509834;BRDN0003509833;BRDN0003509831;BRDN0003509832	6	4.836113976979488	2.8711819275372523	6.7075336004363e-05	0.015198153216322174	0.015198153216322174
Mocs3	6	691;743;1049;1414;1458;4025	BRDN0003503051;BRDN0003503054;BRDN0003503052;BRDN0003503053;BRDN0003503055;BRDN0003503050	5	4.7562659208825995	2.8279178132398153	8.034692655067843e-05	0.016804868714715163	0.016804868714715163
Bcs1l	6	337;1242;1480;1568;1720;8342	BRDN0003496124;BRDN0003496122;BRDN0003496121;BRDN0003496120;BRDN0003496123;BRDN0003496125	5	4.404203371762661	2.3336043488902156	0.00018938918401234517	0.03678208509496927	0.03678208509496927
Atp5b	6	351;729;1109;1726;1794;4462	BRDN0003495591;BRDN0003495586;BRDN0003495588;BRDN0003495590;BRDN0003495587;BRDN0003495589	5	4.314671178510911	2.6878442042702653	0.00023566040510625275	0.04271737609892683	0.04271737609892683
Ak2	6	464;471;687;846;2225;3709	BRDN0003494598;BRDN0003494599;BRDN0003494597;BRDN0003494596;BRDN0003494600;BRDN0003494601	4	4.209229883387458	3.0309180438421506	0.00030165966620154805	0.051263289525126446	0.051263289525126446
