p-value=0 means <3.586916362818826e-07, FDR=0 means <6.751089011448224e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Got1l1	6	767;978;1520;2005;3718;3919	BRDN0003500151;BRDN0003500150;BRDN0003500147;BRDN0003500149;BRDN0003500148;BRDN0003500146	6	4.021628553789779	2.298731080108085	0.00046450566912126234	1.0	0.5699879948668362
Hsd17b4	6	105;547;916;1843;2411;13077	BRDN0003501025;BRDN0003501024;BRDN0003501027;BRDN0003501026;BRDN0003501023;BRDN0003501022	5	3.6892997947626776	2.5342475043138637	0.0009781520924275755	1.0	0.5699879948668362
Kctd5	6	1;217;685;1160;2890;8214	BRDN0003502067;BRDN0003502068;BRDN0003502066;BRDN0003502069;BRDN0003502070;BRDN0003502071	4	3.6766094892960264	3.0491358757019267	0.001006488731702171	0.9306665805806791	0.5699879948668362
B3gat3	6	812;1508;2219;3584;3639;4573	BRDN0003495946;BRDN0003495951;BRDN0003495948;BRDN0003495950;BRDN0003495947;BRDN0003495949	6	3.619472926374303	1.9557813801993336	0.0011338242626196537	0.7863071261267904	0.5699879948668362
Kcnmb1	6	373;787;1000;1228;3492;13085	BRDN0003501852;BRDN0003501850;BRDN0003501854;BRDN0003501851;BRDN0003501853;BRDN0003501855	4	3.5810923530755687	2.3304225573156816	0.0012435839033541063	0.6899403495808688	0.5699879948668362
Kcnj14	6	54;964;1058;1243;11072;14371	BRDN0003501704;BRDN0003501701;BRDN0003501705;BRDN0003501702;BRDN0003501703;BRDN0003501700	4	3.5607629364133557	2.322440748709502	0.001300615873539579	0.6013180721998141	0.5699879948668362
B3gnt3	6	13;244;476;4751;8895;17198	BRDN0003495963;BRDN0003495959;BRDN0003495962;BRDN0003495960;BRDN0003495958;BRDN0003495961	3	3.4907472918745754	2.1950753981936955	0.0015287437542818028	0.6058193106254087	0.5699879948668362
Cyp26b1	6	3;2421;2432;2630;4417;4984	BRDN0003497715;BRDN0003497710;BRDN0003497712;BRDN0003497713;BRDN0003497714;BRDN0003497711	6	3.3952119327517147	2.252434625038364	0.0018788267913956158	0.6514831899164549	0.5699879948668362
Control-target	1000	12;31;40;81;83;84;130;147;155;182;187;199;238;259;318;332;346;355;420;433;434;494;538;558;564;565;571;574;584;585;618;632;637;656;664;672;682;702;735;742;748;773;792;794;801;809;836;841;877;894;908;909;914;931;934;954;958;959;988;1042;1050;1060;1095;1106;1137;1180;1200;1220;1232;1245;1280;1287;1325;1356;1377;1385;1433;1435;1437;1463;1466;1496;1503;1513;1515;1534;1559;1578;1581;1605;1621;1628;1630;1700;1742;1792;1798;1860;1895;1905;1921;1943;1954;1960;1977;1982;1998;2091;2100;2103;2142;2152;2154;2156;2164;2174;2231;2235;2278;2289;2416;2418;2437;2451;2469;2490;2509;2520;2538;2541;2547;2577;2603;2615;2631;2659;2684;2704;2705;2720;2747;2801;2815;2817;2824;2844;2849;2853;2855;2880;2891;2897;2903;2915;2941;2975;2998;3043;3047;3048;3061;3085;3125;3143;3184;3205;3229;3244;3272;3274;3283;3293;3297;3299;3304;3306;3324;3355;3365;3424;3461;3512;3531;3535;3555;3560;3562;3598;3607;3622;3630;3650;3679;3722;3723;3731;3746;3751;3753;3754;3757;3776;3788;3801;3822;3851;3876;3886;3891;3903;3950;3987;4053;4060;4083;4097;4116;4154;4177;4206;4254;4288;4300;4301;4321;4347;4371;4391;4404;4412;4415;4431;4435;4446;4480;4492;4511;4566;4568;4626;4660;4712;4717;4734;4749;4761;4784;4789;4819;4829;4874;4906;4988;5031;5062;5081;5083;5127;5144;5154;5156;5170;5203;5220;5221;5235;5276;5305;5349;5379;5403;5409;5414;5419;5446;5471;5475;5488;5505;5514;5549;5575;5578;5608;5645;5687;5690;5735;5799;5812;5818;5840;5869;5885;5895;5979;6012;6026;6028;6037;6046;6089;6118;6157;6180;6249;6284;6290;6335;6373;6393;6416;6467;6482;6498;6506;6537;6542;6595;6610;6626;6635;6653;6737;6740;6752;6758;6768;6770;6775;6779;6803;6826;6845;6850;6861;6874;6895;6912;6932;6941;6942;6968;6996;7034;7042;7047;7055;7063;7071;7082;7107;7185;7193;7204;7208;7210;7224;7238;7257;7266;7270;7277;7300;7306;7349;7359;7361;7371;7373;7380;7393;7410;7454;7458;7472;7476;7477;7484;7497;7510;7525;7542;7565;7578;7585;7615;7637;7686;7729;7746;7759;7793;7800;7803;7804;7823;7836;7921;7922;7927;7941;7975;7979;7984;8005;8010;8035;8055;8086;8098;8103;8120;8142;8168;8178;8179;8181;8206;8209;8226;8279;8281;8289;8298;8323;8333;8343;8345;8358;8366;8381;8438;8453;8458;8459;8477;8479;8495;8497;8508;8564;8574;8584;8612;8615;8629;8645;8657;8661;8707;8729;8744;8786;8798;8889;8897;8920;8929;8931;8932;8933;8943;8946;9004;9007;9032;9053;9079;9081;9100;9127;9139;9142;9183;9217;9218;9232;9241;9304;9341;9343;9360;9381;9383;9395;9410;9411;9434;9478;9520;9541;9631;9634;9638;9643;9654;9664;9674;9679;9707;9708;9710;9729;9747;9802;9809;9812;9820;9838;9851;9853;9882;9886;9894;9910;9938;9980;10010;10043;10049;10056;10066;10102;10108;10131;10132;10134;10147;10189;10191;10212;10230;10234;10240;10257;10276;10283;10291;10297;10348;10366;10441;10445;10455;10523;10524;10544;10597;10600;10601;10634;10681;10693;10698;10710;10716;10755;10779;10800;10847;10851;10855;10911;10927;10955;10968;11000;11010;11030;11035;11042;11065;11093;11094;11103;11111;11128;11134;11144;11173;11252;11284;11288;11306;11310;11332;11346;11378;11382;11386;11398;11416;11451;11477;11486;11497;11512;11520;11528;11562;11592;11605;11644;11660;11704;11711;11720;11731;11733;11773;11833;11873;11892;11904;11959;11975;11984;11986;12019;12022;12024;12025;12052;12109;12116;12120;12122;12123;12127;12139;12151;12220;12233;12249;12269;12277;12282;12344;12347;12374;12397;12413;12417;12444;12455;12480;12503;12517;12548;12561;12573;12611;12636;12675;12677;12680;12681;12689;12717;12723;12741;12754;12756;12772;12788;12823;12826;12831;12832;12848;12849;12870;12888;12889;12893;12933;12965;12979;12997;13030;13070;13105;13110;13137;13157;13167;13170;13172;13174;13186;13193;13218;13237;13241;13248;13253;13259;13281;13331;13338;13349;13356;13387;13393;13418;13425;13457;13471;13476;13478;13486;13562;13600;13608;13621;13655;13664;13715;13736;13738;13752;13754;13766;13769;13838;13908;13909;13914;13920;13942;13943;13973;13975;13986;13990;13997;14005;14016;14021;14026;14042;14076;14081;14097;14100;14102;14129;14134;14140;14141;14180;14198;14274;14282;14291;14305;14317;14322;14325;14347;14369;14383;14421;14427;14489;14531;14553;14565;14568;14579;14594;14600;14633;14660;14662;14674;14698;14751;14752;14774;14780;14784;14785;14804;14806;14811;14822;14828;14859;14893;14906;14916;14944;14948;14958;14968;14978;14993;14999;15015;15027;15040;15044;15048;15058;15075;15085;15090;15104;15124;15155;15158;15189;15192;15194;15247;15255;15262;15277;15334;15356;15372;15382;15428;15444;15469;15507;15510;15511;15517;15518;15519;15521;15523;15541;15551;15663;15679;15691;15696;15698;15699;15738;15752;15770;15879;15890;15916;15925;15934;15938;15951;15962;15964;15969;15992;16009;16016;16021;16027;16032;16050;16067;16075;16082;16093;16143;16152;16154;16194;16230;16235;16283;16305;16309;16328;16336;16348;16355;16421;16435;16455;16512;16515;16568;16599;16616;16621;16635;16639;16647;16650;16664;16675;16682;16742;16745;16778;16780;16792;16825;16831;16842;16879;16881;16923;16942;16953;16970;16975;17006;17013;17031;17069;17071;17094;17106;17147;17165;17182;17193;17195;17208;17217;17227;17230;17232;17242;17252;17260;17264;17304;17310;17327;17338;17349;17395;17429;17435;17470;17481;17482;17496;17502;17517;17532;17536;17542;17546;17565;17574;17596;17623;17683;17706;17709;17729;17732;17766;17803;17819;17843;17854;17856;17867;17869;17878;17887;17924;17948;17962;17965;17989;18037;18040;18056;18079;18096;18099;18104;18114;18116;18146;18149;18152;18155;18163;18221;18254;18265;18272;18290;18304;18314;18317;18322;18333;18341;18342	BRDN0003511696;BRDN0003511627;BRDN0003511491;BRDN0003511033;BRDN0003511707;BRDN0003511714;BRDN0003511184;BRDN0003511168;BRDN0003510974;BRDN0003511723;BRDN0003511643;BRDN0003511228;BRDN0003511537;BRDN0003511057;BRDN0003510895;BRDN0003511215;BRDN0003510876;BRDN0003511405;BRDN0003511625;BRDN0003511412;BRDN0003511082;BRDN0003511785;BRDN0003511172;BRDN0003511747;BRDN0003511214;BRDN0003511554;BRDN0003511797;BRDN0003511529;BRDN0003510884;BRDN0003511528;BRDN0003511080;BRDN0003511794;BRDN0003511575;BRDN0003511050;BRDN0003511072;BRDN0003511308;BRDN0003511588;BRDN0003511303;BRDN0003511121;BRDN0003511148;BRDN0003511207;BRDN0003511578;BRDN0003510843;BRDN0003510864;BRDN0003511225;BRDN0003511800;BRDN0003511611;BRDN0003511647;BRDN0003511451;BRDN0003511735;BRDN0003511400;BRDN0003510942;BRDN0003511530;BRDN0003511279;BRDN0003511517;BRDN0003511109;BRDN0003510995;BRDN0003511506;BRDN0003510885;BRDN0003511677;BRDN0003510944;BRDN0003511758;BRDN0003510946;BRDN0003510878;BRDN0003511026;BRDN0003511468;BRDN0003511576;BRDN0003511238;BRDN0003511358;BRDN0003510981;BRDN0003511799;BRDN0003511416;BRDN0003511666;BRDN0003511565;BRDN0003511780;BRDN0003510902;BRDN0003511526;BRDN0003511230;BRDN0003511226;BRDN0003510871;BRDN0003510926;BRDN0003511271;BRDN0003511568;BRDN0003511724;BRDN0003511434;BRDN0003511773;BRDN0003511440;BRDN0003511367;BRDN0003511471;BRDN0003511301;BRDN0003511377;BRDN0003511239;BRDN0003511117;BRDN0003510890;BRDN0003511653;BRDN0003511567;BRDN0003511512;BRDN0003511497;BRDN0003511435;BRDN0003511716;BRDN0003511104;BRDN0003511380;BRDN0003511772;BRDN0003511269;BRDN0003511103;BRDN0003510906;BRDN0003511107;BRDN0003511730;BRDN0003511236;BRDN0003511478;BRDN0003511544;BRDN0003510886;BRDN0003510837;BRDN0003511322;BRDN0003511559;BRDN0003511515;BRDN0003511552;BRDN0003511147;BRDN0003511519;BRDN0003511002;BRDN0003511137;BRDN0003511170;BRDN0003511621;BRDN0003511345;BRDN0003511805;BRDN0003510921;BRDN0003510913;BRDN0003511774;BRDN0003511657;BRDN0003510911;BRDN0003510978;BRDN0003511571;BRDN0003510856;BRDN0003511020;BRDN0003511056;BRDN0003511793;BRDN0003510993;BRDN0003510903;BRDN0003511535;BRDN0003510957;BRDN0003510999;BRDN0003510952;BRDN0003511118;BRDN0003510849;BRDN0003511357;BRDN0003511477;BRDN0003511613;BRDN0003510855;BRDN0003511538;BRDN0003511044;BRDN0003511754;BRDN0003511042;BRDN0003511410;BRDN0003511573;BRDN0003511790;BRDN0003511070;BRDN0003511608;BRDN0003511683;BRDN0003511330;BRDN0003510888;BRDN0003511125;BRDN0003511054;BRDN0003511181;BRDN0003511025;BRDN0003511340;BRDN0003511760;BRDN0003510891;BRDN0003511764;BRDN0003511819;BRDN0003511786;BRDN0003511053;BRDN0003511265;BRDN0003511533;BRDN0003511456;BRDN0003510987;BRDN0003511802;BRDN0003511394;BRDN0003510900;BRDN0003511734;BRDN0003511144;BRDN0003511190;BRDN0003511058;BRDN0003510975;BRDN0003511469;BRDN0003511446;BRDN0003510883;BRDN0003510973;BRDN0003511601;BRDN0003511362;BRDN0003511718;BRDN0003511334;BRDN0003511596;BRDN0003511710;BRDN0003510858;BRDN0003511386;BRDN0003511472;BRDN0003511374;BRDN0003510924;BRDN0003510912;BRDN0003511649;BRDN0003511752;BRDN0003511498;BRDN0003511333;BRDN0003510977;BRDN0003511430;BRDN0003511499;BRDN0003511036;BRDN0003511079;BRDN0003511685;BRDN0003511763;BRDN0003511175;BRDN0003510931;BRDN0003511364;BRDN0003510986;BRDN0003511524;BRDN0003511563;BRDN0003511376;BRDN0003510958;BRDN0003511620;BRDN0003511655;BRDN0003511809;BRDN0003510835;BRDN0003511807;BRDN0003511346;BRDN0003511479;BRDN0003510870;BRDN0003510990;BRDN0003511399;BRDN0003511201;BRDN0003510927;BRDN0003511457;BRDN0003511017;BRDN0003511195;BRDN0003511223;BRDN0003510873;BRDN0003511124;BRDN0003511078;BRDN0003510823;BRDN0003510930;BRDN0003511777;BRDN0003511798;BRDN0003511297;BRDN0003511045;BRDN0003511043;BRDN0003511006;BRDN0003511727;BRDN0003511136;BRDN0003511737;BRDN0003511024;BRDN0003511375;BRDN0003511821;BRDN0003510893;BRDN0003511307;BRDN0003511227;BRDN0003511658;BRDN0003511689;BRDN0003511450;BRDN0003511350;BRDN0003511778;BRDN0003511064;BRDN0003510932;BRDN0003511321;BRDN0003511536;BRDN0003511607;BRDN0003510984;BRDN0003511402;BRDN0003511460;BRDN0003510894;BRDN0003511812;BRDN0003510996;BRDN0003511436;BRDN0003511408;BRDN0003511475;BRDN0003510925;BRDN0003511733;BRDN0003510879;BRDN0003510848;BRDN0003511126;BRDN0003510887;BRDN0003510955;BRDN0003511617;BRDN0003511196;BRDN0003511292;BRDN0003511811;BRDN0003511106;BRDN0003511396;BRDN0003511371;BRDN0003511213;BRDN0003511232;BRDN0003511795;BRDN0003511289;BRDN0003511167;BRDN0003511293;BRDN0003511674;BRDN0003510866;BRDN0003511691;BRDN0003511264;BRDN0003510945;BRDN0003511420;BRDN0003511623;BRDN0003511055;BRDN0003511413;BRDN0003511323;BRDN0003511331;BRDN0003510994;BRDN0003511115;BRDN0003511508;BRDN0003511198;BRDN0003511818;BRDN0003510916;BRDN0003511761;BRDN0003511403;BRDN0003511656;BRDN0003510964;BRDN0003511634;BRDN0003510940;BRDN0003510901;BRDN0003511088;BRDN0003511315;BRDN0003511597;BRDN0003511100;BRDN0003510904;BRDN0003511721;BRDN0003511158;BRDN0003511495;BRDN0003511699;BRDN0003511263;BRDN0003511520;BRDN0003511320;BRDN0003511076;BRDN0003510831;BRDN0003511204;BRDN0003510899;BRDN0003511031;BRDN0003511561;BRDN0003511290;BRDN0003511505;BRDN0003510827;BRDN0003511671;BRDN0003510865;BRDN0003510929;BRDN0003511021;BRDN0003511139;BRDN0003511384;BRDN0003510963;BRDN0003510841;BRDN0003511234;BRDN0003511164;BRDN0003511251;BRDN0003511741;BRDN0003511431;BRDN0003510928;BRDN0003511510;BRDN0003510917;BRDN0003511788;BRDN0003510882;BRDN0003511274;BRDN0003511612;BRDN0003511071;BRDN0003511005;BRDN0003511127;BRDN0003511257;BRDN0003511027;BRDN0003511183;BRDN0003511134;BRDN0003511470;BRDN0003511351;BRDN0003510892;BRDN0003511347;BRDN0003511166;BRDN0003511784;BRDN0003511438;BRDN0003510968;BRDN0003511012;BRDN0003511525;BRDN0003511231;BRDN0003511474;BRDN0003511595;BRDN0003511138;BRDN0003511458;BRDN0003511703;BRDN0003511019;BRDN0003511280;BRDN0003511609;BRDN0003511324;BRDN0003510943;BRDN0003511285;BRDN0003511099;BRDN0003510935;BRDN0003510919;BRDN0003511298;BRDN0003510922;BRDN0003511174;BRDN0003511095;BRDN0003511546;BRDN0003511604;BRDN0003511081;BRDN0003510832;BRDN0003511318;BRDN0003511606;BRDN0003511695;BRDN0003510825;BRDN0003511566;BRDN0003511731;BRDN0003511585;BRDN0003511154;BRDN0003511482;BRDN0003511091;BRDN0003511246;BRDN0003511728;BRDN0003511295;BRDN0003511688;BRDN0003511016;BRDN0003511527;BRDN0003511577;BRDN0003511328;BRDN0003511513;BRDN0003511447;BRDN0003511108;BRDN0003511570;BRDN0003511224;BRDN0003511486;BRDN0003510867;BRDN0003510967;BRDN0003510860;BRDN0003511650;BRDN0003511532;BRDN0003511633;BRDN0003511560;BRDN0003511712;BRDN0003511313;BRDN0003510918;BRDN0003511745;BRDN0003510854;BRDN0003511122;BRDN0003510874;BRDN0003511048;BRDN0003510970;BRDN0003511521;BRDN0003511455;BRDN0003511726;BRDN0003511276;BRDN0003511590;BRDN0003511250;BRDN0003511500;BRDN0003511636;BRDN0003510998;BRDN0003511670;BRDN0003511789;BRDN0003511086;BRDN0003511260;BRDN0003511518;BRDN0003511008;BRDN0003511179;BRDN0003511631;BRDN0003511266;BRDN0003511487;BRDN0003511406;BRDN0003511749;BRDN0003511539;BRDN0003511338;BRDN0003511439;BRDN0003511690;BRDN0003511782;BRDN0003510896;BRDN0003511540;BRDN0003511359;BRDN0003511637;BRDN0003511385;BRDN0003511693;BRDN0003511488;BRDN0003511523;BRDN0003511672;BRDN0003511119;BRDN0003511096;BRDN0003511326;BRDN0003511593;BRDN0003511644;BRDN0003511769;BRDN0003511449;BRDN0003511360;BRDN0003511191;BRDN0003511248;BRDN0003510845;BRDN0003511791;BRDN0003510868;BRDN0003511312;BRDN0003511061;BRDN0003511176;BRDN0003511074;BRDN0003511432;BRDN0003511732;BRDN0003511569;BRDN0003511401;BRDN0003511804;BRDN0003511344;BRDN0003510960;BRDN0003511353;BRDN0003511356;BRDN0003511713;BRDN0003511187;BRDN0003511669;BRDN0003511049;BRDN0003511426;BRDN0003511339;BRDN0003511145;BRDN0003511178;BRDN0003510982;BRDN0003511591;BRDN0003511556;BRDN0003511151;BRDN0003511284;BRDN0003511783;BRDN0003510861;BRDN0003510961;BRDN0003511040;BRDN0003511001;BRDN0003511208;BRDN0003511090;BRDN0003511645;BRDN0003511143;BRDN0003511128;BRDN0003511192;BRDN0003511077;BRDN0003511419;BRDN0003511492;BRDN0003511502;BRDN0003511261;BRDN0003511177;BRDN0003511335;BRDN0003511766;BRDN0003511704;BRDN0003511757;BRDN0003511792;BRDN0003511065;BRDN0003510934;BRDN0003511516;BRDN0003511748;BRDN0003511220;BRDN0003511185;BRDN0003510923;BRDN0003511051;BRDN0003511243;BRDN0003511709;BRDN0003511387;BRDN0003511801;BRDN0003511087;BRDN0003511037;BRDN0003511389;BRDN0003511153;BRDN0003511193;BRDN0003511029;BRDN0003511661;BRDN0003510938;BRDN0003511135;BRDN0003511424;BRDN0003510875;BRDN0003511445;BRDN0003511256;BRDN0003511404;BRDN0003511392;BRDN0003510847;BRDN0003511165;BRDN0003511003;BRDN0003511548;BRDN0003511504;BRDN0003511756;BRDN0003511581;BRDN0003511319;BRDN0003511009;BRDN0003511663;BRDN0003511622;BRDN0003511110;BRDN0003511744;BRDN0003511720;BRDN0003510939;BRDN0003511039;BRDN0003510971;BRDN0003511369;BRDN0003511705;BRDN0003511736;BRDN0003511423;BRDN0003511678;BRDN0003511277;BRDN0003511433;BRDN0003511363;BRDN0003511282;BRDN0003511365;BRDN0003511132;BRDN0003511421;BRDN0003511652;BRDN0003511553;BRDN0003511444;BRDN0003510988;BRDN0003511173;BRDN0003511448;BRDN0003511648;BRDN0003510851;BRDN0003511294;BRDN0003511681;BRDN0003511743;BRDN0003511616;BRDN0003511398;BRDN0003511684;BRDN0003510979;BRDN0003511085;BRDN0003511514;BRDN0003511309;BRDN0003510954;BRDN0003510846;BRDN0003511130;BRDN0003511722;BRDN0003511589;BRDN0003510992;BRDN0003511366;BRDN0003511481;BRDN0003511725;BRDN0003511602;BRDN0003511382;BRDN0003511155;BRDN0003511052;BRDN0003511259;BRDN0003511466;BRDN0003511013;BRDN0003510976;BRDN0003511641;BRDN0003511746;BRDN0003511105;BRDN0003511133;BRDN0003511023;BRDN0003511014;BRDN0003511368;BRDN0003511542;BRDN0003511755;BRDN0003511463;BRDN0003511092;BRDN0003511060;BRDN0003510948;BRDN0003511094;BRDN0003511150;BRDN0003511496;BRDN0003511169;BRDN0003511579;BRDN0003511229;BRDN0003511388;BRDN0003511549;BRDN0003511675;BRDN0003511442;BRDN0003511361;BRDN0003511275;BRDN0003511522;BRDN0003511787;BRDN0003511216;BRDN0003511242;BRDN0003511188;BRDN0003511820;BRDN0003511258;BRDN0003511476;BRDN0003511453;BRDN0003510839;BRDN0003511209;BRDN0003511291;BRDN0003511632;BRDN0003511507;BRDN0003510853;BRDN0003511244;BRDN0003511299;BRDN0003511411;BRDN0003511692;BRDN0003510991;BRDN0003511083;BRDN0003511253;BRDN0003511813;BRDN0003511372;BRDN0003511032;BRDN0003511490;BRDN0003511332;BRDN0003511503;BRDN0003511075;BRDN0003510842;BRDN0003511770;BRDN0003511687;BRDN0003511249;BRDN0003511603;BRDN0003511288;BRDN0003511407;BRDN0003511028;BRDN0003510951;BRDN0003511594;BRDN0003511494;BRDN0003511286;BRDN0003511252;BRDN0003511462;BRDN0003511203;BRDN0003510877;BRDN0003511626;BRDN0003510824;BRDN0003510915;BRDN0003511310;BRDN0003511156;BRDN0003510872;BRDN0003511342;BRDN0003511543;BRDN0003511701;BRDN0003510826;BRDN0003511381;BRDN0003511493;BRDN0003511583;BRDN0003511615;BRDN0003511740;BRDN0003511765;BRDN0003510850;BRDN0003511206;BRDN0003511698;BRDN0003511163;BRDN0003511097;BRDN0003511762;BRDN0003510989;BRDN0003510898;BRDN0003511093;BRDN0003511781;BRDN0003511219;BRDN0003511771;BRDN0003510838;BRDN0003511034;BRDN0003511194;BRDN0003511304;BRDN0003511205;BRDN0003510910;BRDN0003511697;BRDN0003510840;BRDN0003511815;BRDN0003511068;BRDN0003511806;BRDN0003511084;BRDN0003511796;BRDN0003511768;BRDN0003511240;BRDN0003511427;BRDN0003510880;BRDN0003511630;BRDN0003511030;BRDN0003511270;BRDN0003511574;BRDN0003511473;BRDN0003510997;BRDN0003511210;BRDN0003510969;BRDN0003511221;BRDN0003511646;BRDN0003511114;BRDN0003511302;BRDN0003510830;BRDN0003511349;BRDN0003510985;BRDN0003511564;BRDN0003511775;BRDN0003511066;BRDN0003511186;BRDN0003511141;BRDN0003511582;BRDN0003511202;BRDN0003511233;BRDN0003510980;BRDN0003510833;BRDN0003510953;BRDN0003511702;BRDN0003511262;BRDN0003511041;BRDN0003511443;BRDN0003510907;BRDN0003511654;BRDN0003511437;BRDN0003511639;BRDN0003511254;BRDN0003511180;BRDN0003511619;BRDN0003511686;BRDN0003511212;BRDN0003511483;BRDN0003511810;BRDN0003511336;BRDN0003511415;BRDN0003511217;BRDN0003511660;BRDN0003511587;BRDN0003510905;BRDN0003511461;BRDN0003511665;BRDN0003511010;BRDN0003510936;BRDN0003511311;BRDN0003511281;BRDN0003511157;BRDN0003511600;BRDN0003511816;BRDN0003511464;BRDN0003511354;BRDN0003511557;BRDN0003510836;BRDN0003511370;BRDN0003511452;BRDN0003511547;BRDN0003511015;BRDN0003511047;BRDN0003511509;BRDN0003511694;BRDN0003511018;BRDN0003511425;BRDN0003510844;BRDN0003510941;BRDN0003511316;BRDN0003511272;BRDN0003511715;BRDN0003510869;BRDN0003511348;BRDN0003511101;BRDN0003510863;BRDN0003511465;BRDN0003511738;BRDN0003511089;BRDN0003511379;BRDN0003511197;BRDN0003511171;BRDN0003510972;BRDN0003511558;BRDN0003511562;BRDN0003511098;BRDN0003511682;BRDN0003511739;BRDN0003511598;BRDN0003511287;BRDN0003511162;BRDN0003511200;BRDN0003510933;BRDN0003511586;BRDN0003511268;BRDN0003511708;BRDN0003511459;BRDN0003511378;BRDN0003510859;BRDN0003510828;BRDN0003511679;BRDN0003511373;BRDN0003511729;BRDN0003511397;BRDN0003510908;BRDN0003511035;BRDN0003511062;BRDN0003510857;BRDN0003511550;BRDN0003511329;BRDN0003511719;BRDN0003511817;BRDN0003511511;BRDN0003511668;BRDN0003511454;BRDN0003511241;BRDN0003511296;BRDN0003510962;BRDN0003511140;BRDN0003511046;BRDN0003511395;BRDN0003511111;BRDN0003511059;BRDN0003511390;BRDN0003511245;BRDN0003510829;BRDN0003510949;BRDN0003510889;BRDN0003511742;BRDN0003510965;BRDN0003511673;BRDN0003511614;BRDN0003511267;BRDN0003511218;BRDN0003511000;BRDN0003511278;BRDN0003511237;BRDN0003511422;BRDN0003511161;BRDN0003511343;BRDN0003510950;BRDN0003511551;BRDN0003510852;BRDN0003511112;BRDN0003511635;BRDN0003511414;BRDN0003511467;BRDN0003511629;BRDN0003511152;BRDN0003511325;BRDN0003511113;BRDN0003511662;BRDN0003511628;BRDN0003511123;BRDN0003511417;BRDN0003511651;BRDN0003511355;BRDN0003511572;BRDN0003511160;BRDN0003511717;BRDN0003511580;BRDN0003511700;BRDN0003511306;BRDN0003511489;BRDN0003510947;BRDN0003511428;BRDN0003511776;BRDN0003511531;BRDN0003510822;BRDN0003511337;BRDN0003511676;BRDN0003511393;BRDN0003511004;BRDN0003510897;BRDN0003510937;BRDN0003510966;BRDN0003511011;BRDN0003511327;BRDN0003511638;BRDN0003511599;BRDN0003511618;BRDN0003511767;BRDN0003511159;BRDN0003511610;BRDN0003511501;BRDN0003511555;BRDN0003511317;BRDN0003511314;BRDN0003510909;BRDN0003511022;BRDN0003511545;BRDN0003510834;BRDN0003511116;BRDN0003511751;BRDN0003511007;BRDN0003511779;BRDN0003511664;BRDN0003511753;BRDN0003511073;BRDN0003511659;BRDN0003511255;BRDN0003511680;BRDN0003511418;BRDN0003511352;BRDN0003511235;BRDN0003511247;BRDN0003511534;BRDN0003511484;BRDN0003511429;BRDN0003511069;BRDN0003511142;BRDN0003511750;BRDN0003511592;BRDN0003511711;BRDN0003511199;BRDN0003511605;BRDN0003511038;BRDN0003510920;BRDN0003511102;BRDN0003511624;BRDN0003511182;BRDN0003511131;BRDN0003511189;BRDN0003511222;BRDN0003510959;BRDN0003510956;BRDN0003511283;BRDN0003511341;BRDN0003511273;BRDN0003511803;BRDN0003511149;BRDN0003511391;BRDN0003511146;BRDN0003511759;BRDN0003511129;BRDN0003511383;BRDN0003511814;BRDN0003511441;BRDN0003511541;BRDN0003511584;BRDN0003511409;BRDN0003510862;BRDN0003511706;BRDN0003511063;BRDN0003511480;BRDN0003511305;BRDN0003511667;BRDN0003510983;BRDN0003510914;BRDN0003511485;BRDN0003511642;BRDN0003511640;BRDN0003511300;BRDN0003511067;BRDN0003511808;BRDN0003511211;BRDN0003511120;BRDN0003510881	324	3.3534244861554883	1.9551962105120364	0.002061042142680325	0.6352589893105857	0.5699879948668362
Prdx1	6	316;384;875;3583;4892;5138	BRDN0003505774;BRDN0003505775;BRDN0003505778;BRDN0003505776;BRDN0003505779;BRDN0003505777	6	3.3159155350764307	2.22683136930018	0.0022421814190557443	0.6219811256460731	0.5699879948668362
Cmbl	6	44;109;6687;9199;11142;11887	BRDN0003497122;BRDN0003497124;BRDN0003497126;BRDN0003497125;BRDN0003497127;BRDN0003497123	2	3.286303351836904	1.5913074349479666	0.0023860167652469677	0.6017100460722934	0.5699879948668362
Man1c1	6	46;111;5391;5458;14504;16096	BRDN0003502606;BRDN0003502608;BRDN0003502607;BRDN0003502611;BRDN0003502609;BRDN0003502610	2	3.2707009537614837	1.7706941999284525	0.002467439766706936	0.5703898260704346	0.5699879948668362
Slc16a6	6	98;116;906;12423;14447;16261	BRDN0003506811;BRDN0003506806;BRDN0003506810;BRDN0003506807;BRDN0003506809;BRDN0003506808	2	3.2329074333989705	2.474178296354586	0.002671176616174775	0.5699879948668362	0.5699879948668362
Raf1	4	106;193;5698;10736	BRDN0003510685;BRDN0003510684;BRDN0003510682;BRDN0003510683	2	3.186815486755132	1.7108848310959672	0.002970325440921684	0.5885487695083459	0.5885487695083459
Trpm6	6	152;3122;4622;5126;5435;5520	BRDN0003509480;BRDN0003509477;BRDN0003509478;BRDN0003509476;BRDN0003509481;BRDN0003509479	6	3.1290456682832017	1.5581183599209707	0.0033856903558578955	0.6261270031433298	0.611123072480822
Scnn1b	6	94;640;885;1629;7954;15063	BRDN0003506338;BRDN0003506341;BRDN0003506343;BRDN0003506339;BRDN0003506340;BRDN0003506342	4	3.110795712010465	2.086048092911496	0.003524862710776122	0.611123072480822	0.611123072480822
