p-value=0 means <3.586916362818826e-07, FDR=0 means <0.00030799655168738143
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Control-target	1000	32;80;148;170;179;181;182;185;191;227;230;238;288;314;315;327;341;347;349;352;357;385;399;401;402;406;422;444;448;459;481;487;519;535;549;561;571;572;577;590;591;613;618;619;635;642;688;689;728;734;739;767;784;785;813;844;853;862;865;880;884;907;926;930;933;935;948;976;978;986;1008;1039;1042;1044;1048;1063;1068;1070;1099;1192;1198;1215;1217;1219;1258;1265;1280;1300;1356;1357;1358;1392;1394;1395;1401;1409;1414;1418;1422;1444;1456;1482;1483;1490;1493;1505;1514;1525;1528;1530;1543;1544;1551;1565;1581;1612;1627;1633;1643;1649;1656;1669;1671;1676;1680;1695;1704;1714;1735;1737;1738;1744;1755;1802;1808;1814;1816;1821;1826;1877;1884;1902;1922;1956;1982;1994;1995;2000;2001;2013;2017;2026;2035;2037;2059;2094;2100;2105;2108;2111;2127;2130;2143;2153;2185;2226;2228;2235;2236;2243;2288;2305;2315;2330;2346;2347;2348;2365;2367;2386;2402;2442;2444;2467;2497;2498;2509;2516;2517;2521;2536;2549;2583;2592;2595;2622;2629;2630;2647;2661;2683;2688;2700;2703;2712;2745;2748;2751;2755;2757;2760;2766;2767;2775;2792;2793;2805;2822;2833;2856;2858;2908;2915;2918;2921;2933;2942;2946;2950;2960;2978;3027;3053;3078;3088;3094;3120;3123;3131;3133;3141;3155;3175;3204;3222;3248;3347;3358;3365;3367;3374;3395;3410;3423;3460;3465;3466;3484;3491;3510;3546;3588;3603;3611;3617;3697;3719;3722;3742;3763;3778;3779;3821;3834;3841;3848;3897;3918;3930;3935;3938;3940;3948;3953;3973;3989;3999;4025;4030;4040;4079;4114;4131;4142;4148;4212;4240;4258;4264;4269;4309;4316;4320;4341;4349;4354;4360;4440;4446;4447;4457;4464;4466;4490;4500;4502;4514;4527;4567;4583;4594;4610;4621;4624;4631;4642;4645;4677;4679;4729;4734;4735;4776;4795;4819;4824;4832;4852;4887;4895;4911;4945;4952;4955;4985;5015;5022;5028;5081;5083;5086;5100;5127;5140;5150;5159;5194;5230;5232;5233;5255;5272;5279;5319;5363;5375;5378;5396;5434;5436;5445;5447;5448;5449;5450;5461;5482;5499;5507;5551;5583;5604;5629;5636;5646;5664;5667;5688;5697;5709;5757;5771;5777;5786;5794;5802;5809;5815;5837;5840;5875;5904;5906;5924;5941;5945;5953;6004;6033;6072;6084;6101;6104;6110;6134;6159;6165;6183;6194;6233;6235;6252;6257;6269;6271;6279;6307;6324;6365;6376;6391;6421;6423;6425;6434;6453;6463;6466;6476;6506;6511;6583;6585;6619;6634;6637;6647;6662;6694;6723;6733;6758;6763;6779;6794;6796;6810;6814;6844;6876;6880;6906;6923;6945;6947;6962;6970;6972;6974;6982;6987;6992;6995;7018;7035;7052;7063;7070;7078;7094;7108;7121;7159;7164;7180;7195;7209;7210;7233;7236;7251;7263;7273;7276;7282;7351;7357;7369;7406;7413;7427;7440;7465;7475;7485;7495;7508;7513;7518;7527;7540;7567;7569;7572;7614;7616;7666;7670;7674;7728;7731;7778;7783;7786;7807;7852;7856;7860;7867;7877;7895;7904;7931;7938;7957;7962;7981;7992;8002;8010;8054;8056;8060;8071;8085;8111;8173;8204;8205;8212;8219;8224;8231;8251;8276;8280;8298;8299;8309;8333;8339;8340;8348;8397;8404;8444;8445;8449;8485;8491;8495;8518;8545;8562;8574;8575;8586;8601;8602;8638;8639;8645;8654;8659;8667;8671;8681;8742;8745;8747;8750;8752;8758;8786;8797;8802;8831;8834;8836;8838;8847;8892;8920;8944;8945;8969;8971;8984;9036;9042;9060;9063;9076;9083;9145;9149;9177;9184;9193;9196;9202;9221;9224;9254;9277;9312;9321;9340;9360;9368;9475;9506;9516;9520;9530;9558;9601;9613;9636;9648;9654;9657;9691;9755;9789;9803;9821;9833;9838;9847;9849;9860;9873;9955;9958;9960;9968;9982;9987;9990;9992;10020;10027;10082;10119;10125;10151;10175;10178;10206;10207;10223;10231;10233;10234;10252;10255;10279;10293;10337;10344;10361;10368;10385;10386;10401;10433;10449;10464;10513;10515;10524;10542;10555;10563;10589;10591;10607;10609;10620;10630;10651;10658;10661;10686;10689;10697;10735;10751;10773;10795;10822;10831;10845;10846;10873;10951;10979;11013;11019;11083;11084;11100;11107;11120;11139;11149;11191;11196;11199;11245;11254;11285;11288;11289;11297;11302;11308;11311;11327;11369;11380;11463;11480;11490;11534;11536;11540;11588;11620;11633;11658;11664;11674;11680;11699;11706;11715;11734;11755;11817;11818;11865;11916;11963;11977;12008;12009;12042;12046;12061;12067;12105;12114;12150;12154;12161;12171;12188;12192;12200;12210;12252;12286;12294;12343;12372;12424;12426;12434;12456;12459;12483;12497;12513;12560;12564;12565;12566;12569;12581;12592;12605;12607;12620;12638;12666;12671;12686;12730;12731;12742;12765;12802;12891;12905;12913;12950;13016;13020;13038;13040;13052;13055;13056;13059;13060;13100;13102;13104;13107;13122;13148;13168;13201;13221;13282;13330;13350;13365;13398;13408;13409;13422;13501;13521;13534;13553;13563;13588;13608;13629;13660;13696;13789;13798;13804;13822;13848;13863;13870;13888;13910;13911;13921;13968;14002;14003;14043;14094;14131;14143;14191;14225;14255;14307;14317;14350;14360;14381;14441;14458;14524;14536;14543;14585;14617;14627;14660;14673;14686;14687;14709;14721;14743;14779;14819;14848;14866;14869;14901;14961;14978;14987;15000;15014;15025;15063;15108;15165;15172;15185;15196;15227;15235;15264;15271;15342;15363;15383;15410;15413;15416;15430;15435;15439;15462;15480;15485;15511;15516;15563;15570;15589;15599;15620;15647;15673;15709;15710;15711;15712;15746;15748;15758;15803;15832;15836;15885;15893;15897;15925;15951;15986;16018;16059;16075;16076;16101;16184;16233;16297;16332;16342;16360;16465;16492;16502;16591;16637;16647;16655;16657;16666;16667;16673;16692;16701;16784;16893;16897;16936;16939;16943;17003;17084;17094;17100;17104;17271;17307;17327;17349;17365;17522;17610;17650;17753;17771;18049	BRDN0003511158;BRDN0003511270;BRDN0003511820;BRDN0003510906;BRDN0003511019;BRDN0003511036;BRDN0003511250;BRDN0003511203;BRDN0003511097;BRDN0003511005;BRDN0003511448;BRDN0003510897;BRDN0003511008;BRDN0003511594;BRDN0003510919;BRDN0003511533;BRDN0003511145;BRDN0003511245;BRDN0003511114;BRDN0003510989;BRDN0003510882;BRDN0003511682;BRDN0003511716;BRDN0003510883;BRDN0003511664;BRDN0003511791;BRDN0003510891;BRDN0003511210;BRDN0003511222;BRDN0003511409;BRDN0003511514;BRDN0003511099;BRDN0003511637;BRDN0003511018;BRDN0003510970;BRDN0003511705;BRDN0003511113;BRDN0003510837;BRDN0003511662;BRDN0003511561;BRDN0003510938;BRDN0003511054;BRDN0003511743;BRDN0003511603;BRDN0003511116;BRDN0003510933;BRDN0003511469;BRDN0003510853;BRDN0003511299;BRDN0003511177;BRDN0003510939;BRDN0003510922;BRDN0003510823;BRDN0003511179;BRDN0003511423;BRDN0003511722;BRDN0003511100;BRDN0003511770;BRDN0003510890;BRDN0003511804;BRDN0003511742;BRDN0003511539;BRDN0003511635;BRDN0003511794;BRDN0003511261;BRDN0003510954;BRDN0003511304;BRDN0003511049;BRDN0003511211;BRDN0003510868;BRDN0003511022;BRDN0003510908;BRDN0003511024;BRDN0003511306;BRDN0003511574;BRDN0003511248;BRDN0003510975;BRDN0003511051;BRDN0003511546;BRDN0003510973;BRDN0003511431;BRDN0003511359;BRDN0003511411;BRDN0003511447;BRDN0003511803;BRDN0003511405;BRDN0003511117;BRDN0003511457;BRDN0003511047;BRDN0003511232;BRDN0003511266;BRDN0003511640;BRDN0003510931;BRDN0003511666;BRDN0003510839;BRDN0003511330;BRDN0003511420;BRDN0003511011;BRDN0003511186;BRDN0003511407;BRDN0003511083;BRDN0003511642;BRDN0003511058;BRDN0003510838;BRDN0003510957;BRDN0003510930;BRDN0003511441;BRDN0003511812;BRDN0003510884;BRDN0003511233;BRDN0003511073;BRDN0003511163;BRDN0003510969;BRDN0003511150;BRDN0003511172;BRDN0003511663;BRDN0003511647;BRDN0003511471;BRDN0003511562;BRDN0003511394;BRDN0003511231;BRDN0003510941;BRDN0003511062;BRDN0003511214;BRDN0003511033;BRDN0003511580;BRDN0003511087;BRDN0003511363;BRDN0003510851;BRDN0003511634;BRDN0003510968;BRDN0003511249;BRDN0003511587;BRDN0003510870;BRDN0003511773;BRDN0003510958;BRDN0003511102;BRDN0003511687;BRDN0003511581;BRDN0003511653;BRDN0003511650;BRDN0003511339;BRDN0003511800;BRDN0003511397;BRDN0003511516;BRDN0003511671;BRDN0003511060;BRDN0003511740;BRDN0003511602;BRDN0003511771;BRDN0003511294;BRDN0003511207;BRDN0003511814;BRDN0003511390;BRDN0003511450;BRDN0003511522;BRDN0003510828;BRDN0003511711;BRDN0003511412;BRDN0003511815;BRDN0003510946;BRDN0003510909;BRDN0003511728;BRDN0003511553;BRDN0003511298;BRDN0003510991;BRDN0003511400;BRDN0003511377;BRDN0003511375;BRDN0003511464;BRDN0003511712;BRDN0003511269;BRDN0003510990;BRDN0003511092;BRDN0003511608;BRDN0003511310;BRDN0003510974;BRDN0003511605;BRDN0003511007;BRDN0003511391;BRDN0003511119;BRDN0003511276;BRDN0003511817;BRDN0003511413;BRDN0003511292;BRDN0003511430;BRDN0003511780;BRDN0003511688;BRDN0003511272;BRDN0003510914;BRDN0003511488;BRDN0003510947;BRDN0003511787;BRDN0003511385;BRDN0003511148;BRDN0003510874;BRDN0003511466;BRDN0003511091;BRDN0003511704;BRDN0003511761;BRDN0003510825;BRDN0003511374;BRDN0003510861;BRDN0003511314;BRDN0003511583;BRDN0003511340;BRDN0003511098;BRDN0003511556;BRDN0003510965;BRDN0003511680;BRDN0003511094;BRDN0003511731;BRDN0003510902;BRDN0003511293;BRDN0003511449;BRDN0003511679;BRDN0003511644;BRDN0003510888;BRDN0003511003;BRDN0003511041;BRDN0003511180;BRDN0003510830;BRDN0003511521;BRDN0003511325;BRDN0003511573;BRDN0003511560;BRDN0003511346;BRDN0003510955;BRDN0003511061;BRDN0003511495;BRDN0003511255;BRDN0003511029;BRDN0003511188;BRDN0003511463;BRDN0003511519;BRDN0003511537;BRDN0003511485;BRDN0003511428;BRDN0003511219;BRDN0003510999;BRDN0003510916;BRDN0003511244;BRDN0003511068;BRDN0003511410;BRDN0003511227;BRDN0003510850;BRDN0003510879;BRDN0003511312;BRDN0003511308;BRDN0003511676;BRDN0003511604;BRDN0003511120;BRDN0003511434;BRDN0003511109;BRDN0003511090;BRDN0003511807;BRDN0003511031;BRDN0003511224;BRDN0003510923;BRDN0003511242;BRDN0003511103;BRDN0003511789;BRDN0003511110;BRDN0003511382;BRDN0003510822;BRDN0003511079;BRDN0003510926;BRDN0003511234;BRDN0003511089;BRDN0003511638;BRDN0003511386;BRDN0003511111;BRDN0003511689;BRDN0003511302;BRDN0003511381;BRDN0003511736;BRDN0003511258;BRDN0003511280;BRDN0003511383;BRDN0003511241;BRDN0003511690;BRDN0003510894;BRDN0003511669;BRDN0003511081;BRDN0003511821;BRDN0003511813;BRDN0003511713;BRDN0003511212;BRDN0003511616;BRDN0003511190;BRDN0003511105;BRDN0003511478;BRDN0003511659;BRDN0003511043;BRDN0003511379;BRDN0003511582;BRDN0003511686;BRDN0003510915;BRDN0003510940;BRDN0003511513;BRDN0003511122;BRDN0003511251;BRDN0003511535;BRDN0003511127;BRDN0003511500;BRDN0003511139;BRDN0003511738;BRDN0003510981;BRDN0003511128;BRDN0003511042;BRDN0003511059;BRDN0003511246;BRDN0003511524;BRDN0003511746;BRDN0003511720;BRDN0003511767;BRDN0003510913;BRDN0003511309;BRDN0003511254;BRDN0003510881;BRDN0003511323;BRDN0003511729;BRDN0003511318;BRDN0003511470;BRDN0003511445;BRDN0003511168;BRDN0003511136;BRDN0003511020;BRDN0003511408;BRDN0003511781;BRDN0003511797;BRDN0003511693;BRDN0003511572;BRDN0003511164;BRDN0003511387;BRDN0003511343;BRDN0003511352;BRDN0003511347;BRDN0003511555;BRDN0003511801;BRDN0003511321;BRDN0003511419;BRDN0003511032;BRDN0003511636;BRDN0003511146;BRDN0003511311;BRDN0003511421;BRDN0003511741;BRDN0003511810;BRDN0003510859;BRDN0003511625;BRDN0003511694;BRDN0003511707;BRDN0003510849;BRDN0003511753;BRDN0003510865;BRDN0003511225;BRDN0003511762;BRDN0003511178;BRDN0003511654;BRDN0003511191;BRDN0003511181;BRDN0003511674;BRDN0003511371;BRDN0003511000;BRDN0003511414;BRDN0003510912;BRDN0003511273;BRDN0003511115;BRDN0003511515;BRDN0003511351;BRDN0003511307;BRDN0003511035;BRDN0003510910;BRDN0003511039;BRDN0003511078;BRDN0003511508;BRDN0003510959;BRDN0003511782;BRDN0003511695;BRDN0003511192;BRDN0003511479;BRDN0003511215;BRDN0003511735;BRDN0003511028;BRDN0003511262;BRDN0003511626;BRDN0003511392;BRDN0003511475;BRDN0003510875;BRDN0003511171;BRDN0003511798;BRDN0003511503;BRDN0003511717;BRDN0003511063;BRDN0003511166;BRDN0003511455;BRDN0003511655;BRDN0003511484;BRDN0003511316;BRDN0003511401;BRDN0003511088;BRDN0003511393;BRDN0003510858;BRDN0003510843;BRDN0003511237;BRDN0003511141;BRDN0003511437;BRDN0003511438;BRDN0003511596;BRDN0003510862;BRDN0003511012;BRDN0003510869;BRDN0003511322;BRDN0003510829;BRDN0003511436;BRDN0003510962;BRDN0003511356;BRDN0003510944;BRDN0003511529;BRDN0003510892;BRDN0003511531;BRDN0003511575;BRDN0003511569;BRDN0003511557;BRDN0003511354;BRDN0003511799;BRDN0003511432;BRDN0003511096;BRDN0003510964;BRDN0003511289;BRDN0003511071;BRDN0003511744;BRDN0003511668;BRDN0003510978;BRDN0003511404;BRDN0003511540;BRDN0003511238;BRDN0003510976;BRDN0003511747;BRDN0003511597;BRDN0003511511;BRDN0003511433;BRDN0003510842;BRDN0003511173;BRDN0003510836;BRDN0003511429;BRDN0003511125;BRDN0003511010;BRDN0003511131;BRDN0003511492;BRDN0003511326;BRDN0003511082;BRDN0003511639;BRDN0003511691;BRDN0003511733;BRDN0003511792;BRDN0003511673;BRDN0003511566;BRDN0003511776;BRDN0003511818;BRDN0003510900;BRDN0003510846;BRDN0003511384;BRDN0003511703;BRDN0003511015;BRDN0003511362;BRDN0003510826;BRDN0003511632;BRDN0003511243;BRDN0003511732;BRDN0003511494;BRDN0003511483;BRDN0003510984;BRDN0003511454;BRDN0003511509;BRDN0003511751;BRDN0003511628;BRDN0003511584;BRDN0003511606;BRDN0003511417;BRDN0003510992;BRDN0003510856;BRDN0003511046;BRDN0003511065;BRDN0003511774;BRDN0003511183;BRDN0003511223;BRDN0003510985;BRDN0003511327;BRDN0003511095;BRDN0003511517;BRDN0003511696;BRDN0003511727;BRDN0003511344;BRDN0003511788;BRDN0003511226;BRDN0003511672;BRDN0003511551;BRDN0003511154;BRDN0003511389;BRDN0003511480;BRDN0003511424;BRDN0003511388;BRDN0003511501;BRDN0003511567;BRDN0003511544;BRDN0003511268;BRDN0003511285;BRDN0003511149;BRDN0003511056;BRDN0003511523;BRDN0003511786;BRDN0003511710;BRDN0003511541;BRDN0003511376;BRDN0003511236;BRDN0003511456;BRDN0003511256;BRDN0003511443;BRDN0003510971;BRDN0003511819;BRDN0003511159;BRDN0003510934;BRDN0003511620;BRDN0003511202;BRDN0003511160;BRDN0003511130;BRDN0003511415;BRDN0003511749;BRDN0003511107;BRDN0003511796;BRDN0003511260;BRDN0003511611;BRDN0003511038;BRDN0003511336;BRDN0003511545;BRDN0003511802;BRDN0003511790;BRDN0003511138;BRDN0003511474;BRDN0003511184;BRDN0003511335;BRDN0003510880;BRDN0003511558;BRDN0003511014;BRDN0003511651;BRDN0003511491;BRDN0003511476;BRDN0003511528;BRDN0003510886;BRDN0003511502;BRDN0003511161;BRDN0003511403;BRDN0003511101;BRDN0003511427;BRDN0003511725;BRDN0003511295;BRDN0003511467;BRDN0003510995;BRDN0003511614;BRDN0003510896;BRDN0003511380;BRDN0003511497;BRDN0003511006;BRDN0003511737;BRDN0003511779;BRDN0003511422;BRDN0003511547;BRDN0003511534;BRDN0003511331;BRDN0003511783;BRDN0003511681;BRDN0003511416;BRDN0003511021;BRDN0003511355;BRDN0003511206;BRDN0003511630;BRDN0003511144;BRDN0003511652;BRDN0003510834;BRDN0003511586;BRDN0003511402;BRDN0003511536;BRDN0003510832;BRDN0003511459;BRDN0003511440;BRDN0003510993;BRDN0003510898;BRDN0003510924;BRDN0003511472;BRDN0003511077;BRDN0003511678;BRDN0003511204;BRDN0003511267;BRDN0003511348;BRDN0003511592;BRDN0003511337;BRDN0003511588;BRDN0003511076;BRDN0003510945;BRDN0003511169;BRDN0003511633;BRDN0003511126;BRDN0003511601;BRDN0003511559;BRDN0003511132;BRDN0003511050;BRDN0003511675;BRDN0003511643;BRDN0003511217;BRDN0003511542;BRDN0003511552;BRDN0003511595;BRDN0003511758;BRDN0003510977;BRDN0003510917;BRDN0003510845;BRDN0003511621;BRDN0003511013;BRDN0003511108;BRDN0003511622;BRDN0003511645;BRDN0003511527;BRDN0003510963;BRDN0003511665;BRDN0003511199;BRDN0003510903;BRDN0003511598;BRDN0003511667;BRDN0003511752;BRDN0003511240;BRDN0003511607;BRDN0003511734;BRDN0003510866;BRDN0003511593;BRDN0003511795;BRDN0003511252;BRDN0003511656;BRDN0003511518;BRDN0003511200;BRDN0003511648;BRDN0003511477;BRDN0003511661;BRDN0003511086;BRDN0003511565;BRDN0003510878;BRDN0003511461;BRDN0003511257;BRDN0003510994;BRDN0003511452;BRDN0003511066;BRDN0003511123;BRDN0003511317;BRDN0003510877;BRDN0003511170;BRDN0003511768;BRDN0003511532;BRDN0003511507;BRDN0003511504;BRDN0003511775;BRDN0003511756;BRDN0003510966;BRDN0003511748;BRDN0003511064;BRDN0003510996;BRDN0003510943;BRDN0003511623;BRDN0003511195;BRDN0003511209;BRDN0003511213;BRDN0003511297;BRDN0003511373;BRDN0003511526;BRDN0003511320;BRDN0003511715;BRDN0003511754;BRDN0003511809;BRDN0003510907;BRDN0003511052;BRDN0003511739;BRDN0003511084;BRDN0003511496;BRDN0003511512;BRDN0003510972;BRDN0003510927;BRDN0003511591;BRDN0003511399;BRDN0003511333;BRDN0003510854;BRDN0003511129;BRDN0003511493;BRDN0003511367;BRDN0003511816;BRDN0003511296;BRDN0003511315;BRDN0003511143;BRDN0003511442;BRDN0003511319;BRDN0003511004;BRDN0003511627;BRDN0003510899;BRDN0003511176;BRDN0003511313;BRDN0003511609;BRDN0003511151;BRDN0003511589;BRDN0003511301;BRDN0003510921;BRDN0003511718;BRDN0003510937;BRDN0003511451;BRDN0003511489;BRDN0003511759;BRDN0003510905;BRDN0003511490;BRDN0003511699;BRDN0003511750;BRDN0003511361;BRDN0003511001;BRDN0003511462;BRDN0003511133;BRDN0003511684;BRDN0003511811;BRDN0003511641;BRDN0003511624;BRDN0003510835;BRDN0003511806;BRDN0003511369;BRDN0003511550;BRDN0003511156;BRDN0003511197;BRDN0003511600;BRDN0003511398;BRDN0003511617;BRDN0003511458;BRDN0003511481;BRDN0003511358;BRDN0003511283;BRDN0003510982;BRDN0003511549;BRDN0003511221;BRDN0003511714;BRDN0003510918;BRDN0003511726;BRDN0003511700;BRDN0003511187;BRDN0003511329;BRDN0003511349;BRDN0003511124;BRDN0003511328;BRDN0003510827;BRDN0003511196;BRDN0003511104;BRDN0003511332;BRDN0003511599;BRDN0003511510;BRDN0003510950;BRDN0003511548;BRDN0003511167;BRDN0003511702;BRDN0003511487;BRDN0003510852;BRDN0003511175;BRDN0003511760;BRDN0003511439;BRDN0003511530;BRDN0003511002;BRDN0003511446;BRDN0003511152;BRDN0003511505;BRDN0003511155;BRDN0003511755;BRDN0003510841;BRDN0003511396;BRDN0003511395;BRDN0003510855;BRDN0003511069;BRDN0003510860;BRDN0003511460;BRDN0003511027;BRDN0003511357;BRDN0003511342;BRDN0003511570;BRDN0003511303;BRDN0003511198;BRDN0003511721;BRDN0003510833;BRDN0003510956;BRDN0003511274;BRDN0003510953;BRDN0003511360;BRDN0003510872;BRDN0003511772;BRDN0003511646;BRDN0003511468;BRDN0003511093;BRDN0003511045;BRDN0003511264;BRDN0003511230;BRDN0003511135;BRDN0003511708;BRDN0003511670;BRDN0003511482;BRDN0003511235;BRDN0003510901;BRDN0003510871;BRDN0003511709;BRDN0003511338;BRDN0003510824;BRDN0003510848;BRDN0003511435;BRDN0003511769;BRDN0003511259;BRDN0003511016;BRDN0003511612;BRDN0003511353;BRDN0003511278;BRDN0003511220;BRDN0003511730;BRDN0003510889;BRDN0003510952;BRDN0003511067;BRDN0003511182;BRDN0003511074;BRDN0003511037;BRDN0003511719;BRDN0003510986;BRDN0003511194;BRDN0003511271;BRDN0003511140;BRDN0003510960;BRDN0003510904;BRDN0003511444;BRDN0003511085;BRDN0003511563;BRDN0003511577;BRDN0003510887;BRDN0003511778;BRDN0003511453;BRDN0003511025;BRDN0003511590;BRDN0003511706;BRDN0003511365;BRDN0003511072;BRDN0003510936;BRDN0003511288;BRDN0003510948;BRDN0003510893;BRDN0003511543;BRDN0003511070;BRDN0003511426;BRDN0003511506;BRDN0003511345;BRDN0003511418;BRDN0003510951;BRDN0003510928;BRDN0003511112;BRDN0003510857;BRDN0003510983;BRDN0003511657;BRDN0003511763;BRDN0003510831;BRDN0003511724;BRDN0003511473;BRDN0003511697;BRDN0003510876;BRDN0003510920;BRDN0003511629;BRDN0003511610;BRDN0003511723;BRDN0003511229;BRDN0003511805;BRDN0003511053;BRDN0003511279;BRDN0003511189;BRDN0003511406;BRDN0003511142;BRDN0003511055;BRDN0003511372;BRDN0003511044;BRDN0003510935;BRDN0003511613;BRDN0003511701;BRDN0003511185;BRDN0003511305;BRDN0003511265;BRDN0003511201;BRDN0003511290;BRDN0003511341;BRDN0003511153;BRDN0003511465;BRDN0003511080;BRDN0003511247;BRDN0003511649;BRDN0003511017;BRDN0003511286;BRDN0003511698;BRDN0003511334;BRDN0003511777;BRDN0003510997;BRDN0003510885;BRDN0003511764;BRDN0003511585;BRDN0003510840;BRDN0003511578;BRDN0003511554;BRDN0003511425;BRDN0003510911;BRDN0003511291;BRDN0003511631;BRDN0003511745;BRDN0003511324;BRDN0003510929;BRDN0003511364;BRDN0003511205;BRDN0003511368;BRDN0003511134;BRDN0003511193;BRDN0003510867;BRDN0003511030;BRDN0003511162;BRDN0003511157;BRDN0003511216;BRDN0003511370;BRDN0003511579;BRDN0003510980;BRDN0003511300;BRDN0003510864;BRDN0003510988;BRDN0003511281;BRDN0003511808;BRDN0003511366;BRDN0003510847;BRDN0003511486;BRDN0003511239;BRDN0003510979;BRDN0003510844;BRDN0003511660;BRDN0003511677;BRDN0003511282;BRDN0003511757;BRDN0003510932;BRDN0003511277;BRDN0003511498;BRDN0003510961;BRDN0003511218;BRDN0003511118;BRDN0003511034;BRDN0003511499;BRDN0003511658;BRDN0003511165;BRDN0003510998;BRDN0003511253;BRDN0003511785;BRDN0003511147;BRDN0003511765;BRDN0003511766;BRDN0003511121;BRDN0003511378;BRDN0003511615;BRDN0003511784;BRDN0003511075;BRDN0003511685;BRDN0003511571;BRDN0003511009;BRDN0003511520;BRDN0003511683;BRDN0003511137;BRDN0003511208;BRDN0003511564;BRDN0003511284;BRDN0003511287;BRDN0003511576;BRDN0003511619;BRDN0003511538;BRDN0003511263;BRDN0003511793;BRDN0003510949;BRDN0003511023;BRDN0003511174;BRDN0003511568;BRDN0003511048;BRDN0003511228;BRDN0003510967;BRDN0003511026;BRDN0003510987;BRDN0003511525;BRDN0003510942;BRDN0003511057;BRDN0003510925;BRDN0003511350;BRDN0003510895;BRDN0003510873;BRDN0003511106;BRDN0003511692;BRDN0003511040;BRDN0003510863;BRDN0003511618;BRDN0003511275	715	15.915907130698335	7.960445758165608	0.0	0.0	0.0
Rrm1	6	5;39;62;131;194;702	BRDN0003506146;BRDN0003506151;BRDN0003506150;BRDN0003506147;BRDN0003506149;BRDN0003506148	5	9.104691464029642	6.349669920693928	0.0	0.0	0.0
Rpl17	4	3;6;95;221	BRDN0003510712;BRDN0003510713;BRDN0003510710;BRDN0003510711	4	7.6762176616984865	5.827696125617233	0.0	0.0	0.0
Atp6v0c	6	9;10;46;5512;17122;17721	BRDN0003495704;BRDN0003495700;BRDN0003495701;BRDN0003495703;BRDN0003495702;BRDN0003495705	3	6.504308189153616	3.902768770089473	1.0760749090676924e-06	0.000692992241439605	0.000692992241439605
Dad1	6	57;61;155;489;3884;5882	BRDN0003497934;BRDN0003497932;BRDN0003497933;BRDN0003497937;BRDN0003497935;BRDN0003497936	4	5.143931029139319	3.5424943434581224	3.1206172365627616e-05	0.016077420002771604	0.01267185813024361
Dut	6	15;124;132;16951;17281;17564	BRDN0003498459;BRDN0003498457;BRDN0003498454;BRDN0003498458;BRDN0003498455;BRDN0003498456	3	5.1369985079921054	3.5412406494249016	3.156486400202052e-05	0.013551848278201026	0.01267185813024361
Ran	4	4;21;301;16849	BRDN0003510686;BRDN0003510689;BRDN0003510687;BRDN0003510688	2	5.105298567156392	4.308225369191977	3.443439709305274e-05	0.01267185813024361	0.01267185813024361
Sf3b5	4	88;96;261;17280	BRDN0003510771;BRDN0003510773;BRDN0003510770;BRDN0003510772	3	4.944582796908549	3.485503483402524	5.0575520730511414e-05	0.016285317675224936	0.016285317675224936
Rpl23	4	25;29;1548;14220	BRDN0003510725;BRDN0003510724;BRDN0003510723;BRDN0003510722	2	4.825320519445138	3.249267995618676	6.994486909539521e-05	0.020019775865526772	0.020019775865526772
Hmgcs1	6	106;118;178;3824;11810;17750	BRDN0003500817;BRDN0003500816;BRDN0003500815;BRDN0003500814;BRDN0003500813;BRDN0003500812	3	4.7507556523809455	2.7980711362108925	8.106430982346424e-05	0.020882166210524723	0.020882166210524723
Eif4a3	4	42;44;745;17405	BRDN0003510556;BRDN0003510555;BRDN0003510554;BRDN0003510557	2	4.4639229065653465	3.3649554749724824	0.0001624873112833214	0.03805157398780387	0.03805157398780387
Rpl10	4	34;51;9529;13376	BRDN0003510692;BRDN0003510691;BRDN0003510693;BRDN0003510690	2	4.3360202543762485	2.3459354684413767	0.0002220301229235444	0.047662466387588295	0.047662466387588295
Pten	6	160;272;596;816;5602;5973	BRDN0003505884;BRDN0003505883;BRDN0003505885;BRDN0003505882;BRDN0003505886;BRDN0003505887	4	4.270462625872882	2.6940101043127607	0.0002589753614714585	0.051316963934652904	0.04872505449122435
Kras	4	33;92;914;1577	BRDN0003510591;BRDN0003510593;BRDN0003510590;BRDN0003510592	4	4.262459983123319	3.3902134186881447	0.0002675839607447772	0.04923544877703979	0.04872505449122435
Slc39a7	6	2;36;388;1396;3476;6094	BRDN0003507990;BRDN0003507989;BRDN0003507991;BRDN0003507988;BRDN0003507992;BRDN0003507993	2	4.241610041963937	3.3899829540249606	0.00028372508438212485	0.04872505449122435	0.04872505449122435
Atp2b1	6	81;569;893;959;8721;10451	BRDN0003495535;BRDN0003495537;BRDN0003495534;BRDN0003495532;BRDN0003495533;BRDN0003495536	4	3.9970649865829264	2.1271336447776044	0.00048817931712275	0.07859687005676401	0.07859687005676401
Pcyt1a	6	1;55;669;4919;8179;18083	BRDN0003504472;BRDN0003504474;BRDN0003504476;BRDN0003504477;BRDN0003504473;BRDN0003504475	2	3.875293637050714	2.6071073486088787	0.0006517427033153611	0.09875818845531747	0.09875818845531747
Atp6v1b2	6	71;74;436;1141;2260;9763	BRDN0003495747;BRDN0003495745;BRDN0003495746;BRDN0003495743;BRDN0003495742;BRDN0003495744	5	3.825646630757679	3.0061968730668087	0.0007277853302294357	0.10415416725950313	0.10415416725950313
