p-value=0 means <3.586916362818826e-07, FDR=0 means <4.8369567152612164e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Scap	6	2;5;9;34;68;91	BRDN0003506218;BRDN0003506219;BRDN0003506222;BRDN0003506221;BRDN0003506220;BRDN0003506223	6	13.826431780731836	8.787172305851216	0.0	0.0	0.0
Pten	6	4;16;19;20;23;121	BRDN0003505886;BRDN0003505885;BRDN0003505887;BRDN0003505884;BRDN0003505882;BRDN0003505883	5	13.730987941532648	8.828610968885615	0.0	0.0	0.0
Asns	6	22;39;43;48;90;120	BRDN0003495351;BRDN0003495348;BRDN0003495347;BRDN0003495349;BRDN0003495350;BRDN0003495346	6	13.105592658372645	7.656736202045625	0.0	0.0	0.0
Acly	6	36;49;80;107;139;175	BRDN0003494067;BRDN0003494062;BRDN0003494063;BRDN0003494066;BRDN0003494064;BRDN0003494065	6	12.122451842540634	6.901509536685902	0.0	0.0	0.0
Tyms	6	52;62;76;92;183;189	BRDN0003509596;BRDN0003509598;BRDN0003509597;BRDN0003509600;BRDN0003509601;BRDN0003509599	6	11.921909309618929	6.763273231955669	0.0	0.0	0.0
Sod1	6	14;30;35;42;77;644	BRDN0003508689;BRDN0003508688;BRDN0003508684;BRDN0003508686;BRDN0003508685;BRDN0003508687	5	11.108455581864407	7.137055537238217	0.0	0.0	0.0
Igf1r	4	11;13;21;31	BRDN0003510589;BRDN0003510586;BRDN0003510588;BRDN0003510587	4	11.08833998110184	6.863176638503117	0.0	0.0	0.0
Kctd5	6	58;70;79;81;104;12113	BRDN0003502071;BRDN0003502068;BRDN0003502066;BRDN0003502069;BRDN0003502070;BRDN0003502067	5	10.456384976408373	5.980406089653465	0.0	0.0	0.0
Mtf1	6	3;8;10;25;1848;6982	BRDN0003503152;BRDN0003503155;BRDN0003503157;BRDN0003503153;BRDN0003503156;BRDN0003503154	4	10.287120150082176	5.68325737355757	0.0	0.0	0.0
Slc25a28	6	56;82;145;172;300;532	BRDN0003507248;BRDN0003507247;BRDN0003507244;BRDN0003507249;BRDN0003507245;BRDN0003507246	6	9.225210340888106	5.769977601938662	0.0	0.0	0.0
Pcyt2	6	53;97;110;114;368;555	BRDN0003504485;BRDN0003504486;BRDN0003504489;BRDN0003504488;BRDN0003504487;BRDN0003504484	6	9.114922235922338	5.835966836381692	0.0	0.0	0.0
Alg3	6	64;93;108;115;211;1595	BRDN0003494867;BRDN0003494870;BRDN0003494871;BRDN0003494866;BRDN0003494868;BRDN0003494869	5	8.922694849884651	5.572213874576992	0.0	0.0	0.0
Ptdss1	6	1;7;28;119;252;4908	BRDN0003505874;BRDN0003505871;BRDN0003505875;BRDN0003505870;BRDN0003505872;BRDN0003505873	5	8.53808761350722	5.9751685145441105	0.0	0.0	0.0
Dpm1	6	69;88;118;132;362;11994	BRDN0003498352;BRDN0003498355;BRDN0003498353;BRDN0003498356;BRDN0003498357;BRDN0003498354	5	7.754196344211713	5.112552893846019	0.0	0.0	0.0
Mbtps1	4	17;18;33;557	BRDN0003510610;BRDN0003510612;BRDN0003510613;BRDN0003510611	3	7.63352032080105	5.3437705299947105	0.0	0.0	0.0
Dpm2	6	153;287;326;465;991;1041	BRDN0003498363;BRDN0003498360;BRDN0003498358;BRDN0003498361;BRDN0003498359;BRDN0003498362	6	7.4759757575951795	4.340541718742325	0.0	0.0	0.0
Mcat	6	29;51;65;150;484;2350	BRDN0003502725;BRDN0003502724;BRDN0003502722;BRDN0003502723;BRDN0003502721;BRDN0003502720	4	7.180462944692669	5.280538771747441	0.0	0.0	0.0
Fasn	6	15;75;95;169;695;3218	BRDN0003498963;BRDN0003498960;BRDN0003498958;BRDN0003498959;BRDN0003498962;BRDN0003498961	4	6.974188803973916	4.889494957057962	0.0	0.0	0.0
Itgav	6	24;71;147;188;2531;7578	BRDN0003501380;BRDN0003501378;BRDN0003501376;BRDN0003501379;BRDN0003501381;BRDN0003501377	4	6.790012816329223	3.9068777328379785	0.0	0.0	0.0
Sgpl1	6	207;475;787;1217;1331;1371	BRDN0003506483;BRDN0003506485;BRDN0003506487;BRDN0003506482;BRDN0003506484;BRDN0003506486	6	6.758455405921318	3.5668364761790223	0.0	0.0	0.0
Kdm8	6	133;171;316;346;602;7504	BRDN0003502190;BRDN0003502186;BRDN0003502188;BRDN0003502187;BRDN0003502191;BRDN0003502189	5	6.655592812489923	3.835611233726593	3.586916362818826e-07	4.606625443105887e-05	4.3972333775101963e-05
Mecr	6	100;113;193;212;912;3521	BRDN0003502800;BRDN0003502802;BRDN0003502799;BRDN0003502801;BRDN0003502803;BRDN0003502798	4	6.582449823696692	4.340559743285446	3.586916362818826e-07	4.3972333775101963e-05	4.3972333775101963e-05
Glrx3	6	6;27;44;546;936;2799	BRDN0003499965;BRDN0003499963;BRDN0003499960;BRDN0003499961;BRDN0003499964;BRDN0003499962	3	6.562081239759504	4.886642740564617	7.173832726747875e-07	8.4120986365387e-05	8.4120986365387e-05
G6pdx	6	61;122;267;374;796;1662	BRDN0003499275;BRDN0003499273;BRDN0003499274;BRDN0003499271;BRDN0003499272;BRDN0003499270	6	6.2568940179698425	4.506756482368476	1.0760749090676924e-06	0.00012092391790648116	0.00012092391790648116
Oxsm	6	32;47;57;312;1341;2088	BRDN0003504284;BRDN0003504285;BRDN0003504280;BRDN0003504281;BRDN0003504282;BRDN0003504283	3	6.22574067795475	4.788988018209778	1.7934581818535023e-06	0.00019347826865835584	0.00019347826865835584
Sephs1	6	45;162;226;350;807;3667	BRDN0003506425;BRDN0003506424;BRDN0003506427;BRDN0003506422;BRDN0003506423;BRDN0003506426	5	6.024255440446876	4.194161012548968	2.869533091032217e-06	0.0002976588748659172	0.0002976588748659172
Slc39a1	6	60;67;73;623;1345;2197	BRDN0003507924;BRDN0003507927;BRDN0003507923;BRDN0003507922;BRDN0003507926;BRDN0003507925	3	5.904537231249948	4.418634887296581	4.304299636603837e-06	0.0004299517081452057	0.0003744740683845342
Ahcy	6	299;530;963;1003;1794;1904	BRDN0003494554;BRDN0003494558;BRDN0003494559;BRDN0003494555;BRDN0003494557;BRDN0003494556	6	5.902678470367662	3.290980661344854	4.304299636603837e-06	0.0004145962899971605	0.0003744740683845342
Txnrd1	6	74;200;256;319;1057;2540	BRDN0003509575;BRDN0003509574;BRDN0003509576;BRDN0003509573;BRDN0003509572;BRDN0003509577	4	5.8777719779675195	4.191577904003774	4.304299636603837e-06	0.0004002998662041572	0.0003744740683845342
Dpm3	6	190;194;242;322;6404;8332	BRDN0003498366;BRDN0003498365;BRDN0003498367;BRDN0003498364;BRDN0003498369;BRDN0003498368	4	5.8616558155333	2.998195432461611	4.304299636603837e-06	0.0003869565373306834	0.0003744740683845342
Mbtps2	4	12;26;225;659	BRDN0003510615;BRDN0003510617;BRDN0003510614;BRDN0003510616	4	5.778245098062889	4.604605922272704	4.304299636603837e-06	0.0003744740683845342	0.0003744740683845342
Pcyt1a	6	50;66;337;345;1647;12224	BRDN0003504473;BRDN0003504476;BRDN0003504475;BRDN0003504472;BRDN0003504474;BRDN0003504477	4	5.742912261995382	3.936039421933855	5.0216829093896465e-06	0.00042323371270699473	0.00042323371270699473
Keap1	6	38;55;99;433;995;3016	BRDN0003502201;BRDN0003502203;BRDN0003502198;BRDN0003502199;BRDN0003502200;BRDN0003502202	5	5.574189102058996	4.4875900834590805	7.891216000421863e-06	0.000644927562216297	0.000644927562216297
Rab10	4	102;274;395;765	BRDN0003510679;BRDN0003510681;BRDN0003510680;BRDN0003510678	4	5.5191410158244585	3.6183627348128815	9.325982545993483e-06	0.0007397698507807163	0.0007397698507807163
Kdm2a	6	85;98;146;860;1067;3781	BRDN0003502106;BRDN0003502107;BRDN0003502102;BRDN0003502104;BRDN0003502105;BRDN0003502103	5	5.424288731106165	3.94517079638173	1.3271590546315437e-05	0.001022670848668937	0.001022670848668937
Atp1a1	6	40;41;176;701;1129;9601	BRDN0003495466;BRDN0003495469;BRDN0003495467;BRDN0003495470;BRDN0003495468;BRDN0003495471	5	5.303202605896937	3.7168477580255286	1.8293273455705084e-05	0.0013704710697232361	0.0013704710697232361
Cept1	6	292;447;829;1116;1158;5390	BRDN0003496612;BRDN0003496615;BRDN0003496616;BRDN0003496617;BRDN0003496614;BRDN0003496613	5	5.248861823298204	3.0205474171078883	2.403233963788054e-05	0.0017517627027936202	0.0017517627027936202
Glyr1	6	398;1234;1248;1550;1988;2576	BRDN0003500040;BRDN0003500042;BRDN0003500043;BRDN0003500039;BRDN0003500038;BRDN0003500041	6	5.115004982531747	2.8199285980230524	3.371701382037795e-05	0.002393020691409452	0.002393020691409452
Srebf1	6	126;128;142;845;2324;14465	BRDN0003508775;BRDN0003508777;BRDN0003508779;BRDN0003508774;BRDN0003508778;BRDN0003508776	3	5.04257094189002	3.513797326575337	4.0890846548014004e-05	0.002827759311281898	0.002827759311281898
Slc33a1	6	54;124;152;2041;5289;7256	BRDN0003507684;BRDN0003507686;BRDN0003507687;BRDN0003507683;BRDN0003507685;BRDN0003507682	3	4.954621277969645	2.8528172691499067	4.9858137457725604e-05	0.003361684918087144	0.003361684918087144
Agk	6	149;244;990;1111;1401;11799	BRDN0003494487;BRDN0003494482;BRDN0003494484;BRDN0003494486;BRDN0003494485;BRDN0003494483	5	4.841399165389336	3.0188629368500046	6.599926109518428e-05	0.004341463589602742	0.004341463589602742
Fads2	6	160;199;290;632;2886;3410	BRDN0003498909;BRDN0003498904;BRDN0003498907;BRDN0003498906;BRDN0003498908;BRDN0003498905	4	4.705283440093023	3.432752427990688	9.469459200617258e-05	0.0060807455866820756	0.0060807455866820756
Dhfr	6	134;185;444;637;2216;3133	BRDN0003498188;BRDN0003498189;BRDN0003498184;BRDN0003498186;BRDN0003498187;BRDN0003498185	4	4.691839284073052	3.491863353702487	9.79228167335977e-05	0.006141810156523575	0.006141810156523575
Coq2	6	131;163;286;683;2372;6595	BRDN0003497234;BRDN0003497233;BRDN0003497232;BRDN0003497231;BRDN0003497235;BRDN0003497230	4	4.572973847759097	3.238037575697422	0.00012877029746294344	0.007893033914944505	0.007893033914944505
Nagpa	6	288;800;1036;1305;1644;3228	BRDN0003503332;BRDN0003503333;BRDN0003503336;BRDN0003503335;BRDN0003503337;BRDN0003503334	6	4.527078978358198	2.951356229575046	0.00014670487928225562	0.008792512431649878	0.008792512431649878
Dhrs7b	6	37;46;222;1115;2076;3645	BRDN0003498232;BRDN0003498237;BRDN0003498233;BRDN0003498235;BRDN0003498234;BRDN0003498236	3	4.466116635620116	3.729320023896625	0.00016212861964692848	0.009505671460603608	0.009324005926194022
Kctd10	6	202;272;340;1404;1674;9449	BRDN0003501981;BRDN0003501977;BRDN0003501976;BRDN0003501979;BRDN0003501978;BRDN0003501980	5	4.461868124203304	2.8630816710936657	0.0001624873112833214	0.009324005926194022	0.009324005926194022
Dlat	6	501;663;1024;1607;1730;8593	BRDN0003498287;BRDN0003498291;BRDN0003498288;BRDN0003498286;BRDN0003498289;BRDN0003498290	5	4.391876446192933	2.441924156042973	0.00019656301674009224	0.011044384503083931	0.011044384503083931
Coq4	6	606;743;1033;1719;1799;13432	BRDN0003497244;BRDN0003497245;BRDN0003497242;BRDN0003497246;BRDN0003497243;BRDN0003497247	5	4.308758797801901	2.4619591480104264	0.00023709517165182437	0.013049911794795272	0.013049911794795272
Kdm5c	6	78;220;260;5993;8368;9606	BRDN0003502166;BRDN0003502163;BRDN0003502164;BRDN0003502165;BRDN0003502167;BRDN0003502162	3	4.262990700359846	2.0898480810660867	0.0002675839607447772	0.014433478842573283	0.014433478842573283
Alg9	6	112;141;347;825;5360;8299	BRDN0003494894;BRDN0003494892;BRDN0003494893;BRDN0003494890;BRDN0003494891;BRDN0003494895	4	4.251853621461113	2.795015971872157	0.00027368171856334556	0.014472933234614528	0.014472933234614528
Gsr	6	89;327;370;897;4268;7031	BRDN0003500390;BRDN0003500388;BRDN0003500391;BRDN0003500387;BRDN0003500389;BRDN0003500386	4	4.110077155858086	2.8037206061396684	0.0003820065927522265	0.01981291885870683	0.01981291885870683
Pikfyve	6	282;817;880;920;7507;9767	BRDN0003505142;BRDN0003505139;BRDN0003505141;BRDN0003505143;BRDN0003505138;BRDN0003505140	4	4.0672415474138255	2.0823077196649744	0.000421103981118387	0.02142863088823183	0.02142863088823183
Sephs2	6	103;218;832;969;3755;10202	BRDN0003506429;BRDN0003506432;BRDN0003506433;BRDN0003506428;BRDN0003506431;BRDN0003506430	4	3.97954412809358	2.540398913555051	0.0005057552073057803	0.025259662853772038	0.025259662853772038
Fbp2	6	888;1124;1203;1321;2111;13441	BRDN0003498974;BRDN0003498971;BRDN0003498970;BRDN0003498972;BRDN0003498975;BRDN0003498973	5	3.9697424399864496	2.3538826443780194	0.0005186681062157028	0.025433597862977227	0.025433597862977227
Pdha1	6	161;231;677;1027;2194;7491	BRDN0003504635;BRDN0003504634;BRDN0003504636;BRDN0003504638;BRDN0003504639;BRDN0003504637	5	3.8882270273430133	2.848813844056915	0.0006323733549503663	0.030455552469663198	0.030455552469663198
Mpi	6	378;1273;1658;1751;2248;12801	BRDN0003503096;BRDN0003503093;BRDN0003503095;BRDN0003503092;BRDN0003503094;BRDN0003503097	5	3.836883352798698	2.2003400282890193	0.0007091333651372267	0.03355320501359819	0.03355320501359819
Naa35	6	106;634;791;1766;2297;17081	BRDN0003503256;BRDN0003503259;BRDN0003503255;BRDN0003503258;BRDN0003503254;BRDN0003503257	5	3.7913841868680977	2.5803146574369107	0.0007830238422330549	0.03641060866383709	0.03641060866383709
Itgb3	6	168;295;964;1283;3472;4357	BRDN0003501385;BRDN0003501386;BRDN0003501384;BRDN0003501382;BRDN0003501387;BRDN0003501383	6	3.7455547750438707	2.751226772146809	0.0008726967513298378	0.03989259556502659	0.03989259556502659
Fads3	6	470;593;1293;1523;2549;5413	BRDN0003498914;BRDN0003498911;BRDN0003498912;BRDN0003498913;BRDN0003498910;BRDN0003498915	5	3.572215071556498	2.492593829262189	0.0012647467099009546	0.05685036461004797	0.05593706396547467
Scd1	6	83;820;907;1701;2558;6020	BRDN0003506240;BRDN0003506237;BRDN0003506238;BRDN0003506239;BRDN0003506236;BRDN0003506241	5	3.5648091113174405	2.561429636116132	0.0012830399833566597	0.05672719401824437	0.05593706396547467
Sc5d	6	485;843;2035;2158;2560;14325	BRDN0003506216;BRDN0003506214;BRDN0003506212;BRDN0003506213;BRDN0003506215;BRDN0003506217	5	3.563167018669427	2.073767706474913	0.001285909516447692	0.05593706396547467	0.05593706396547467
Vkorc1l1	6	500;851;960;1274;9815;13215	BRDN0003509954;BRDN0003509951;BRDN0003509953;BRDN0003509955;BRDN0003509952;BRDN0003509950	4	3.5195458952308383	1.8928353202037989	0.0014329730873664515	0.06134489550202088	0.06134489550202088
Adcy9	6	355;572;2042;2045;2673;14723	BRDN0003494375;BRDN0003494379;BRDN0003494378;BRDN0003494374;BRDN0003494376;BRDN0003494377	5	3.472492809935409	2.1583134364650194	0.001587569182649351	0.0669011575875829	0.06676488563392613
Mat2a	6	349;558;567;1555;4370;4850	BRDN0003502685;BRDN0003502687;BRDN0003502684;BRDN0003502689;BRDN0003502686;BRDN0003502688	6	3.4662297030448133	2.545612386234105	0.0016090906808324812	0.06676488563392613	0.06676488563392613
Ip6k2	6	1884;3311;3873;3951;4408;4905	BRDN0003501338;BRDN0003501335;BRDN0003501334;BRDN0003501339;BRDN0003501337;BRDN0003501336	6	3.4368460643625913	1.6186906387683082	0.0017123938721119725	0.06997464050130298	0.06997464050130298
Aco1	6	127;712;1492;2087;2764;11147	BRDN0003494075;BRDN0003494078;BRDN0003494079;BRDN0003494074;BRDN0003494077;BRDN0003494076	5	3.402326991260445	2.259319000292056	0.0018494140772119527	0.07444581740657662	0.07289083469570808
Pgk1	6	86;1064;1094;1665;2767;9573	BRDN0003504800;BRDN0003504797;BRDN0003504796;BRDN0003504801;BRDN0003504798;BRDN0003504799	5	3.4000550332387838	2.2638764770479214	0.0018551531433941282	0.07357864746667606	0.07289083469570808
Foxo1	6	367;1729;2955;4464;4559;4980	BRDN0003499125;BRDN0003499122;BRDN0003499123;BRDN0003499124;BRDN0003499120;BRDN0003499121	6	3.3973040781000896	1.767570064382792	0.0018648378175765146	0.07289083469570808	0.07289083469570808
Gm3776	6	657;997;1021;1463;6023;10063	BRDN0003510155;BRDN0003510156;BRDN0003510154;BRDN0003510157;BRDN0003510159;BRDN0003510158	4	3.2889181447386173	1.9000693533882809	0.0023677234917912626	0.09122500367658638	0.09122500367658638
Kdm3b	6	221;1157;1793;2496;2969;10039	BRDN0003502120;BRDN0003502123;BRDN0003502124;BRDN0003502122;BRDN0003502121;BRDN0003502125	5	3.2527192691129136	1.9343619582917	0.002556753984167326	0.09712064077886304	0.09712064077886304
Sphk2	6	334;434;729;1596;3331;7455	BRDN0003508715;BRDN0003508719;BRDN0003508717;BRDN0003508718;BRDN0003508714;BRDN0003508716	4	3.1446351537993213	2.4294531879280172	0.003268398190759303	0.12242874889552578	0.12215634798454272
Txnrd2	6	1266;1308;4868;4869;4985;5498	BRDN0003509581;BRDN0003509578;BRDN0003509579;BRDN0003509580;BRDN0003509583;BRDN0003509582	6	3.139451721613697	1.5562045149540398	0.0033064195042163957	0.12215634798454272	0.12215634798454272
Cyp2b10	6	489;581;653;8252;8488;17085	BRDN0003497749;BRDN0003497751;BRDN0003497750;BRDN0003497747;BRDN0003497748;BRDN0003497746	3	3.0918007493666773	1.5440581682244583	0.0036769479646042713	0.13400984676402297	0.13400984676402297
Spns1	6	1592;1716;2639;3354;3772;5771	BRDN0003508724;BRDN0003508725;BRDN0003508722;BRDN0003508720;BRDN0003508723;BRDN0003508721	6	3.0131736888064187	1.780088819809243	0.0043283319762832395	0.1556468178671453	0.15433032807194697
Pgam1	6	105;1790;1984;4522;5337;5784	BRDN0003504771;BRDN0003504768;BRDN0003504770;BRDN0003504769;BRDN0003504766;BRDN0003504767	6	3.0073104289395487	1.8012302536375635	0.004385363946468823	0.15562271794245255	0.15433032807194697
Slc25a37	6	552;1191;1584;2931;3343;12569	BRDN0003507308;BRDN0003507309;BRDN0003507304;BRDN0003507306;BRDN0003507305;BRDN0003507307	5	3.0057846961868293	1.859936867431038	0.004406168061379279	0.15433032807194697	0.15433032807194697
Hnmt	6	2600;3069;3204;4646;5396;5811	BRDN0003500843;BRDN0003500845;BRDN0003500842;BRDN0003500844;BRDN0003500847;BRDN0003500846	6	2.9951748820257555	1.4679689699111784	0.0045033734948402016	0.15571279891774364	0.15571279891774364
Acad8	6	302;466;2707;4987;5590;5852	BRDN0003493943;BRDN0003493945;BRDN0003493942;BRDN0003493944;BRDN0003493947;BRDN0003493946	6	2.9768542299387555	1.7997760062078798	0.0046863062293975855	0.15998693545171255	0.1597390026804879
Kcnj1	6	156;158;1466;4372;9790;11321	BRDN0003501673;BRDN0003501670;BRDN0003501672;BRDN0003501674;BRDN0003501675;BRDN0003501671	2	2.9685170108262104	1.7693396448523508	0.004785305121040473	0.1613245988930767	0.1597390026804879
Pmvk	6	369;420;1963;2736;4484;5873	BRDN0003505573;BRDN0003505570;BRDN0003505574;BRDN0003505572;BRDN0003505575;BRDN0003505571	6	2.967520129600652	2.084088812733212	0.00479750063667761	0.1597390026804879	0.1597390026804879
