p-value=0 means <3.586916362818826e-07, FDR=0 means <1.867955675098726e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Control-target	1000	294;572;590;693;733;821;978;994;1016;1036;1072;1239;1243;1249;1259;1340;1400;1404;1407;1446;1450;1559;1642;1651;1670;1676;1677;1686;1688;1696;1706;1752;1841;1851;1878;1983;2001;2011;2046;2110;2159;2242;2267;2268;2284;2325;2357;2392;2418;2446;2450;2458;2507;2511;2540;2585;2595;2597;2631;2632;2633;2634;2670;2696;2723;2744;2754;2773;2780;2827;2832;2858;2863;2881;2904;2908;2913;2927;2930;2933;2960;2980;3001;3072;3079;3108;3116;3147;3158;3171;3178;3235;3280;3318;3329;3343;3356;3365;3382;3442;3474;3477;3495;3524;3564;3600;3622;3634;3656;3657;3670;3683;3716;3726;3758;3800;3807;3819;3885;3902;3962;3983;3993;4026;4036;4088;4118;4152;4200;4212;4249;4300;4340;4341;4375;4422;4432;4433;4455;4473;4480;4495;4521;4539;4545;4554;4647;4683;4714;4735;4755;4780;4790;4809;4822;4842;4921;4934;4935;4945;4978;4993;5013;5061;5122;5142;5175;5195;5221;5236;5239;5241;5243;5283;5284;5287;5288;5291;5303;5305;5323;5327;5393;5430;5438;5452;5541;5578;5601;5612;5613;5657;5672;5677;5705;5723;5736;5738;5751;5762;5774;5777;5778;5779;5783;5830;5846;5860;5884;5887;5909;5917;5919;5971;6000;6049;6057;6091;6133;6143;6151;6155;6172;6182;6189;6193;6229;6238;6276;6282;6297;6301;6334;6335;6366;6380;6427;6478;6525;6526;6588;6609;6628;6637;6644;6663;6669;6679;6685;6710;6723;6755;6803;6807;6809;6853;6863;6880;6963;6974;7016;7032;7035;7041;7046;7054;7055;7058;7089;7098;7144;7147;7152;7194;7204;7223;7236;7243;7259;7260;7324;7330;7364;7392;7470;7497;7498;7512;7521;7548;7570;7592;7608;7646;7654;7657;7682;7685;7692;7713;7723;7734;7736;7752;7754;7780;7788;7801;7819;7828;7830;7879;7894;7910;7942;7957;7958;7975;7982;7999;8006;8050;8064;8088;8091;8109;8110;8112;8120;8136;8137;8165;8168;8192;8218;8224;8261;8316;8323;8351;8353;8356;8361;8375;8383;8385;8388;8470;8483;8494;8496;8505;8510;8522;8540;8554;8588;8652;8686;8689;8695;8707;8730;8742;8785;8813;8823;8827;8837;8868;8975;8983;9003;9022;9031;9066;9089;9119;9122;9141;9147;9150;9159;9166;9194;9198;9260;9267;9280;9283;9301;9307;9359;9372;9374;9398;9399;9423;9451;9496;9505;9507;9509;9512;9541;9546;9557;9585;9591;9593;9596;9598;9601;9662;9672;9676;9684;9689;9698;9704;9705;9741;9742;9757;9768;9769;9781;9798;9825;9848;9852;9858;9894;9898;9899;9939;9946;9995;10003;10004;10010;10034;10044;10045;10063;10067;10092;10112;10119;10124;10131;10138;10139;10170;10232;10258;10272;10283;10287;10289;10333;10341;10351;10362;10381;10386;10405;10412;10439;10448;10466;10476;10483;10487;10491;10536;10557;10560;10565;10612;10615;10669;10673;10677;10727;10729;10771;10774;10776;10803;10816;10825;10830;10835;10848;10858;10868;10878;10903;10916;10930;10937;10974;10986;10992;11061;11067;11070;11080;11092;11107;11110;11133;11134;11148;11163;11179;11184;11222;11235;11249;11265;11273;11280;11291;11308;11325;11348;11351;11356;11361;11369;11371;11373;11381;11396;11398;11420;11437;11463;11467;11499;11529;11533;11547;11549;11564;11580;11585;11610;11620;11649;11681;11696;11706;11709;11724;11758;11760;11832;11837;11867;11877;11880;11890;11909;11918;11920;11922;11952;11967;11978;12019;12036;12064;12072;12074;12086;12091;12108;12110;12149;12160;12178;12184;12209;12233;12239;12242;12259;12271;12310;12339;12390;12398;12402;12419;12437;12439;12468;12503;12506;12528;12534;12541;12549;12557;12566;12572;12586;12634;12646;12655;12676;12679;12697;12707;12714;12739;12760;12792;12836;12844;12861;12882;12893;12894;12895;12896;12898;12907;12909;12947;12965;12968;12980;13024;13064;13071;13088;13110;13111;13113;13149;13184;13193;13203;13216;13243;13257;13260;13262;13315;13321;13328;13358;13388;13391;13398;13432;13448;13456;13491;13511;13519;13524;13548;13567;13608;13609;13614;13664;13666;13698;13701;13712;13719;13722;13733;13749;13760;13776;13816;13829;13841;13843;13853;13877;13879;13886;13896;13897;13903;13983;13989;13994;14002;14023;14027;14034;14074;14079;14085;14103;14131;14195;14201;14212;14229;14264;14303;14313;14318;14344;14354;14370;14390;14395;14403;14405;14408;14413;14425;14446;14495;14502;14509;14522;14564;14565;14580;14601;14621;14624;14646;14726;14732;14740;14755;14797;14833;14852;14859;14877;14878;14883;14920;14933;14948;14969;14976;14978;14985;14996;15095;15121;15139;15168;15188;15202;15210;15212;15220;15223;15249;15255;15265;15290;15316;15365;15383;15393;15397;15401;15410;15422;15425;15428;15435;15485;15487;15510;15521;15538;15550;15551;15568;15576;15577;15583;15586;15588;15592;15595;15598;15631;15640;15643;15655;15660;15682;15696;15713;15714;15721;15748;15751;15760;15794;15807;15822;15826;15827;15834;15845;15846;15876;15899;15901;15941;15957;15976;15978;15995;15996;15997;16013;16028;16038;16055;16100;16107;16108;16115;16117;16158;16190;16200;16213;16216;16232;16235;16238;16243;16249;16284;16306;16308;16317;16326;16330;16342;16343;16348;16349;16361;16387;16421;16441;16459;16466;16517;16522;16527;16529;16535;16541;16588;16599;16605;16606;16608;16629;16639;16648;16663;16667;16672;16674;16687;16694;16700;16710;16716;16731;16762;16778;16792;16799;16800;16813;16815;16818;16829;16838;16850;16853;16860;16861;16887;16899;16921;16925;16929;16934;16942;16948;16949;16951;16985;16986;16987;17043;17063;17078;17085;17124;17126;17128;17145;17151;17244;17273;17275;17280;17295;17299;17301;17304;17335;17357;17365;17367;17395;17408;17410;17413;17417;17436;17459;17463;17478;17481;17490;17499;17530;17558;17559;17576;17604;17609;17615;17654;17655;17701;17708;17724;17725;17730;17752;17753;17766;17771;17772;17782;17794;17808;17824;17856;17862;17884;17895;17899;17921;17937;17941;17942;17944;17958;17986;17991;17994;17996;18002;18016;18028;18029;18055;18105;18113;18116;18152;18158;18161;18162;18164;18173;18195;18263;18311	BRDN0003511275;BRDN0003511618;BRDN0003510863;BRDN0003511040;BRDN0003511692;BRDN0003511106;BRDN0003510873;BRDN0003510895;BRDN0003511350;BRDN0003510925;BRDN0003511057;BRDN0003510942;BRDN0003511525;BRDN0003510987;BRDN0003511026;BRDN0003510967;BRDN0003511228;BRDN0003511048;BRDN0003511568;BRDN0003511174;BRDN0003511023;BRDN0003510949;BRDN0003511793;BRDN0003511263;BRDN0003511538;BRDN0003511619;BRDN0003511576;BRDN0003511287;BRDN0003511284;BRDN0003511564;BRDN0003511208;BRDN0003511137;BRDN0003511683;BRDN0003511520;BRDN0003511009;BRDN0003511571;BRDN0003511685;BRDN0003511075;BRDN0003511784;BRDN0003511615;BRDN0003511378;BRDN0003511121;BRDN0003511766;BRDN0003511765;BRDN0003511147;BRDN0003511785;BRDN0003511253;BRDN0003510998;BRDN0003511165;BRDN0003511658;BRDN0003511499;BRDN0003511034;BRDN0003511118;BRDN0003511218;BRDN0003510961;BRDN0003511498;BRDN0003511277;BRDN0003510932;BRDN0003511757;BRDN0003511282;BRDN0003511677;BRDN0003511660;BRDN0003510844;BRDN0003510979;BRDN0003511239;BRDN0003511486;BRDN0003510847;BRDN0003511366;BRDN0003511808;BRDN0003511281;BRDN0003510988;BRDN0003510864;BRDN0003511300;BRDN0003510980;BRDN0003511579;BRDN0003511370;BRDN0003511216;BRDN0003511157;BRDN0003511162;BRDN0003511030;BRDN0003510867;BRDN0003511193;BRDN0003511134;BRDN0003511368;BRDN0003511205;BRDN0003511364;BRDN0003510929;BRDN0003511324;BRDN0003511745;BRDN0003511631;BRDN0003511291;BRDN0003510911;BRDN0003511425;BRDN0003511554;BRDN0003511578;BRDN0003510840;BRDN0003511585;BRDN0003511764;BRDN0003510885;BRDN0003510997;BRDN0003511777;BRDN0003511334;BRDN0003511698;BRDN0003511286;BRDN0003511017;BRDN0003511649;BRDN0003511247;BRDN0003511080;BRDN0003511465;BRDN0003511153;BRDN0003511341;BRDN0003511290;BRDN0003511201;BRDN0003511265;BRDN0003511305;BRDN0003511185;BRDN0003511701;BRDN0003511613;BRDN0003510935;BRDN0003511044;BRDN0003511372;BRDN0003511055;BRDN0003511142;BRDN0003511406;BRDN0003511189;BRDN0003511279;BRDN0003511053;BRDN0003511805;BRDN0003511229;BRDN0003511723;BRDN0003511610;BRDN0003511629;BRDN0003510920;BRDN0003510876;BRDN0003511697;BRDN0003511473;BRDN0003511724;BRDN0003510831;BRDN0003511763;BRDN0003511657;BRDN0003510983;BRDN0003510857;BRDN0003511112;BRDN0003510928;BRDN0003510951;BRDN0003511418;BRDN0003511345;BRDN0003511506;BRDN0003511426;BRDN0003511070;BRDN0003511543;BRDN0003510893;BRDN0003510948;BRDN0003511288;BRDN0003510936;BRDN0003511072;BRDN0003511365;BRDN0003511706;BRDN0003511590;BRDN0003511025;BRDN0003511453;BRDN0003511778;BRDN0003510887;BRDN0003511577;BRDN0003511563;BRDN0003511085;BRDN0003511444;BRDN0003510904;BRDN0003510960;BRDN0003511140;BRDN0003511271;BRDN0003511194;BRDN0003510986;BRDN0003511719;BRDN0003511037;BRDN0003511074;BRDN0003511182;BRDN0003511067;BRDN0003510952;BRDN0003510889;BRDN0003511730;BRDN0003511220;BRDN0003511278;BRDN0003511353;BRDN0003511612;BRDN0003511016;BRDN0003511259;BRDN0003511769;BRDN0003511435;BRDN0003510848;BRDN0003510824;BRDN0003511338;BRDN0003511709;BRDN0003510871;BRDN0003510901;BRDN0003511235;BRDN0003511482;BRDN0003511670;BRDN0003511708;BRDN0003511135;BRDN0003511230;BRDN0003511264;BRDN0003511045;BRDN0003511093;BRDN0003511468;BRDN0003511646;BRDN0003511772;BRDN0003510872;BRDN0003511360;BRDN0003510953;BRDN0003511274;BRDN0003510956;BRDN0003510833;BRDN0003511721;BRDN0003511198;BRDN0003511303;BRDN0003511570;BRDN0003511342;BRDN0003511357;BRDN0003511027;BRDN0003511460;BRDN0003510860;BRDN0003511069;BRDN0003510855;BRDN0003511395;BRDN0003511396;BRDN0003510841;BRDN0003511755;BRDN0003511155;BRDN0003511505;BRDN0003511152;BRDN0003511446;BRDN0003511002;BRDN0003511530;BRDN0003511439;BRDN0003511760;BRDN0003511175;BRDN0003510852;BRDN0003511487;BRDN0003511702;BRDN0003511167;BRDN0003511548;BRDN0003510950;BRDN0003511510;BRDN0003511599;BRDN0003511332;BRDN0003511104;BRDN0003511196;BRDN0003510827;BRDN0003511328;BRDN0003511124;BRDN0003511349;BRDN0003511329;BRDN0003511187;BRDN0003511700;BRDN0003511726;BRDN0003510918;BRDN0003511714;BRDN0003511221;BRDN0003511549;BRDN0003510982;BRDN0003511283;BRDN0003511358;BRDN0003511481;BRDN0003511458;BRDN0003511617;BRDN0003511398;BRDN0003511600;BRDN0003511197;BRDN0003511156;BRDN0003511550;BRDN0003511369;BRDN0003511806;BRDN0003510835;BRDN0003511624;BRDN0003511641;BRDN0003511811;BRDN0003511684;BRDN0003511133;BRDN0003511462;BRDN0003511001;BRDN0003511361;BRDN0003511750;BRDN0003511699;BRDN0003511490;BRDN0003510905;BRDN0003511759;BRDN0003511489;BRDN0003511451;BRDN0003510937;BRDN0003511718;BRDN0003510921;BRDN0003511301;BRDN0003511589;BRDN0003511151;BRDN0003511609;BRDN0003511313;BRDN0003511176;BRDN0003510899;BRDN0003511627;BRDN0003511004;BRDN0003511319;BRDN0003511442;BRDN0003511143;BRDN0003511315;BRDN0003511296;BRDN0003511816;BRDN0003511367;BRDN0003511493;BRDN0003511129;BRDN0003510854;BRDN0003511333;BRDN0003511399;BRDN0003511591;BRDN0003510927;BRDN0003510972;BRDN0003511512;BRDN0003511496;BRDN0003511084;BRDN0003511739;BRDN0003511052;BRDN0003510907;BRDN0003511809;BRDN0003511754;BRDN0003511715;BRDN0003511320;BRDN0003511526;BRDN0003511373;BRDN0003511297;BRDN0003511213;BRDN0003511209;BRDN0003511195;BRDN0003511623;BRDN0003510943;BRDN0003510996;BRDN0003511064;BRDN0003511748;BRDN0003510966;BRDN0003511756;BRDN0003511775;BRDN0003511504;BRDN0003511507;BRDN0003511532;BRDN0003511768;BRDN0003511170;BRDN0003510877;BRDN0003511317;BRDN0003511123;BRDN0003511066;BRDN0003511452;BRDN0003510994;BRDN0003511257;BRDN0003511461;BRDN0003510878;BRDN0003511565;BRDN0003511086;BRDN0003511661;BRDN0003511477;BRDN0003511648;BRDN0003511200;BRDN0003511518;BRDN0003511656;BRDN0003511252;BRDN0003511795;BRDN0003511593;BRDN0003510866;BRDN0003511734;BRDN0003511607;BRDN0003511240;BRDN0003511752;BRDN0003511667;BRDN0003511598;BRDN0003510903;BRDN0003511199;BRDN0003511665;BRDN0003510963;BRDN0003511527;BRDN0003511645;BRDN0003511622;BRDN0003511108;BRDN0003511013;BRDN0003511621;BRDN0003510845;BRDN0003510917;BRDN0003510977;BRDN0003511758;BRDN0003511595;BRDN0003511552;BRDN0003511542;BRDN0003511217;BRDN0003511643;BRDN0003511675;BRDN0003511050;BRDN0003511132;BRDN0003511559;BRDN0003511601;BRDN0003511126;BRDN0003511633;BRDN0003511169;BRDN0003510945;BRDN0003511076;BRDN0003511588;BRDN0003511337;BRDN0003511592;BRDN0003511348;BRDN0003511267;BRDN0003511204;BRDN0003511678;BRDN0003511077;BRDN0003511472;BRDN0003510924;BRDN0003510898;BRDN0003510993;BRDN0003511440;BRDN0003511459;BRDN0003510832;BRDN0003511536;BRDN0003511402;BRDN0003511586;BRDN0003510834;BRDN0003511652;BRDN0003511144;BRDN0003511630;BRDN0003511206;BRDN0003511355;BRDN0003511021;BRDN0003511416;BRDN0003511681;BRDN0003511783;BRDN0003511331;BRDN0003511534;BRDN0003511547;BRDN0003511422;BRDN0003511779;BRDN0003511737;BRDN0003511006;BRDN0003511497;BRDN0003511380;BRDN0003510896;BRDN0003511614;BRDN0003510995;BRDN0003511467;BRDN0003511295;BRDN0003511725;BRDN0003511427;BRDN0003511101;BRDN0003511403;BRDN0003511161;BRDN0003511502;BRDN0003510886;BRDN0003511528;BRDN0003511476;BRDN0003511491;BRDN0003511651;BRDN0003511014;BRDN0003511558;BRDN0003510880;BRDN0003511335;BRDN0003511184;BRDN0003511474;BRDN0003511138;BRDN0003511790;BRDN0003511802;BRDN0003511545;BRDN0003511336;BRDN0003511038;BRDN0003511611;BRDN0003511260;BRDN0003511796;BRDN0003511107;BRDN0003511749;BRDN0003511415;BRDN0003511130;BRDN0003511160;BRDN0003511202;BRDN0003511620;BRDN0003510934;BRDN0003511159;BRDN0003511819;BRDN0003510971;BRDN0003511443;BRDN0003511256;BRDN0003511456;BRDN0003511236;BRDN0003511376;BRDN0003511541;BRDN0003511710;BRDN0003511786;BRDN0003511523;BRDN0003511056;BRDN0003511149;BRDN0003511285;BRDN0003511268;BRDN0003511544;BRDN0003511567;BRDN0003511501;BRDN0003511388;BRDN0003511424;BRDN0003511480;BRDN0003511389;BRDN0003511154;BRDN0003511551;BRDN0003511672;BRDN0003511226;BRDN0003511788;BRDN0003511344;BRDN0003511727;BRDN0003511696;BRDN0003511517;BRDN0003511095;BRDN0003511327;BRDN0003510985;BRDN0003511223;BRDN0003511183;BRDN0003511774;BRDN0003511065;BRDN0003511046;BRDN0003510856;BRDN0003510992;BRDN0003511417;BRDN0003511606;BRDN0003511584;BRDN0003511628;BRDN0003511751;BRDN0003511509;BRDN0003511454;BRDN0003510984;BRDN0003511483;BRDN0003511494;BRDN0003511732;BRDN0003511243;BRDN0003511632;BRDN0003510826;BRDN0003511362;BRDN0003511015;BRDN0003511703;BRDN0003511384;BRDN0003510846;BRDN0003510900;BRDN0003511818;BRDN0003511776;BRDN0003511566;BRDN0003511673;BRDN0003511792;BRDN0003511733;BRDN0003511691;BRDN0003511639;BRDN0003511082;BRDN0003511326;BRDN0003511492;BRDN0003511131;BRDN0003511010;BRDN0003511125;BRDN0003511429;BRDN0003510836;BRDN0003511173;BRDN0003510842;BRDN0003511433;BRDN0003511511;BRDN0003511597;BRDN0003511747;BRDN0003510976;BRDN0003511238;BRDN0003511540;BRDN0003511404;BRDN0003510978;BRDN0003511668;BRDN0003511744;BRDN0003511071;BRDN0003511289;BRDN0003510964;BRDN0003511096;BRDN0003511432;BRDN0003511799;BRDN0003511354;BRDN0003511557;BRDN0003511569;BRDN0003511575;BRDN0003511531;BRDN0003510892;BRDN0003511529;BRDN0003510944;BRDN0003511356;BRDN0003510962;BRDN0003511436;BRDN0003510829;BRDN0003511322;BRDN0003510869;BRDN0003511012;BRDN0003510862;BRDN0003511596;BRDN0003511438;BRDN0003511437;BRDN0003511141;BRDN0003511237;BRDN0003510843;BRDN0003510858;BRDN0003511393;BRDN0003511088;BRDN0003511401;BRDN0003511316;BRDN0003511484;BRDN0003511655;BRDN0003511455;BRDN0003511166;BRDN0003511063;BRDN0003511717;BRDN0003511503;BRDN0003511798;BRDN0003511171;BRDN0003510875;BRDN0003511475;BRDN0003511392;BRDN0003511626;BRDN0003511262;BRDN0003511028;BRDN0003511735;BRDN0003511215;BRDN0003511479;BRDN0003511192;BRDN0003511695;BRDN0003511782;BRDN0003510959;BRDN0003511508;BRDN0003511078;BRDN0003511039;BRDN0003510910;BRDN0003511035;BRDN0003511307;BRDN0003511351;BRDN0003511515;BRDN0003511115;BRDN0003511273;BRDN0003510912;BRDN0003511414;BRDN0003511000;BRDN0003511371;BRDN0003511674;BRDN0003511181;BRDN0003511191;BRDN0003511654;BRDN0003511178;BRDN0003511762;BRDN0003511225;BRDN0003510865;BRDN0003511753;BRDN0003510849;BRDN0003511707;BRDN0003511694;BRDN0003511625;BRDN0003510859;BRDN0003511810;BRDN0003511741;BRDN0003511421;BRDN0003511311;BRDN0003511146;BRDN0003511636;BRDN0003511032;BRDN0003511419;BRDN0003511321;BRDN0003511801;BRDN0003511555;BRDN0003511347;BRDN0003511352;BRDN0003511343;BRDN0003511387;BRDN0003511164;BRDN0003511572;BRDN0003511693;BRDN0003511797;BRDN0003511781;BRDN0003511408;BRDN0003511020;BRDN0003511136;BRDN0003511168;BRDN0003511445;BRDN0003511470;BRDN0003511318;BRDN0003511729;BRDN0003511323;BRDN0003510881;BRDN0003511254;BRDN0003511309;BRDN0003510913;BRDN0003511767;BRDN0003511720;BRDN0003511746;BRDN0003511524;BRDN0003511246;BRDN0003511059;BRDN0003511042;BRDN0003511128;BRDN0003510981;BRDN0003511738;BRDN0003511139;BRDN0003511500;BRDN0003511127;BRDN0003511535;BRDN0003511251;BRDN0003511122;BRDN0003511513;BRDN0003510940;BRDN0003510915;BRDN0003511686;BRDN0003511582;BRDN0003511379;BRDN0003511043;BRDN0003511659;BRDN0003511478;BRDN0003511105;BRDN0003511190;BRDN0003511616;BRDN0003511212;BRDN0003511713;BRDN0003511813;BRDN0003511821;BRDN0003511081;BRDN0003511669;BRDN0003510894;BRDN0003511690;BRDN0003511241;BRDN0003511383;BRDN0003511280;BRDN0003511258;BRDN0003511736;BRDN0003511381;BRDN0003511302;BRDN0003511689;BRDN0003511111;BRDN0003511386;BRDN0003511638;BRDN0003511089;BRDN0003511234;BRDN0003510926;BRDN0003511079;BRDN0003510822;BRDN0003511382;BRDN0003511110;BRDN0003511789;BRDN0003511103;BRDN0003511242;BRDN0003510923;BRDN0003511224;BRDN0003511031;BRDN0003511807;BRDN0003511090;BRDN0003511109;BRDN0003511434;BRDN0003511120;BRDN0003511604;BRDN0003511676;BRDN0003511308;BRDN0003511312;BRDN0003510879;BRDN0003510850;BRDN0003511227;BRDN0003511410;BRDN0003511068;BRDN0003511244;BRDN0003510916;BRDN0003510999;BRDN0003511219;BRDN0003511428;BRDN0003511485;BRDN0003511537;BRDN0003511519;BRDN0003511463;BRDN0003511188;BRDN0003511029;BRDN0003511255;BRDN0003511495;BRDN0003511061;BRDN0003510955;BRDN0003511346;BRDN0003511560;BRDN0003511573;BRDN0003511325;BRDN0003511521;BRDN0003510830;BRDN0003511180;BRDN0003511041;BRDN0003511003;BRDN0003510888;BRDN0003511644;BRDN0003511679;BRDN0003511449;BRDN0003511293;BRDN0003510902;BRDN0003511731;BRDN0003511094;BRDN0003511680;BRDN0003510965;BRDN0003511556;BRDN0003511098;BRDN0003511340;BRDN0003511583;BRDN0003511314;BRDN0003510861;BRDN0003511374;BRDN0003510825;BRDN0003511761;BRDN0003511704;BRDN0003511091;BRDN0003511466;BRDN0003510874;BRDN0003511148;BRDN0003511385;BRDN0003511787;BRDN0003510947;BRDN0003511488;BRDN0003510914;BRDN0003511272;BRDN0003511688;BRDN0003511780;BRDN0003511430;BRDN0003511292;BRDN0003511413;BRDN0003511817;BRDN0003511276;BRDN0003511119;BRDN0003511391;BRDN0003511007;BRDN0003511605;BRDN0003510974;BRDN0003511310;BRDN0003511608;BRDN0003511092;BRDN0003510990;BRDN0003511269;BRDN0003511712;BRDN0003511464;BRDN0003511375;BRDN0003511377;BRDN0003511400;BRDN0003510991;BRDN0003511298;BRDN0003511553;BRDN0003511728;BRDN0003510909;BRDN0003510946;BRDN0003511815;BRDN0003511412;BRDN0003511711;BRDN0003510828;BRDN0003511522;BRDN0003511450;BRDN0003511390;BRDN0003511814;BRDN0003511207;BRDN0003511294;BRDN0003511771;BRDN0003511602;BRDN0003511740;BRDN0003511060;BRDN0003511671;BRDN0003511516;BRDN0003511397;BRDN0003511800;BRDN0003511339;BRDN0003511650;BRDN0003511653;BRDN0003511581;BRDN0003511687;BRDN0003511102;BRDN0003510958;BRDN0003511773;BRDN0003510870;BRDN0003511587;BRDN0003511249;BRDN0003510968;BRDN0003511634;BRDN0003510851;BRDN0003511363;BRDN0003511087;BRDN0003511580;BRDN0003511033;BRDN0003511214;BRDN0003511062;BRDN0003510941;BRDN0003511231;BRDN0003511394;BRDN0003511562;BRDN0003511471;BRDN0003511647;BRDN0003511663;BRDN0003511172;BRDN0003511150;BRDN0003510969;BRDN0003511163;BRDN0003511073;BRDN0003511233;BRDN0003510884;BRDN0003511812;BRDN0003511441;BRDN0003510930;BRDN0003510957;BRDN0003510838;BRDN0003511058;BRDN0003511642;BRDN0003511083;BRDN0003511407;BRDN0003511186;BRDN0003511011;BRDN0003511420;BRDN0003511330;BRDN0003510839;BRDN0003511666;BRDN0003510931;BRDN0003511640;BRDN0003511266;BRDN0003511232;BRDN0003511047;BRDN0003511457;BRDN0003511117;BRDN0003511405;BRDN0003511803;BRDN0003511447;BRDN0003511411;BRDN0003511359;BRDN0003511431;BRDN0003510973;BRDN0003511546;BRDN0003511051;BRDN0003510975;BRDN0003511248;BRDN0003511574;BRDN0003511306;BRDN0003511024;BRDN0003510908;BRDN0003511022;BRDN0003510868;BRDN0003511211;BRDN0003511049;BRDN0003511304;BRDN0003510954;BRDN0003511261;BRDN0003511794;BRDN0003511635;BRDN0003511539;BRDN0003511742;BRDN0003511804;BRDN0003510890;BRDN0003511770;BRDN0003511100;BRDN0003511722;BRDN0003511423;BRDN0003511179;BRDN0003510823;BRDN0003510922;BRDN0003510939;BRDN0003511177;BRDN0003511299;BRDN0003510853;BRDN0003511469;BRDN0003510933;BRDN0003511116;BRDN0003511603;BRDN0003511743;BRDN0003511054;BRDN0003510938;BRDN0003511561;BRDN0003511662;BRDN0003510837;BRDN0003511113;BRDN0003511705;BRDN0003510970;BRDN0003511018;BRDN0003511637;BRDN0003511099;BRDN0003511514;BRDN0003511409;BRDN0003511222;BRDN0003511210;BRDN0003510891;BRDN0003511791;BRDN0003511664;BRDN0003510883;BRDN0003511716;BRDN0003511682;BRDN0003510882;BRDN0003510989;BRDN0003511114;BRDN0003511245;BRDN0003511145;BRDN0003511533;BRDN0003510919;BRDN0003511594;BRDN0003511008;BRDN0003510897;BRDN0003511448;BRDN0003511005;BRDN0003511097;BRDN0003511203;BRDN0003511250;BRDN0003511036;BRDN0003511019;BRDN0003510906;BRDN0003511820;BRDN0003511270;BRDN0003511158	42	18.107692818009745	14.02717383744761	0.0	0.0	0.0
Hsd17b10	6	2;3;5;17;37;46	BRDN0003500985;BRDN0003500982;BRDN0003500980;BRDN0003500981;BRDN0003500983;BRDN0003500984	6	15.604133144568953	9.70564836097475	0.0	0.0	0.0
Pmvk	6	11;16;32;34;39;101	BRDN0003505570;BRDN0003505573;BRDN0003505575;BRDN0003505572;BRDN0003505574;BRDN0003505571	6	13.554751891962535	8.376374270978067	0.0	0.0	0.0
Mcat	6	8;10;20;24;50;184	BRDN0003502725;BRDN0003502724;BRDN0003502722;BRDN0003502723;BRDN0003502721;BRDN0003502720	5	12.045417669886012	8.319620404164901	0.0	0.0	0.0
Mecr	6	4;7;9;12;66;503	BRDN0003502800;BRDN0003502802;BRDN0003502801;BRDN0003502803;BRDN0003502799;BRDN0003502798	4	11.561538961487779	8.257989904619498	0.0	0.0	0.0
Pgam1	6	68;92;170;207;281;290	BRDN0003504768;BRDN0003504770;BRDN0003504771;BRDN0003504769;BRDN0003504767;BRDN0003504766	6	10.806292147264656	5.939188136365683	0.0	0.0	0.0
Mocs3	6	117;142;164;205;211;319	BRDN0003503055;BRDN0003503051;BRDN0003503054;BRDN0003503053;BRDN0003503052;BRDN0003503050	6	10.557936036315306	5.9113809469407625	0.0	0.0	0.0
Nme6	6	36;41;81;84;102;1781	BRDN0003503799;BRDN0003503796;BRDN0003503798;BRDN0003503794;BRDN0003503795;BRDN0003503797	5	10.498503191472768	6.0986279199367335	0.0	0.0	0.0
Oxsm	6	6;13;40;47;154;9654	BRDN0003504285;BRDN0003504284;BRDN0003504281;BRDN0003504280;BRDN0003504283;BRDN0003504282	5	9.605140334559367	5.831180924845605	0.0	0.0	0.0
Mogs	6	48;53;76;115;157;3595	BRDN0003503070;BRDN0003503073;BRDN0003503072;BRDN0003503069;BRDN0003503068;BRDN0003503071	5	9.563317316837852	5.503245297055918	0.0	0.0	0.0
Adsl	6	240;389;424;481;516;527	BRDN0003494454;BRDN0003494452;BRDN0003494453;BRDN0003494456;BRDN0003494455;BRDN0003494457	6	9.249816443383112	4.731625051354809	0.0	0.0	0.0
Cdipt	6	44;60;97;139;259;538	BRDN0003496583;BRDN0003496585;BRDN0003496586;BRDN0003496582;BRDN0003496584;BRDN0003496587	6	9.19598648066006	6.028357129939679	0.0	0.0	0.0
Slc25a26	6	25;27;63;180;187;573	BRDN0003507235;BRDN0003507233;BRDN0003507232;BRDN0003507237;BRDN0003507236;BRDN0003507234	5	9.184324598343343	6.292995084935327	0.0	0.0	0.0
Dohh	6	72;103;133;203;447;551	BRDN0003498311;BRDN0003498314;BRDN0003498312;BRDN0003498315;BRDN0003498313;BRDN0003498310	6	9.133770541547683	5.531343177012843	0.0	0.0	0.0
Pgk1	6	14;26;110;131;210;588	BRDN0003504800;BRDN0003504797;BRDN0003504801;BRDN0003504798;BRDN0003504796;BRDN0003504799	6	8.964416178201564	6.258225539598359	0.0	0.0	0.0
Ndufa1	6	15;156;331;339;397;589	BRDN0003503466;BRDN0003503469;BRDN0003503468;BRDN0003503464;BRDN0003503465;BRDN0003503467	6	8.959988365935788	5.25527431839791	0.0	0.0	0.0
Cox15	6	30;42;93;159;577;638	BRDN0003497286;BRDN0003497285;BRDN0003497289;BRDN0003497287;BRDN0003497288;BRDN0003497284	6	8.751756062331422	5.714834786126072	0.0	0.0	0.0
Ahcy	6	430;432;442;478;562;668	BRDN0003494554;BRDN0003494555;BRDN0003494556;BRDN0003494558;BRDN0003494559;BRDN0003494557	6	8.63202135980512	4.538043346842059	0.0	0.0	0.0
