p-value=0 means <3.586916362818826e-07, FDR=0 means <6.751089011448224e-05
Gene Symbol	Number of perturbations	Ranks of perturbations	Perturbations	Most enriched perturbation	STARS Score	Average Score	p-value	FDR	q-value
Tap2	6	156;323;584;601;7285;7446	BRDN0003509157;BRDN0003509155;BRDN0003509152;BRDN0003509154;BRDN0003509156;BRDN0003509153	4	4.791134795806449	2.5822049030001417	7.568393527757067e-05	0.20903902923658893	0.20903902923658893
Flad1	6	16;45;398;1911;6347;11231	BRDN0003499049;BRDN0003499053;BRDN0003499050;BRDN0003499048;BRDN0003499052;BRDN0003499051	2	4.048644295742572	2.9217724407503862	0.000443342862574414	0.6122564932151802	0.5605416243708903
Sox9	4	8;91;7735;10439	BRDN0003510787;BRDN0003510788;BRDN0003510789;BRDN0003510786	2	3.8349793912161823	2.0834372241357504	0.0007127202815011557	0.6561778058353392	0.5605416243708903
Mfsd1	6	1406;3227;3593;3901;4155;4414	BRDN0003502812;BRDN0003502813;BRDN0003502811;BRDN0003502810;BRDN0003502815;BRDN0003502814	6	3.7116861617045784	1.7128330521352406	0.0009340330211520254	0.6449498011054328	0.5605416243708903
Slc7a5	6	151;276;733;1163;6468;8203	BRDN0003508446;BRDN0003508447;BRDN0003508444;BRDN0003508448;BRDN0003508445;BRDN0003508449	4	3.6722742573168574	2.3683209660754905	0.0010147386393390967	0.5605416243708903	0.5605416243708903
Gamt	6	37;79;9893;15193;17460;17517	BRDN0003499584;BRDN0003499586;BRDN0003499583;BRDN0003499585;BRDN0003499587;BRDN0003499582	2	3.5630462165639196	1.999258297370431	0.001293442040811832	0.5954144861203576	0.5719077275547587
Scap	6	15;265;498;1593;4557;5522	BRDN0003506218;BRDN0003506219;BRDN0003506222;BRDN0003506221;BRDN0003506223;BRDN0003506220	3	3.4334854670065242	2.8199390979372683	0.0017242306961128273	0.6803321689519264	0.5719077275547587
Enpp2	6	325;372;499;7499;10711;13674	BRDN0003498665;BRDN0003498664;BRDN0003498668;BRDN0003498666;BRDN0003498669;BRDN0003498667	3	3.4309448756736702	1.6587125146931585	0.001736784903386357	0.5996249878941249	0.5719077275547587
Kdm2a	6	3;97;2170;2394;3630;5214	BRDN0003502106;BRDN0003502107;BRDN0003502105;BRDN0003502102;BRDN0003502103;BRDN0003502104	2	3.3864699362675554	2.7724394844347464	0.001915413338307137	0.5878190711560226	0.5719077275547587
Slc9c1	6	222;319;545;9464;10609;14331	BRDN0003508553;BRDN0003508555;BRDN0003508554;BRDN0003508556;BRDN0003508552;BRDN0003508557	3	3.3194202308420064	1.6495945294854129	0.0022199425375998283	0.6131481288850621	0.5719077275547587
Plb1	6	50;776;957;1446;10299;13196	BRDN0003505363;BRDN0003505365;BRDN0003505361;BRDN0003505364;BRDN0003505362;BRDN0003505360	4	3.3083479020612288	2.0392601006659663	0.0022776918910580868	0.5719077275547587	0.5719077275547587
Mbtps1	4	340;726;984;16878	BRDN0003510613;BRDN0003510610;BRDN0003510612;BRDN0003510611	3	3.233241785785317	2.149825007719484	0.002656828950719281	0.6115134634905471	0.6115134634905471
Ak4	6	1524;2212;2601;3061;3152;11361	BRDN0003494611;BRDN0003494608;BRDN0003494609;BRDN0003494610;BRDN0003494612;BRDN0003494613	5	3.1280400663243766	1.6078315070153637	0.0034082879289503154	0.7241300969046675	0.6809041838987939
Kcnj1	6	69;146;5630;8506;9456;11397	BRDN0003501670;BRDN0003501673;BRDN0003501674;BRDN0003501672;BRDN0003501671;BRDN0003501675	2	3.0359794514021687	1.4162857710635972	0.004135714567543358	0.8159174025396185	0.6809041838987939
Pfkfb3	6	174;1604;1741;2930;3981;5745	BRDN0003504738;BRDN0003504736;BRDN0003504739;BRDN0003504740;BRDN0003504741;BRDN0003504737	6	3.0249399365125718	2.0155641074418793	0.004220724485367144	0.7771760685722648	0.6809041838987939
Ppara	6	63;149;9972;10865;13537;14510	BRDN0003505724;BRDN0003505722;BRDN0003505723;BRDN0003505721;BRDN0003505720;BRDN0003505725	2	3.018599060717088	1.4350418446300517	0.004289593279553472	0.740491039882914	0.6809041838987939
Gstz1	6	109;154;3115;7481;13726;18283	BRDN0003500479;BRDN0003500476;BRDN0003500478;BRDN0003500477;BRDN0003500480;BRDN0003500481	2	2.9904076517975047	1.6349157375784809	0.004558253315207428	0.740582097447227	0.6809041838987939
Mbtps2	4	25;482;1200;7668	BRDN0003510617;BRDN0003510614;BRDN0003510615;BRDN0003510616	3	2.9801215362017057	2.2915455291198548	0.0046525892155772075	0.7139139674124557	0.6809041838987939
